Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,,
Albania,ALB,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7890.0,7870.0,7850.0,7830.0,7810.0,7790.0,7770.0,7750.0,7730.0,7710.0,7690.0,7716.0,7742.0,7768.0,7794.0,7820.0,7808.6,7797.2,7785.8,7774.4,7763.0,7751.6,,
Algeria,DZA,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16670.0,16582.0,16494.0,16406.0,16318.0,16230.0,16142.0,16054.0,15966.0,15878.0,15790.0,15704.0,15618.0,15532.0,15446.0,15360.0,15272.0,15184.0,15096.0,15008.0,14920.0,14832.0,,
American Samoa,ASM,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.9,183.5,183.2,182.9,182.5,182.2,181.9,181.5,181.2,180.8,180.5,180.2,179.8,179.5,179.1,178.8,178.5,178.1,177.8,177.5,177.1,176.8,,
Andorra,ADO,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,,
Angola,AGO,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609760.0,608512.0,607264.0,606016.0,604768.0,603520.0,602272.0,601024.0,599776.0,598528.0,597280.0,596032.0,594784.0,593536.0,592288.0,591040.0,589792.0,588544.0,587296.0,586048.0,584800.0,583552.0,,
Antigua and Barbuda,ATG,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,102.7,102.4,102.1,101.8,101.5,101.2,100.9,100.6,100.3,100.0,99.6,99.2,98.8,98.4,98.0,98.0,98.0,98.0,98.0,98.0,98.0,,
Arab World,ARB,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959062.8,952531.8,946002.8,939472.8,932942.8,926413.8,919882.8,913352.8,906823.8,900293.8,893764.8,892669.0,891573.2,890478.3,889382.5,888288.7,887179.1,886069.1,884960.7,883851.5,882742.5,733437.5,,
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347930.0,344998.0,342066.0,339134.0,336202.0,333270.0,330338.0,327406.0,324474.0,321542.0,318610.0,316086.0,313562.0,311038.0,308514.0,305990.0,303592.0,301194.0,298796.0,296398.0,294000.0,291602.0,,
Armenia,ARM,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3470.0,,3384.0,3341.0,3298.0,3255.0,3212.0,3169.0,3126.0,3083.0,3040.0,2998.0,2956.0,2914.0,2872.0,2830.0,2788.0,2746.0,2704.0,2662.0,2620.0,2578.0,,
