Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Cereal production (metric tons),AG.PRD.CREL.MT,,3695000.0,3696000.0,3378000.0,3732000.0,3785000.0,3489000.0,3826000.0,3916000.0,4038000.0,3512000.0,3319000.0,3950000.0,4270000.0,4351000.0,4481000.0,4624000.0,4147000.0,4382000.0,4214000.0,4072000.0,3893000.0,3724000.0,3591000.0,3418000.0,3242000.0,3084000.0,3394000.0,2997000.0,2834000.0,2705000.0,2724184.0,2470000.0,2984163.0,3144000.0,3142985.0,3238881.0,3682467.0,3876599.0,3253969.0,1940000.0,2108000.0,3737000.0,4381000.0,3560000.0,5425000.0,4638000.0,5786000.0,3870000.0,6514000.0,5957000.0,4681020.0,6469000.0,
Albania,ALB,Cereal production (metric tons),AG.PRD.CREL.MT,,293932.0,313508.0,293449.0,350144.0,335293.0,433094.0,487464.0,502090.0,528519.0,538749.0,547485.0,585830.0,625498.0,646200.0,666500.0,857000.0,910400.0,932800.0,963800.0,880600.0,904200.0,970400.0,1067000.0,1039400.0,994900.0,1046000.0,1025800.0,997630.0,1033350.0,897000.0,446152.0,430122.0,665720.0,646026.0,645400.0,503714.0,602043.0,605746.0,497500.0,565800.0,502500.0,518800.0,488500.0,498800.0,511200.0,507500.0,493600.0,608500.0,630900.0,693800.0,701200.0,697400.0,
Algeria,DZA,Cereal production (metric tons),AG.PRD.CREL.MT,,937596.0,2369800.0,2324215.0,1487506.0,1735461.0,776122.0,1641700.0,2128233.0,1852429.0,2058094.0,1735448.0,2362625.0,1595994.0,1480275.0,2680452.0,2313186.0,1142509.0,1538550.0,1620808.0,2419074.0,1832872.0,1524398.0,1290834.0,1461484.0,2918778.0,2403612.0,2066344.0,1038303.0,2006130.0,1627035.0,3809857.0,3330283.0,1453573.0,965105.0,2140175.0,4902269.0,870017.0,3025855.0,2020912.0,934537.0,2659458.0,1953258.0,4266294.0,4033175.0,3527772.0,4018118.0,3602289.0,1536062.0,5253415.0,4002320.0,3728263.0,5137455.0,
American Samoa,ASM,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Cereal production (metric tons),AG.PRD.CREL.MT,,544000.0,543000.0,515000.0,564000.0,562000.0,502000.0,515000.0,526148.0,648090.0,575915.0,522928.0,513417.0,548578.0,513764.0,558000.0,563000.0,430000.0,475000.0,361000.0,435000.0,316000.0,315000.0,337000.0,321000.0,308000.0,341400.0,364400.0,334400.0,272400.0,248500.0,372060.0,401800.0,322000.0,285000.0,296000.0,518934.0,448564.0,609612.0,541183.0,509635.0,586120.0,716819.0,716604.0,717403.0,884886.0,678305.0,780963.0,741954.0,1016496.0,1135157.0,1350657.0,498214.0,
Antigua and Barbuda,ATG,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,30.0,18.0,30.0,45.0,60.0,80.0,92.0,28.0,37.0,60.0,51.0,30.0,35.0,96.0,29.0,45.0,59.0,68.0,29.0,38.0,40.0,48.0,57.0,60.0,50.0,55.0,62.0,60.0,70.0,45.0,57.0,72.0,64.0,81.0,48.0,52.0,50.0,55.0,60.0,57.0,65.0,80.0,68.0,78.0,83.0,90.0,90.0,
Arab World,ARB,Cereal production (metric tons),AG.PRD.CREL.MT,,14787753.0,21386977.0,21114354.0,19500269.0,20103932.0,16155821.0,20958955.0,24069845.0,22002233.0,21442559.0,22248849.0,26299491.0,19794838.0,23851158.0,24456532.0,27796801.0,20110915.0,24831772.0,21851834.0,26591773.0,25194986.0,25118562.0,23914245.0,21578202.0,32109145.0,33284038.0,28324916.0,37757734.0,32330064.0,36963120.0,45376473.0,42137019.0,39515462.0,46345075.0,37025543.0,52182815.0,38773488.0,46511193.0,39105409.0,35744844.0,45643196.0,46323847.0,55869496.0,52451287.0,52621993.0,58163046.0,50084729.0,46100727.0,57246833.3,48146072.8,55127417.0,50547312.0,
Argentina,ARG,Cereal production (metric tons),AG.PRD.CREL.MT,,14512100.0,13961600.0,17331100.0,20821300.0,13843800.0,17317600.0,19575100.0,16296600.0,18477000.0,19922000.0,21975800.0,18834100.0,23861300.0,23608900.0,23040800.0,24891700.0,22506800.0,27700200.0,25071000.0,18652400.0,30014200.0,34328400.0,31687000.0,31849300.0,28074800.0,26130800.0,22947900.0,22336300.0,18133270.0,20123600.0,21705860.0,25597620.0,25174721.0,25370627.0,24306533.0,30699509.0,35906610.0,37808447.0,35035706.0,38754920.0,35913975.0,31843859.0,34586304.0,35881433.0,38162233.0,34204170.0,44179957.0,36754333.0,26537747.0,47148972.0,48685345.0,49458971.0,
Armenia,ARM,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299949.0,306410.0,227620.0,248200.0,312800.0,254180.0,322730.0,297104.0,220819.0,364044.0,412083.0,309582.0,459985.0,399168.0,214943.0,447521.0,409182.0,369076.6,321954.0,435470.0,451049.0,
Aruba,ABW,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Cereal production (metric tons),AG.PRD.CREL.MT,,9149882.0,11143648.0,11812267.0,13001568.0,9684056.0,16585035.0,9873734.0,18905065.0,14250318.0,12904533.0,14840092.0,10781927.0,16997800.0,16367969.0,17767379.0,17448064.0,14417267.0,25274482.0,23343860.0,16402312.0,23703676.0,14186565.0,31068963.0,28602111.0,24942194.0,24001774.0,19899619.0,21891006.0,22375364.0,23045332.0,18747862.0,25261706.0,26805757.0,15410973.0,27389413.0,35645886.0,31236619.0,33339400.0,35368800.0,34446938.0,38877209.0,19028500.0,41630823.0,34563569.0,39839639.0,19399217.0,24427739.0,35211060.0,34499849.0,33505761.0,39987043.0,43371698.0,
Austria,AUT,Cereal production (metric tons),AG.PRD.CREL.MT,,2274011.0,2305937.0,2229471.0,2349312.0,2019628.0,2648957.0,2934871.0,3046205.0,3406075.0,3070552.0,3545643.0,3318492.0,3787094.0,4014005.0,3704116.0,4277716.0,4203640.0,4628713.0,3982485.0,4826198.0,4356211.0,5026041.0,5075517.0,5353319.0,5551181.0,5108350.0,4964599.0,5359343.0,5009116.0,5289752.0,5044859.0,4322590.0,4206456.0,4435933.0,4454530.0,4705690.0,5271773.0,5032573.0,5038387.0,4722491.0,5108006.0,4755003.0,4519492.0,5606402.0,5194500.0,4460101.0,4757932.0,5748140.0,5144139.0,5035592.0,5704672.0,4867934.0,
Azerbaijan,AZE,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1324700.0,1136700.0,1023700.0,909350.0,999923.0,1119498.0,918298.0,1068870.0,1496224.0,1956002.0,2133184.0,1993211.0,2086640.0,2056186.0,2011622.0,1943683.0,2419877.4,2903371.0,1928789.0,2370798.8,2706862.1,
"Bahamas, The",BHS,Cereal production (metric tons),AG.PRD.CREL.MT,,100.0,150.0,200.0,250.0,300.0,430.0,450.0,470.0,490.0,510.0,530.0,550.0,580.0,595.0,610.0,625.0,640.0,730.0,720.0,719.0,720.0,740.0,750.0,800.0,820.0,820.0,750.0,700.0,700.0,750.0,750.0,500.0,400.0,312.0,312.0,312.0,348.0,377.0,379.0,312.0,300.0,305.0,340.0,355.0,360.0,380.0,400.0,337.0,385.0,678.0,687.0,690.0,
Bahrain,BHR,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
