Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Surface area (sq. km),AG.SRF.TOTL.K2,,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,652230.0,,
Albania,ALB,Surface area (sq. km),AG.SRF.TOTL.K2,,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,,
Algeria,DZA,Surface area (sq. km),AG.SRF.TOTL.K2,,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,2381740.0,,
American Samoa,ASM,Surface area (sq. km),AG.SRF.TOTL.K2,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,,
Andorra,ADO,Surface area (sq. km),AG.SRF.TOTL.K2,,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,,
Angola,AGO,Surface area (sq. km),AG.SRF.TOTL.K2,,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,,
Antigua and Barbuda,ATG,Surface area (sq. km),AG.SRF.TOTL.K2,,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,,
Arab World,ARB,Surface area (sq. km),AG.SRF.TOTL.K2,,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781751.0,13781771.0,13781771.0,13781771.0,13781771.0,13781771.0,13781771.0,13781771.0,13781771.0,13781771.0,13781771.0,13781771.0,13781781.0,13781791.0,13781801.0,13781801.0,13781811.0,13781821.0,13779281.0,13779281.0,13152828.5,,
Argentina,ARG,Surface area (sq. km),AG.SRF.TOTL.K2,,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,,
Armenia,ARM,Surface area (sq. km),AG.SRF.TOTL.K2,,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,,
