Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3042137962.1371603,3465234128.46999,5400323726.72,6709897898.991,9392226403.69636,
Albania,ALB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2117458690.1794398,2499761211.8734303,3419700000.0,4358658627.19456,3795811608.38165,3775073558.8216205,4460736370.32203,3983771738.0434604,
Algeria,DZA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19816999999.9991,20520000000.0008,26376000000.0,38013000000.0,37388000000.0017,38792000000.0,46800967102.3722,51508891623.959,
American Samoa,ASM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8353237654.472,8777632624.25399,13661464164.4699,20982185983.4809,22659935299.34,16666858026.86,20228447301.57,23716929467.06,
Antigua and Barbuda,ATG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455354766.66666603,559702264.444443,648910962.962962,669885794.074074,478906695.55555594,453883552.96296203,430444175.185185,402688274.074073,
Arab World,ARB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323346733751.552,363171079112.411,456509448749.8,595857143678.277,523207531068.85297,574118130506.439,638677437540.0289,736866248822.264,
Argentina,ARG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27300100000.0,32587900000.0,42524500000.0,54596200000.0,37146134000.0,53867737000.0,71125807000.0,65554562635.04,
Armenia,ARM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1591854185.30999,1920462817.20799,2796040000.0,3774767145.22499,2829430729.2115803,3207670000.0,3561273718.67545,3648918434.52973,
Aruba,ABW,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4296239004.228029,4724341245.60902,5126119102.00792,6018000415.16444,2452608804.15883,1394193933.2014802,5916475005.47914,2039036901.44808,
Australia,AUS,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120331040282.966,134034938695.554,160641042988.928,193732534020.659,159216216901.457,196302798031.68103,242914559128.383,262966044283.27698,
