Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2478950374.5971603,-3059013525.64333,-4946922935.369989,-6279184525.17099,-8772345780.8927,
Albania,ALB,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1923340854.61311,-2276141812.44961,-3059861588.00837,-3812547757.17741,-3392162238.30229,-3038147262.64506,-3498658670.38425,-2861005179.99378,
Algeria,DZA,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26516999999.9987,34220000000.0015,34215000000.0,40577000000.0,7798000000.00032,18298000000.0,25978556381.1946,20049276268.1171,
American Samoa,ASM,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15756173956.528,23084603431.7459,30734729604.5299,42931755130.5189,18168010016.47,33927995188.52,47081836430.7582,47374293813.4352,
Antigua and Barbuda,ATG,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-372684545.185185,-485706333.333333,-589627361.111111,-604500112.962962,-428165655.92592597,-408168171.851852,-374292818.148148,-346016578.148148,
Arab World,ARB,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13134050000.0,14005900000.0,13507920000.0,15552370000.0,18644687963.0,14286401894.2148,12870991772.2982,15342425315.316,
Armenia,ARM,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-588289985.309999,-896346670.207999,-1601270000.0,-2664488145.22499,-2081918676.3491302,-2033770000.0,-2105421366.41187,-2111133293.21694,
