Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18591371.3593439,95531206.58587159,77343819.0117104,63410396.858532496,42367332.388586,
Albania,ALB,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5664561.02209762,-34157087.6613143,-25810000.0,37815405.7626957,-15080204.379394,-320235140.057537,21228674.926049802,31462719.941432104,
Algeria,DZA,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,,,-1435000000.0,-8253949.42225954,,
American Samoa,ASM,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267025849.55,1439455260.52,2015419577.22,1757515638.30999,490109724.899999,270507746.86,52192360.85,200000000.0,
Antigua and Barbuda,ATG,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10528733.3333333,-24783866.2962962,1231090.0,-10797910.3703703,4650773.33333333,7539175.18518518,-10144068.1481481,-6730037.03703704,
Arab World,ARB,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386460000.0,-7823470000.0,-7068790000.0,8028290000.0,3162251082.66475,-10436363671.8628,1900924186.3117,291714217.817824,
Armenia,ARM,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590145.67007595,-9221124.70497654,9224023.48588654,-8333653.83471615,3862841.33835523,-10750000.0,10384726.4931932,-834406.5576072659,
Aruba,ABW,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22360681.4850508,47877688.4364636,-60795108.6497526,-42740743.653345294,-3441703.2756201,-11912187.8274145,-9964440.58922074,-146595463.248609,
Australia,AUS,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33288195303.8926,-53038728526.0428,23781796021.09,-32162255282.8307,-74557199951.0027,-69002088094.4205,-31303194424.7431,-12072916531.9577,
Austria,AUT,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13479115762.3418,-14865386644.8773,-30294876382.6175,-37293759780.316,10645966733.1515,9879978989.77437,-22528772103.9199,-7639580905.95219,
Azerbaijan,AZE,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30503000.0,12048000.0,26426000.0,347385000.0,138797000.0,138753000.0,316905000.0,-268114000.0,
"Bahamas, The",BHS,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18800000.0,7210000.0,21863975.0,16720000.0,25393000.0,44203000.0,36958000.0,
Bahrain,BHR,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4614338266.06153,8831229098.08633,8559873691.42127,-9276881140.8314,-8275589373.03625,-4755789476.08181,-5583244680.85105,-3842819148.93617,
Bangladesh,BGD,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19443681.4459645,-28235273.703262,-140986123.085729,38387889.4214662,-31651707.049555104,658546180.738672,-120754273.950296,103709289.41404301,
Barbados,BRB,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32482116.17,-55402551.5399999,51555142.57,122626242.315,-126940755.474999,-98488163.3649999,,,
Belarus,BLR,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41500000.0,26400000.0,38800000.0,-5300000.0,-18800000.0,-1185600000.0,-854100000.0,191000000.0,
Belgium,BEL,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44706410414.3385,9180546565.77927,43022694522.8649,-47807150448.8777,-40249160129.6373,26314252234.2439,17900399970.1321,-60630967726.4294,
Belize,BLZ,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17845088.1888138,21606114.0648305,-78745499.7312496,-167567.961738874,9654114.94266182,7814892.52111915,13194329.226516198,3428416.7847912,
Benin,BEN,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16651242.580661802,-14580501.447377099,-18290439.30955,-8930221.22974454,-91529552.7341655,123359246.116508,,,
Bermuda,BMU,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-588510000.0,-5751847.59350949,-2811842551.67468,1637636347.05301,935841624.541051,2428655069.1821604,-1295107522.94732,
Bhutan,BTN,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153428732.0,-25091349.236024898,29903231.410000104,208092905.002274,153640000.0,-90147609.5182465,-156001925.593784,360335232.437186,
Bosnia and Herzegovina,BIH,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2566375.5537243,388430.247340113,2701902.01491637,20715674.212644503,204150908.027422,121005146.35935,34933677.1753363,11777186.2472878,
Botswana,BWA,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422671270.185761,692804022.48967,497343201.984362,-527680626.076325,330081697.98352903,402135897.23018396,213336895.005692,84683029.6938522,
Brazil,BRA,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4884536333.75,-9573235678.125,-48390357301.2388,-1133124949.21874,-50283048500.0,-63010937320.7799,-35310913877.0,-8273462590.29,
Brunei Darussalam,BRN,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21638847.2023095,90215499.1128468,-357937796.902529,-87790076.381786,-139271027.364629,,,,
Bulgaria,BGR,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1304132497.53379,-363441387.448539,836524082.755661,1076810246.7501,821842165.468204,808334278.4975519,476381230.410494,1203049396.4161599,
Burkina Faso,BFA,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5283731.42118916,10157009.8618862,55843636.513894394,68791064.01157309,39295931.2104038,208222864.191419,,,
Burundi,BDI,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4867648.54584546,7582730.37704038,6333376.33926273,11586206.6931158,7621333.55894931,36670187.11979221,6137541.58453508,32778855.513757,
Cameroon,CMR,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12908836.4717893,4553538.03071947,17921125.1688028,40691795.7610415,97876623.9191603,-74326080.9539072,56874183.58416949,1502368.7206066,
Canada,CAN,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33762340308.8438,41906298248.706,74229420795.2879,-40748437792.0972,-91296734867.4674,-96297230797.3287,-82671632651.7624,-47923876834.674,
Cape Verde,CPV,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-158952.109712918,-3735173.64796757,-136145.46881944098,-5643041.74112528,-5360596.46167584,,-191126.712925812,
Caribbean small states,CSS,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
