Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,,,,,,,,,,,,,,,,,,,,82300000.0,185400000.0,108400000.0,124300000.0,117900000.0,127300000.0,143700000.0,267400000.0,311700000.0,342800000.0,310900000.0,,,,,,,,,,,,,,,,,,,144146200.924532,27662079.975139003,124305666.56144299,321319990.82426,361634141.450518,
Albania,ALB,"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,,,,,,,,,,,,,,,,,,,,,5800000.0,7100000.0,6500000.0,6000000.0,6500000.0,5700000.0,5700000.0,6900000.0,7000000.0,10600000.0,15000000.0,89300000.0,523700000.0,555200000.0,342000000.0,477400000.0,559400000.0,264600000.0,503910000.0,326000000.0,532900000.0,570600000.0,625120000.0,841942413.798512,1109591955.88369,1294042771.66025,1269623458.6495302,1431610000.0,1379376487.7074301,1307870113.3510401,1222792315.57873,1251724417.56652,1121230332.52547,
Algeria,DZA,"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,,,,,,,,,,,,,,,,,,281424647.031056,315186968.989432,321026315.417488,300981120.353615,309096210.32192004,328819028.023036,238055462.796119,180600496.666466,378495564.660488,763878797.330394,517347143.92003703,390717018.986379,540706901.329314,333016715.027709,216100634.037745,,,,,,,,,,,,,,2066999999.99991,1611000000.0000699,2219000000.0,2774000000.0,2632000000.00011,2650000000.00001,2646406873.6114,3164363276.1398,
American Samoa,ASM,"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,21000000.0,141000000.0,52000000.0,32000000.0,-4000000.0,-77100000.0,28200000.0,102269000.0,165800000.0,245100000.0,155520000.0,3840824000.0,94580000.0,151490000.0,55750000.0,27500000.0,90550000.0,31999000.0,98916664.0,6544342.23999999,26755297.71,-189965389.2,-221917723.12,-210065788.87,-370307138.61,-437692033.66,-1362247715.9214401,-1762151982.1221898,
Antigua and Barbuda,ATG,"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,,,,,,,,,,,,,,,,,,2800000.0,5200000.0,10100000.0,10100000.0,10400000.0,9400000.0,10600000.0,14500000.0,14200000.0,5392592.59259259,4833333.33333333,4862962.96296296,11807407.407407401,9600000.0,1303703.7037037,-1118518.51851852,-2674074.07407413,5681481.48148144,63659259.2592592,31622222.222222198,9781481.48148148,-1711111.11111111,19509608.8888889,9345185.18518518,9132222.22222222,5614663.7037037,13250215.5555556,8349240.7407407,7998488.88888882,25223291.8518519,18235681.111111,28751912.5925926,26649084.8148147,19478400.740740698,25666363.703703698,25621467.777777698,
Arab World,ARB,"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,,,,,,,,,,,,,,,,,18000000.0,31000000.0,68000000.0,57000000.0,23000000.0,-22000000.0,34000000.0,16000000.0,2000000.0,,2000000.0,-8000000.0,,8000000.0,998000000.0,793000000.0,789200000.0,552200000.0,497200000.0,596800000.0,482200000.0,514857571.842192,464068201.99696296,453310064.839601,399035947.950393,424494817.451349,540010000.0,504120000.0,560990000.0,483890000.0,459470000.0,353430000.0,169690000.0,52434743.3254401,-405167781.30922997,-564619313.4901099,-395449320.107379,
Armenia,ARM,"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55240000.0,105550000.0,168250000.0,184590000.0,217220000.0,177410000.0,174120000.0,188060000.0,173985060.248,173350041.8,218480792.5,429842862.052179,523658926.133978,693954923.577651,944760000.0,1137633032.1373801,813916705.385691,562950000.0,722206361.339759,723268125.255193,
