Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389375985.369,519772975.82089597,583208930.844303,318515943.82028997,551789481.373121,
Albania,ALB,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122908636.48146999,179797615.432053,123637772.1846,115299006.116903,118799141.13665901,112270499.167899,118286540.208802,103967150.29009399,
Algeria,DZA,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2999999.99999985,-5000000.00000023,-1000000.0,-1000000.0,,4000000.0,-1298583.06371654,-8872432.10570234,
American Samoa,ASM,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7770000.0,1440000.0,7174781.12,12896604.55,11258221.6899999,933926.55,5361404.91018144,753939.939999999,
Antigua and Barbuda,ATG,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214325840.74074098,31574074.074074104,11111111.111111099,14814814.8148148,3792477.77777777,20348112.962963,8386640.74074073,14637480.3703703,
Arab World,ARB,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88900000.0,97100000.0,121100000.0,180930000.0,74028000.0,89035000.0,62322600.0,48845000.0,
Armenia,ARM,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73251110.6783511,86383848.8147073,142750000.0,148878597.555074,89101776.6859087,107920000.0,94390198.51848829,108025350.707576,
Aruba,ABW,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18582342.094148498,21115076.0902617,18904673.137944,156989581.173365,34049751.1421336,8201355.59891108,3288156.25182955,1190329.17502206,
Australia,AUS,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-125685973.11173001,248199138.15242797,-183835542.436704,-334410349.71775097,-313384070.729521,-392623780.71833503,-829772600.3341889,-1145181478.04567,
Austria,AUT,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-236885526.57968998,-1010036942.3851,274310204.198606,-70203925.5225431,161300551.857268,276915846.378416,-542167917.274291,-550310925.233628,
Azerbaijan,AZE,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40904000.0,-3835000.0,-2798000.0,10624000.0,5350000.0,14290000.0,18681000.0,12467000.0,
"Bahamas, The",BHS,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-60449710.0,-63520000.0,-75730000.0,-16845520.0,-7180000.0,-3570000.0,-5544000.0,-7279000.0,
Bahrain,BHR,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000000.0,75000000.0,50000000.0,50000000.0,50000000.0,50000000.0,76063829.7872339,100000000.0,
Bangladesh,BGD,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261724398.69195098,152541913.278055,715410096.299025,490457363.360616,474938510.334483,603386480.636365,512409495.45387304,420212612.875988,
Barbados,BRB,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,100000.0,500000.0,,,4100000.0,3700000.0,
Belgium,BEL,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-894081044.7526189,-405227799.78570896,-1882084125.65475,-2618909268.02257,-2088818865.7438397,-1098303305.01368,-758527629.91803,316973042.208072,
Belize,BLZ,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2970373.24,9144758.205,4093849.8437,9049206.72599999,18495787.362,5642061.90299999,25804292.7784,22489618.085,
Benin,BEN,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121853804.580377,1154825820.76265,175950020.038379,108013471.033136,161124965.907772,152625695.736927,,,
Bermuda,BMU,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39148816.3289937,25159315.363992102,15742896.2180249,29579773.5351323,79728396.79840021,80559489.92225121,26230386.514936898,
Bolivia,BOL,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8680000.0,1813205300.0,1180172459.0,9703980.0,110520000.0,-7167545.0,5932825.25999999,5725110.61,
Bosnia and Herzegovina,BIH,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281294221.176527,294074303.031381,291874923.68657297,288805668.25646096,249243134.887871,263663331.82640898,252920039.955491,196231919.45634198,
Botswana,BWA,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8545160.72383702,-8170264.35964195,-8304765.66744198,-36223.6398845391,-20143.1551370388,3365832.57474181,377037.702384822,,
Brazil,BRA,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662761000.0,869099000.0,755863000.0,1055117000.0,1128528500.0,1118545234.28,1573178987.9,-1876683213.72,
