Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,6210000.0,6320000.0,22890000.0,14040000.0,23150000.0,21740000.0,14630000.0,20150000.0,27630000.0,38910000.0,6120000.0,-1440000.0,2330000.0,7540000.0,2360000.0,4700000.0,5590000.0,27580000.0,36790000.0,95610000.0,81680000.0,428420000.0,105210000.0,125660000.0,173660000.0,166440000.0,126240000.0,200370000.0,137370000.0,116370000.0,120420000.0,394850000.0,1037270000.0,1126570000.0,1683890000.0,1660280000.0,2014430000.0,4227170000.0,4041710000.0,5155990000.0,5528560000.0,5767050000.0,,
Albania,ALB,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,40000.0,1880000.0,328150000.0,353660000.0,189610000.0,68450000.0,77070000.0,113580000.0,77630000.0,127320000.0,280610000.0,161500000.0,137320000.0,106150000.0,117660000.0,110320000.0,154290000.0,148100000.0,149050000.0,191680000.0,173640000.0,162570000.0,167280000.0,,
Algeria,DZA,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,55620000.0,42080000.0,35960000.0,48770000.0,53110000.0,83400000.0,21060000.0,23350000.0,70500000.0,20720000.0,100630000.0,36670000.0,21570000.0,17690000.0,17100000.0,40580000.0,54800000.0,84480000.0,55800000.0,68460000.0,45310000.0,73200000.0,71950000.0,96980000.0,70900000.0,71610000.0,88160000.0,33780000.0,107360000.0,48140000.0,60840000.0,42380000.0,97180000.0,71450000.0,100640000.0,124550000.0,148920000.0,161590000.0,142490000.0,134500000.0,73290000.0,221270000.0,,
American Samoa,ASM,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,20000.0,10000.0,30000.0,80000.0,280000.0,4560000.0,11920000.0,12990000.0,34900000.0,29210000.0,32020000.0,37560000.0,31780000.0,33050000.0,53640000.0,44330000.0,57460000.0,65370000.0,97200000.0,103470000.0,192090000.0,188780000.0,185730000.0,169810000.0,300660000.0,327800000.0,275510000.0,242020000.0,216040000.0,261120000.0,206040000.0,213430000.0,335560000.0,412700000.0,364760000.0,303150000.0,294650000.0,303500000.0,281200000.0,175550000.0,206040000.0,173450000.0,,
Antigua and Barbuda,ATG,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,2320000.0,900000.0,1040000.0,1260000.0,1580000.0,2470000.0,1940000.0,5860000.0,2070000.0,990000.0,1340000.0,500000.0,1070000.0,2350000.0,5740000.0,2970000.0,2880000.0,4690000.0,2330000.0,4800000.0,2080000.0,1110000.0,640000.0,220000.0,8000000.0,7200000.0,3170000.0,4020000.0,8940000.0,3030000.0,1960000.0,7400000.0,3520000.0,7730000.0,6780000.0,2920000.0,18830000.0,14530000.0,,
Arab World,ARB,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,-2930000.0,40000.0,50000.0,150000.0,20000.0,0.0,130000.0,770000.0,1780000.0,-1450000.0,1950000.0,610000.0,1580000.0,2280000.0,5290000.0,5610000.0,3120000.0,4940000.0,20830000.0,53550000.0,20690000.0,42340000.0,26870000.0,32090000.0,16290000.0,36120000.0,26970000.0,36710000.0,38310000.0,22990000.0,30310000.0,25490000.0,53930000.0,40480000.0,32150000.0,27290000.0,47630000.0,77080000.0,76230000.0,76170000.0,36320000.0,59440000.0,,
Armenia,ARM,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2710000.0,18690000.0,96810000.0,171030000.0,90740000.0,56490000.0,34450000.0,53510000.0,47190000.0,61390000.0,43650000.0,76560000.0,59240000.0,62910000.0,63820000.0,58380000.0,126830000.0,132290000.0,138370000.0,162560000.0,224060000.0,,
Aruba,ABW,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,9940000.0,9800000.0,7340000.0,15310000.0,13890000.0,25100000.0,28920000.0,25310000.0,20900000.0,28900000.0,27760000.0,32080000.0,18140000.0,40000.0,19950000.0,5370000.0,16860000.0,,,,,,,,,,,
Australia,AUS,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250000.0,12580000.0,144410000.0,61790000.0,42780000.0,35430000.0,36100000.0,53590000.0,50460000.0,48610000.0,66080000.0,53450000.0,59830000.0,86700000.0,58080000.0,110580000.0,108510000.0,94130000.0,86750000.0,114260000.0,,
"Bahamas, The",BHS,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,0.0,0.0,820000.0,0.0,50000.0,0.0,0.0,10000.0,280000.0,120000.0,80000.0,70000.0,740000.0,-10000.0,6130000.0,-90000.0,940000.0,180000.0,3090000.0,2460000.0,1460000.0,1800000.0,2050000.0,1730000.0,1710000.0,5020000.0,1560000.0,1780000.0,4700000.0,2460000.0,2170000.0,1080000.0,280000.0,1050000.0,1720000.0,,,,,,,,,
Bahrain,BHR,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,100000.0,630000.0,1300000.0,1360000.0,14450000.0,18800000.0,136650000.0,37390000.0,47140000.0,118690000.0,169690000.0,181160000.0,151000000.0,256190000.0,197840000.0,79790000.0,100310000.0,19270000.0,8290000.0,6620000.0,140630000.0,102410000.0,75520000.0,116170000.0,86480000.0,104660000.0,140060000.0,133650000.0,184880000.0,65530000.0,22120000.0,60320000.0,1430000.0,54970000.0,8660000.0,,,,,,,,,
Bangladesh,BGD,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,199730000.0,254460000.0,285180000.0,316540000.0,173620000.0,433930000.0,537050000.0,495230000.0,1000930000.0,543470000.0,758790000.0,507560000.0,595040000.0,472250000.0,556020000.0,714740000.0,651520000.0,772760000.0,771690000.0,1154230000.0,809460000.0,649860000.0,759910000.0,693260000.0,595830000.0,580870000.0,657500000.0,675090000.0,593430000.0,600710000.0,544680000.0,479070000.0,833770000.0,670130000.0,912360000.0,1020920000.0,1754930000.0,919140000.0,1080170000.0,1136730000.0,,
Barbados,BRB,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,700000.0,730000.0,580000.0,410000.0,300000.0,730000.0,780000.0,1000000.0,1170000.0,1380000.0,710000.0,180000.0,2970000.0,4070000.0,5390000.0,2460000.0,2380000.0,3030000.0,2860000.0,1470000.0,1250000.0,1330000.0,-110000.0,19650000.0,2260000.0,1180000.0,2320000.0,3090000.0,4300000.0,170000.0,1530000.0,740000.0,1330000.0,1940000.0,3300000.0,2710000.0,3940000.0,11620000.0,6440000.0,10660000.0,15570000.0,,,
Belarus,BLR,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247800000.0,166540000.0,78930000.0,136310000.0,38420000.0,39400000.0,15130000.0,19140000.0,21740000.0,22650000.0,18910000.0,21280000.0,24060000.0,32160000.0,45200000.0,59140000.0,80540000.0,70430000.0,105930000.0,97830000.0,,
Belgium,BEL,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,1770000.0,3750000.0,3090000.0,3620000.0,3780000.0,4480000.0,6340000.0,4770000.0,7280000.0,15150000.0,8820000.0,7290000.0,4380000.0,4730000.0,4300000.0,1840000.0,5600000.0,7780000.0,6170000.0,3890000.0,4640000.0,4420000.0,7500000.0,18600000.0,13700000.0,7640000.0,2890000.0,4470000.0,31210000.0,14090000.0,11020000.0,23290000.0,9910000.0,8450000.0,5800000.0,9090000.0,9270000.0,14660000.0,18220000.0,16760000.0,20900000.0,22880000.0,,
Benin,BEN,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,9230000.0,9040000.0,17320000.0,7260000.0,11710000.0,19920000.0,16980000.0,13800000.0,37020000.0,36260000.0,40980000.0,35530000.0,25970000.0,23730000.0,27320000.0,26480000.0,41270000.0,58000000.0,73180000.0,115890000.0,110060000.0,134040000.0,166510000.0,133740000.0,107880000.0,148970000.0,122820000.0,125940000.0,119930000.0,97620000.0,150290000.0,149460000.0,140270000.0,202580000.0,335380000.0,221580000.0,1358450000.0,298030000.0,416080000.0,487680000.0,460000000.0,530690000.0,,
