Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361576461.477955,682782895.469738,1178783829.21877,1573084342.14009,1578248972.38537,
Albania,ALB,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130909281.308982,212763123.105267,252906698.545639,327105163.291435,222287749.63981402,280538083.515482,296619954.089581,263300020.101077,
Algeria,DZA,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732999999.999967,1078000000.00005,1119000000.0,1499000000.0,1310000000.0000699,2055000000.0000103,2305622313.3246,2371214192.6391897,
American Samoa,ASM,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16518643.0,43133433.7399999,,,42547055.0,50394517.1,44211804.5592454,35472126.8345247,
Antigua and Barbuda,ATG,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44508177.7777776,44292441.85185179,62133746.2962962,58710737.4074072,40599672.2222222,30392808.5185185,30338470.7407406,32431285.1851851,
Arab World,ARB,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005800000.0,2536580000.0,3481910000.0,4535628940.57078,4543315592.3184,5690845502.8517,7081030088.53254,6872194493.6291,
Armenia,ARM,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58784910.0,66405023.120581396,96120000.0,125588663.927547,106964128.555962,137130000.0,122842235.713978,119373693.02681999,
Aruba,ABW,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132852448.584246,165177180.362172,163662557.494869,161734247.487474,206164867.96021202,218322794.97254598,221151508.192684,245147821.77733597,
Australia,AUS,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4913457733.01681,5768037112.68717,7472364955.2947,8390038610.240129,7128808222.54432,8229047941.22211,9190097287.25124,9782208423.345871,
Austria,AUT,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11144920093.5738,11764733845.1144,14370224527.3701,16488642829.7499,14266279136.9054,13668999801.6846,16938414526.9429,17876487024.6009,
Azerbaijan,AZE,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287403000.0,222011000.0,298079000.0,351843000.0,448774000.0,501616000.0,430198000.0,720950000.0,
"Bahamas, The",BHS,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790425531.914894,804521276.595744,850797872.340426,897340425.531912,928191489.361701,978457446.808509,921808510.6382961,704787234.0425531,
Bangladesh,BGD,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247962642.86994198,370628280.168694,462098113.698855,654337628.505463,670760046.012282,885262165.215666,925357738.897847,713852636.392899,
Barbados,BRB,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222689959.892331,228762277.815,323787500.0,444585688.43673897,227606419.455,424364452.579999,,,
Belarus,BLR,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351900000.0,316500000.0,465300000.0,736100000.0,713200000.0,857400000.0,968400000.0,1129800000.0,
Belgium,BEL,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19750069329.1357,19900884755.1049,23073042525.9513,31077210573.0728,35738081882.0807,38839328850.0081,41057203973.2615,42991604146.8896,
Belize,BLZ,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37735641.5021198,45765034.3422245,49141847.7949549,49477102.484220505,38983968.196770504,33831444.0309621,33330251.349214397,45414565.648407,
Benin,BEN,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38889552.437335104,46068953.2221761,55572388.839899205,71988882.6664854,48605816.071677506,86705011.80059871,,,
Bermuda,BMU,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629740000.0,597909021.837006,632107416.439059,596270224.32756,588069570.352605,584219728.1697099,566777734.24974,
Bhutan,BTN,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3491709.26485338,2143123.00204544,,,,,
Bolivia,BOL,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43378000.0,52422000.0,66560000.0,74190000.0,77830000.0,78320000.0,93191470.1056532,127465538.919225,
Bosnia and Herzegovina,BIH,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178998571.39338002,180529408.20303702,135647593.320787,155142826.316845,146535142.60814598,138032733.476285,138517228.976573,105662862.15104699,
Botswana,BWA,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106408274.99384001,112435876.871753,155170756.007948,107534076.699407,152481055.025691,119092752.772966,234249464.55616298,111509747.247622,
Brazil,BRA,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6435168000.0,7891540000.0,11483100000.0,14971477000.0,14404566000.0,16422484741.7,20198895519.7999,22222660386.4899,
Brunei Darussalam,BRN,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104436233.271772,129454525.233255,160664046.979047,183454498.53366202,195712865.326149,,,,
