Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,230000.0,450000.0,150000.0,270000.0,,,40000.0,-240000.0,,1200000.0,9000000.0,180000.0,100000.0,,,,,400000.0,,,,-280000.0,360000.0,-20000.0,20000.0,-93326.6667,690000.0,-1460000.0,-10000.0,6040000.0,170000.0,680000.0,50000000.0,57800000.0,186900000.0,271000000.0,238000000.0,188690000.0,87276201.0,213670260.0,75649209.0,91227567.0,94013759.0,
Albania,ALB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,58000000.0,53000000.0,70000000.0,90100000.0,47500000.0,45010000.0,41200000.0,143000000.0,207300000.0,135000000.0,178036400.66666698,341285112.537562,262479012.63746402,325138316.8,652275603.7,1240972849.0,1343091149.96017,1089416366.0,1368298748.1102,1265256715.45608,
Algeria,DZA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,80120000.0,600000.0,41490000.0,51000000.0,358000000.0,119000000.0,187000000.0,178452646.789187,135152172.302668,25692486.035837803,348669038.12392795,13207259.3615813,-53569192.6448125,417641.16280020896,802668.874073182,397788.2970683,5316528.3778563,3711537.89978504,13018265.0203164,12091646.7968636,334914.564224984,11638686.4524336,30000000.0,,,,270000000.0,260000000.0,606600000.0,291600000.0,280100000.0,1107900000.0,1065000000.0,633700000.0,881900000.0,1155999999.99995,1841000000.0,1834000000.0,2675000000.0,3053000000.00013,2331000000.0,2720524257.51319,1601573992.54282,
American Samoa,ASM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,2400000.0,1860000.0,2160000.0,7540000.0,6690000.0,50000.0,-1170000.0,,1870000.0,2000000.0,37420000.0,49050000.0,115810000.0,104330000.0,67140000.0,278000000.0,234000000.0,119000000.0,131000000.0,200000000.0,-334800000.0,664500000.0,287956000.0,302100000.0,170300000.0,472427000.0,180559000.0,411660000.0,1113970000.0,2471460000.0,878620000.0,2145470000.0,1672093000.0,3504701780.0,1449231820.0,-1303836930.0,-37714860.0,-893342152.0,1678971010.0,2205298180.0,-3227211182.0,-3023770965.83688,-6897954558.89544,
Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,2200000.0,-6900000.0,8500000.0,19600000.0,22400000.0,23000000.0,5000000.0,4400000.0,15600000.0,22600000.0,38596296.2962963,32951851.851851802,43107407.407407396,60607407.407407396,54792592.592592604,19648148.1481481,15240740.740740698,24788888.8888888,31485185.185185198,19351851.851851802,22944444.444444396,22774074.074074104,51792533.33333329,43115925.925925896,98452222.22222221,65865064.8148148,166321143.70370302,80366585.18518509,220963374.07407403,358820163.7,338204733.3,158783774.444444,80646652.5925926,96679207.77777779,65160596.2962963,70860057.4074074,
Arab World,ARB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,155910000.0,-48157265.378197,108207643.802819,-553260283.6102519,-3439882606.66216,1993064060.6927397,75228235.3214913,916354342.764177,633679217.962612,-137880541.760675,-3199743186.2315803,7105627475.63001,11798713438.7079,5638970585.794821,6246719369.37016,2016875674.7332602,2323239876.12081,28047556.885619104,1632039427.10903,1313650828.2652,2778949076.94373,2111305591.0569198,3466824028.79316,4324148897.171061,3368155276.06928,13271440.60846,3299808634.01077,6094422313.90399,8217677454.182771,1180110166.38425,2639553572.57013,4760318907.4553,5757709604.007521,13597672433.1443,21281357372.0773,47811298323.8544,71810551309.0675,84734811122.9438,102500100717.336,83692493213.654,69490473647.1577,41492750350.0576,48012962998.1261,
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,89770000.0,125670000.0,71720000.0,100250000.0,17920000.0,55590000.0,244680000.0,144000000.0,250000000.0,206000000.0,678000000.0,837000000.0,227000000.0,185000000.0,268000000.0,919000000.0,574000000.0,-19000000.0,1147000000.0,1028000000.0,1836000000.0,2439000000.0,4430977523.08014,2793085410.09827,3634931878.26435,5609423403.564671,6948536686.64725,9160272052.4446,7290657132.081559,23987696389.6428,10418314339.1428,2166136829.76399,2148910000.0,1652010000.0,4124710000.0,5265250000.0,5537340000.0,6473150000.0,9725560000.0,4017158924.8840795,7845718626.43446,10719930944.6815,12128102278.0133,
Armenia,ARM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400000.0,800000.0,8000000.0,25320000.0,17570000.0,51940000.0,220830000.0,122040000.0,104190000.0,69868500.0,110738700.0,120872200.0,247855451.61290297,239384713.047712,453172318.4,698820000.0,935434359.8,777498557.9323701,570060000.0,663453322.2399219,489406794.40705097,
Aruba,ABW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087875.796,12264016.6348,1300000.0,130502793.296089,184748603.351955,-36983240.2234637,-17932960.8938547,-73184357.5418994,-5530726.25698324,84469273.7430168,195921787.709497,83575418.9944134,463016759.776537,-127988826.815642,-267932960.89385498,261284916.20111698,154525139.664805,133910614.52513999,-207798005.868163,220316139.723839,-470976976.90032,14752121.875589002,-31718538.1714583,158357713.74276,467999946.677426,-139951959.81066,
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,898240143.8262119,1148861271.73704,1053514496.5858,147281665.115248,1332156860.88691,455089249.22937804,1042693510.8055699,1139121335.16465,1677595756.64229,1488339328.58755,1869828587.80032,2346769422.2182198,2363109706.30382,2985134040.84802,374592490.887923,2062591080.83206,5336006347.9724,5263503872.869821,7376945450.599,7259411409.81321,8110892263.75746,4312358476.32102,5699133705.10764,4318356055.640329,5000720814.41679,12026426011.7474,6181381324.81178,7631273089.6073,5956935412.56439,3311038586.0903697,13618008434.2312,8260884019.24752,16991776868.316,8023802769.94237,36826801136.0483,-24476656433.6931,31246118092.0,45305020875.0,45264063368.4614,29002397767.8115,37098104595.9189,66271163219.3113,56595431544.2428,
Austria,AUT,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,112653846.045525,142730445.53002,145403026.766641,160757773.251651,177044820.1327,79114404.478886,91232469.7318557,96814163.86363791,142389695.807051,187429359.737233,239303891.692981,327520086.763852,207917636.286849,216121460.703876,115236829.38044299,173105865.816739,186540951.319351,409526123.84483904,435699356.970644,587351065.575861,653220243.884956,360071602.901055,1442437728.7265902,1129076308.08215,2116581764.5151398,1900496647.92004,4414662673.39958,2623778926.45191,4643266783.40322,3008319638.9660397,8525406379.1313,5905880644.784229,318132393.328332,7098252089.87043,3892054627.31739,81287916302.2176,4830703493.0,68110676603.0,5121819353.67709,14642970581.9643,-25304172425.6518,23675873460.8137,4143622141.4052296,
Azerbaijan,AZE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330050000.0,627277000.0,1114838000.0,1022967000.0,510317000.0,129937000.0,226513000.0,1392435000.0,3284998000.0,3556099000.0,4476396000.0,4485966000.0,4594234000.0,3986807000.0,2900030000.0,3352997000.0,4485120000.0,5293250000.0,
"Bahamas, The",BHS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,14600000.0146,31400000.0314,-1100000.0011,9600000.0096,4100000.0041,34400000.0344,2800000.0028,-6000000.006,-4900000.00673333,-30200000.0,-13200000.0,10800000.0,36700000.0,25400000.0,-17300000.0,-1300000.0,300000.0,27100000.0,23400000.0,106800000.0,87800000.0,210000000.0,146900000.0,149300000.0,250250000.0,102370000.0,152790000.0,190200000.0,273600000.0,563414700.0,706380000.0,713350000.0,860156197.03,663960000.0,871970000.0,594982000.0,360217300.0,
Bahrain,BHR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,3400000.0,110000.0,1320000.0,3210000.0,650000.0,22970508.335551396,145171539.850449,-418036875.019955,4150000.0,28457446.8841953,64095744.85131851,140691489.51761,101329787.234043,-31914893.6170213,-35904255.3191489,222074468.08510602,180851063.82978702,-182712765.957447,619414893.617021,868617021.276596,-275000007.923316,208244700.235544,430586743.724591,2048151879.6100602,329284164.223769,179454413.27302,453737837.97461396,363562321.906708,80358858.3697633,216986881.649309,516700276.44267595,865308118.6229941,1048601306.1414199,2914659868.0,1756312515.0,1793998354.5444698,257149561.420298,155771009.169721,780851063.829787,891223404.255319,
Bangladesh,BGD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,90000.0,2340000.0,2200000.0,1543333.3333,5420000.0,6980000.0,7700000.0,-8010000.0,8510000.0,5360000.0,6960000.0,403978.557545405,-553269.398283549,-6660000.0,2436499.3440436,3205086.7621919,1838242.49913628,247908.27393864302,3238781.18895631,1390444.32247979,3721853.382288,14049886.524576098,11147788.327757,1896372.12711773,13529831.5362586,139376153.115317,190059372.97475,179662970.340192,280384629.677983,78527040.07725741,52339473.3533021,268285231.831689,448905400.70768493,813321971.875196,697206284.1,652818718.9,1009623164.0,732809635.638001,918172637.9,1137916360.99161,1178439622.0410302,
