Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89063.08,117964.73,375808.98,82779.15,1502254.92027634,
Albania,ALB,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,2000000.0,2100000.0,0.0,0.0,100000.0,100000.0,600000.0,988388.73,207482.64,2140821.52235611,4579743.186897,8560000.0,301199448.13199,447841240.350296,380913894.024955,114645979.083909,212271072.187013,
Algeria,DZA,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804242671.68,730225169.75,673195038.15,686914487.66,716435893.79,707069790.72,569036084.32,342538942.01,197700783.64,264763113.22,367236055.53,487085993.81,152722756.28,151493021.22,331513096.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5484999999.99975,6295000000.00029,5405000000.0,6206000000.0,5892000000.00027,4855000000.0,6313433626.7413,7452942714.75732,
American Samoa,ASM,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108000000.0,82000000.0,135000000.0,185000000.0,303000000.0,314100000.0,313200000.0,362120000.0,378600000.0,357500000.0,385831000.0,536314000.0,559340000.0,377830000.0,653440000.0,928630000.0,927120000.0,1100277150.0,1263904780.0,1955110290.0,3405861180.0,5278413320.0,7268190640.0,13184555040.0,6130050800.0,7525740360.0,9039928340.84767,9722100376.48702,
Antigua and Barbuda,ATG,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,36000000.0,378000000.0,281000000.0,442000000.0,605000000.0,753000000.0,322000000.0,431000000.0,440000000.0,426000000.0,485000000.0,558000000.0,660000000.0,675000000.0,637000000.0,807000000.0,1246200000.0,1790800000.0,2022600000.0,2129425687.0,2082699886.7,2738924456.6,2765144608.2,2099910601.5,3086047041.3,1396875394.3,853680000.0,1626140000.0,3712260000.0,5456430000.0,7111950000.0,7282970000.0,7901860000.0,8359882364.49693,9964411807.67215,10811012216.3272,9270787631.488579,
Armenia,ARM,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3280000.0,11120000.0,19840000.0,13970000.0,22020000.0,3575000.0,13029770.0,34806000.0,146533000.0,169906309.057197,244374800.0,332230000.0,279183097.554936,331625140.42269397,363910000.0,377415491.94622004,334890199.663835,
Aruba,ABW,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,7263000.0,8024000.0,2021000.0,317243000.0,329195000.0,356313000.0,422313000.0,581200000.0,1581672000.0,2624354000.0,4995260000.0,5401374000.0,3663700000.0,3815032000.0,5488366000.0,4906186000.0,
"Bahamas, The",BHS,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18643714.142,26512236.421,40114227.766,82447668.32,148956411.13,175221596.29,128696556.05,177652311.45,246676836.52,661369744.8469781,764855112.426494,903310362.9589901,839704899.0204519,1104902407.00325,1210194304.87081,1298486914.40903,1572105069.6479301,
Barbados,BRB,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500000.0,18200000.0,700000.0,4600000.0,13300000.0,26800000.0,37500000.0,75700000.0,134900000.0,236300000.0,434800000.0,682100000.0,871500000.0,1039100000.0,1185700000.0,1257600000.0,
Belgium,BEL,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3700000.0,1500000.0,2500000.0,3100000.0,4800000.0,4800000.0,7500000.0,8900000.0,12400000.0,12400000.0,13100000.0,8000000.0,26210000.0,24055000.0,30200000.0,23137647.0,30534048.63,33269468.695,33047844.891,30971536.766,42366379.34,34857659.238764696,51608950.6123507,86598855.4984695,106543820.463137,56107042.8050222,102427041.256663,40076565.0579848,68279980.4105906,
Benin,BEN,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,1030308.2297,4073483.2043,2674194.0918,3016122.3761,1856809.7437,2651352.2023,2934500.6846,2351586.4432,1935447.0427,1836951.9554,1599700.9652,0.0,0.0,0.0,0.0,239805.67315,369125.95549,392049.9518,954317.43365,1061227.7955,270170.62567,5934908.0279,9017648.4892,12546486.67,14919863.588,8463549.3691,-754238.61621,249645.82111,12670228.785,22448370.534,13487043.115,9005283.19004252,14831032.099214401,52914161.6347467,29506129.809606105,31546870.9948895,54785501.483302206,0.0,0.0,
Bermuda,BMU,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390254.36940727604,1110874.96961538,3105418.12030082,-822864.1142559929,4011990.5644922,3736773.22745648,-223918.19432215398,
Bolivia,BOL,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1600000.0,1500000.0,17900000.0,27500000.0,19100000.0,30000000.0,23600000.0,59800000.0,36200000.0,52800000.0,40400000.0,40900000.0,5200000.0,15000000.0,17000000.0,18000000.0,20000000.0,25000000.0,20000000.0,24400000.0,40000000.0,80400000.0,81200000.0,142400000.0,148400000.0,167600000.0,183300000.0,233640000.0,291900000.0,270729835.67731804,391519570.225372,643905210.053201,680681577.999999,768860000.0,863321039.185073,976671810.2298051,1648979576.3545802,
Bosnia and Herzegovina,BIH,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2139680.3954,4671240.3018,10037850.966,59003088.255,96859581.746038,175270176.762937,345040810.47681296,187146358.44068602,-104417506.515678,78545897.4816803,272130256.715742,205226342.252895,
Botswana,BWA,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,11629358.28,11155002.802,9620413.3408,26927261.409,44784909.79,107562160.39,19958449.798,15344858.716,87517311.705,156580541.86,122150778.79,144587097.06,290718999.93,239419770.72,323591535.17,406887343.18,318813719.46,287051629.95,80847683.212,265472666.69,415661651.01,656511698.57,669268253.49,407438214.05,607019912.5,657860673.46,343716037.48,895312649.53,1003515483.4,1089373465.6,1065689292.12739,1042541896.4108,1074640656.3387802,1044909882.87924,206559033.35407,204178555.685287,-124968675.893624,427940155.279696,
Brazil,BRA,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535000000.0,793000000.0,1335000000.0,1539000000.0,1461000000.0,955000000.0,1328000000.0,2419000000.0,1457000000.0,1271000000.0,1682000000.0,1841000000.0,1558000000.0,2255000000.0,2915000000.0,1892000000.0,1053000000.0,824000000.0,1979000000.0,2315000000.0,2814000000.0,3975000000.0,6070000000.0,6456000000.0,5150000000.0,4237935000.0,5005463544.7,5949601274.3,5983739070.3,6859728499.1,11035332129.663,13883672890.4194,19691708352.4579,28772552056.5726,21028639100.0,26584284654.55,31715896687.82,24563733909.23,
Brunei Darussalam,BRN,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55806200.0,-21773559.621,107077831.87,148683036.96,228286905.8,550594931.64,755464442.53,912051764.507815,1856822793.8827,3742114197.2295704,2724939593.71958,1823446153.64795,1572727173.92749,2520938484.48603,2054368355.14622,
Burkina Faso,BFA,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,6300000.0,7100000.0,6100000.0,8600000.0,9600000.0,8600000.0,8500000.0,6200000.0,6300000.0,4100000.0,3000000.0,500000.0,3800000.0,3600000.0,6300000.0,6300000.0,6000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3070327.0299,4676425.5451,9307187.6488,10820709.917,8694173.8984,6724576.73159596,7100918.3990178,11244259.347383698,38163911.181879,34710876.4504725,26381195.6357642,0.0,0.0,
Burundi,BDI,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231997.89545,3074333.6207,5875505.6428,2279283.4503,2457983.1933,3252451.8689,2137592.8482,4215020.451,2887387.7585,3415623.6086,3111017.6872,1377389.2363,576130.32465,18983.136647,15969.834757,355362.11506,1454320.6506,0.0,4682714.1564,6616404.7597,2141040.02133921,3385394.84746676,4795217.09861761,0.0,0.0,0.0,0.0,0.0,
Cambodia,KHM,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476000.0,4000000.0,-3800000.0,4400000.0,4400000.0,56577034.027,86724463.727,122990647.69,135748908.21,158946188.93,159778990.79,205420947.19,227137231.182142,270182032.757035,352965520.93123,403486007.31678396,357738335.333473,399114414.903673,585837653.364972,706566224.175287,
Cameroon,CMR,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36958692.544,62927681.051,40052341.78,114729510.64,100761246.97,130247065.14,108773797.93,155873580.45,341470392.03,125438231.21,149033447.52,234347548.82,105326413.31,138468144.5,87555459.398,139898553.32,110607835.45,27143142.192,20675212.952,50270897.914,62466872.046,82893894.227,70382428.283,40930998.752,53947916.267,89510266.711,123926292.33,186081443.7,288574773.78718597,9826156.40564328,385171697.073117,164573771.935105,435834339.177852,165509394.600528,281882924.049408,503424758.305797,
Canada,CAN,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,CPV,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,511363.63636,329331.84381,0.0,2386785.2141,2001054.6511,5054611.7403,1431101.5579,4133344.6233,2778807.9616,3754601.0699,10850224.0857041,24075500.2155446,28201300.350612395,38207554.6898169,26333451.9497564,55716659.329348095,41621947.53353839,22833719.383441396,
Caribbean small states,CSS,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1493814.996,793243.30338,0.0,0.0,0.0,645149.01423,0.0,686566.93784,0.0,0.0,1181220.6713,0.0,1974870.2495,2119260.4609,1488797.2853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Chad,TCD,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2666073.0855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11231930.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Channel Islands,CHI,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,14000000.0,15000000.0,2000000.0,8000000.0,7000000.0,46000000.0,10000000.0,22000000.0,231000000.0,400000000.0,9953190000.0,11679000000.0,13311000000.0,16039000000.0,16039000000.0,20198150000.0,21489000000.0,17823337208.0,19732862017.0,19036911270.0,47566493357.9617,49457867919.3515,61893428407.184,72636764592.725,105948065680.97,159636932293.81302,204475596973.5,187502019467.0,
Colombia,COL,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,94000000.0,73217539.999,71656860.0,72719930.0,57726719.999,126068850.0,155000000.0,163680320.0,194080000.0,126220000.0,110347430.0,202166400.0,311368420.0,445000000.0,454000000.0,395000000.0,577000000.0,762000000.0,592000000.0,983000000.0,964000000.0,883600000.0,1043300000.0,1037800000.0,488189857.3,358705241.1,643066912.11,569485099.85,-29315585.538,-287701469.83,655279404.42,923580160.27,1057850840.2,1515182497.3,2433157901.4,3564532814.2793603,4590616121.48857,6598287677.18005,8706327609.15641,7627967104.94646,9959110304.53513,14755463508.8099,15318110565.9598,
Comoros,COM,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23291.872583,13429.772761,0.0,613378.67601,755039.30713,2640829.5284,995902.74312,489914.93188,213699.70395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Congo, Dem. Rep.",ZAR,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131300000.0,0.0,0.0,
"Congo, Rep.",COG,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511150.6506,188039.16329,6252379.6844,12674278.107,16548680.846,48666105.732,20226261.989,47422115.261,22514776.445,55677085.897,62518419.864,0.0,0.0,0.0,0.0,0.0,0.0,326423948.36,458338160.71,99266815.674,-76613041.859,180477759.72,466068901.33,368964245.93,572187589.31,387818097.52,646999485.84,1296381609.5476,1402589160.74324,1651063726.4028,0.0,0.0,0.0,0.0,0.0,
Costa Rica,CRI,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18500000.0,26900000.0,17400000.0,19800000.0,-1800000.0,-2500000.0,-1300000.0,11800000.0,27100000.0,18100000.0,29200000.0,34100000.0,54900000.0,59600000.0,64700000.0,91800000.0,101200000.0,64700000.0,108900000.0,89210000.0,179290000.0,382590000.0,1724448418.0,1140828294.0,565791602.0,348155722.0,643503368.0,329585967.0,742823680.0,852833247.6243019,1131088100.0,749407968.0,985852399.0,606038341.0,753117349.0,1045517468.1723199,
Cote d'Ivoire,CIV,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,105453287.99,101694704.9,123331319.83,180806294.85,165004365.78,187902705.12,131379712.08,52342278.513,65605426.977,45771129.19,53420829.207,69302890.172,156719700.34,141011419.06,54544035.462,74927059.622,39701260.941,45713542.942,52619947.262,81231301.451,203747011.36,224219441.08,227183412.87,291993358.48,333612619.11,283960304.94,269456512.99,283648990.01,334660865.39,363746972.5,370139889.299859,477928336.005425,530815005.84396106,581173389.708599,572142273.545153,561782931.919944,0.0,0.0,
Croatia,HRV,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Primary income on FDI (current US$),BX.KLT.DREM.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
