Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104213610.47,152430333.35,330753776.45,247054819.81,385148127.918562,
Albania,ALB,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151800003.1,332000000.0,307100006.1,427299987.8,550900024.4,300299987.8,504140014.6,407200012.2,597799987.8,699299987.8,733570007.3,888748596.2,1160672119.0,1289704315.92613,1359467324.66364,1468020000.0,1495038254.38923,1318476279.6335099,1156021682.13726,1125664515.9474301,1027055044.8409301,
Algeria,DZA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,211000000.0,238000000.0,227000000.0,225000000.0,202000000.0,266000000.0,255000000.0,349000000.0,393000000.0,417000000.0,406000000.0,447000000.0,507000000.0,392000000.0,329000000.0,313000000.0,358000000.0,487000000.0,379000000.0,345000000.0,352000000.0,1290000000.0,1390000000.0,1140000000.0,1395000000.0,1120000000.0,880000000.0,1060000000.0,1060000000.0,790000000.0,790000000.0,670000000.0,1070000000.0,1750000000.0,2460000000.0,169999999.999993,189000000.00000802,98000000.0,104000000.0,150000000.000007,196000000.0,202869760.181781,213206941.380752,
American Samoa,ASM,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5142000.198,,,,,,,,,,,,82084000.0,162358.5,17972037.0,204751.1,45000.0,
Antigua and Barbuda,ATG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,11185185.43,11744444.85,12337037.09,13196296.69,12533333.78,3048148.155,2714814.901,11629630.09,11948147.77,3333333.254,12274073.6,15944444.66,22200000.76,21838888.17,20676296.23,27010000.23,17575500.49,19705570.22,20934959.41,18305488.8888889,19325720.3703704,20783287.037037,21828402.5925926,20658718.8888889,20197666.6666666,20292610.0,20556413.703703698,
Arab World,ARB,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,211000000.0,238000000.0,247719978.33,269739208.22,276823417.66,966117778.4155,1355695710.451,2637034422.268,4405529374.2231,5563872498.035,6403246145.362,5907729369.142,5862270293.564,7173076350.713,7371483942.2029,6449093710.8198,6277412014.418,7601042249.332,7479027555.62,6950298994.67,9699913088.511,9774454435.2,12849686881.67,11791714150.847,10391224182.095,10852963784.682,10855496316.953,11656405960.992,12025939234.626,11729180621.29,11622999191.07,13112360896.75,16101259661.92,20545250749.39,23626908002.71,22930511977.0647,24947013995.5959,30022524574.92,34540190006.7421,32969376544.2389,37937255479.2829,38783233524.1029,40517204545.1403,
Argentina,ARG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,26000000.0,42000000.0,56000000.0,42000000.0,28000000.0,28000000.0,32000000.0,27000000.0,32000000.0,34000000.0,30280000.69,26559999.47,22840000.15,19120000.84,15399999.62,57700000.76,62400001.53,63599998.47,65000000.0,65699996.95,68500000.0,64300003.05,86343658.45,189600006.1,206630004.9,273420013.4,311779998.8,432090000.0,541300000.0,606430000.0,697560000.0,620589349.925834,639005839.557192,691881504.1299161,572929996.9518781,
Armenia,ARM,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65349998.47,83860000.61,136139999.4,92410003.66,94650001.53,87470001.22,94388160.71,130979736.3,167704055.8,434552612.3,486743259.008261,650336400.243296,837020000.0,1052753220.49214,762749159.663299,990770000.0,1993605174.3800302,2122873984.83005,
