Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7000007629,17.3803005219,-28.5112991333,33.4000015259,-25.1301326752,-31.6675872803,-51.4000015259,131.38999938959998,24.6200008392,45.387942332899996,57.6475466732,0.66903019213175,-56.160749787,97.8385758533,55.3178821686445,-30.223603255325305,-15.8729748118666,
Armenia,ARM,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.4115388274438,28.555493223059102,-15.5935084655491,34.2412,0.4104552104719161,9.849382976166261,17.9306320592375,-8.8839638525238,1.01379592093271,18.1843352953621,-8.746074490572191,-0.278196213139148,-2.12706256975032,47.1142700244307,29.092163456303396,11.7041905529075,28.5832151425395,25.1505157614917,-54.084741457363606,72.3744821747435,12.490919526071501,-15.7144146292547,15.024288626103699,
Austria,AUT,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33296032183433,-19.2069590412596,-20.0922455117812,38.5882,-4.8782652491337695,-4.2985719974967305,2.16002117932035,-1.6709353001375702,0.213363128421107,-6.5271053292567895,-14.861628581849802,-5.33618151308396,18.2210790251795,57.1492478593941,61.30131649492021,21.876848513934302,37.1214172104393,-0.41915105424295,-65.3176795753793,57.0214923356471,10.9048179087599,-35.83616307087021,29.8517546796567,
Azerbaijan,AZE,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,-2.9246892929,7.440000057200001,,35.4000015259,20.8011809703,-2.2440704327,34.9906244672993,,-19.9687927902,9.96791011925158,-14.368430702299301,-4.4748450759927,
Bangladesh,BGD,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.659797668457,-38.4791984558105,-17.5,28.4874286652,-20.6722431183,-4.2399997711,15.369999885599999,104.3000030518,-27.7493831512,12.855226247100001,126.391440613855,4.253389345,38.6369413514,37.6415050238572,-42.3084397147464,-14.3200475488046,
Barbados,BRB,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.649390717599301,7.58605789280637,-6.5948692561682405,21.05,5.69698471705908,22.3705745070975,12.210118893647198,13.958278903746901,63.832936080604,-13.673750553722401,-16.5132061291922,-15.9272786341013,-17.3525155675776,34.8841371761287,40.0105705382579,6.7712357872809195,43.8478360175731,-3.1310973050121804,-65.5731620277421,54.4694201872394,0.502780286766202,-15.0585121778465,33.3193504859589,
Belize,BLZ,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.77420043945308,9.192500114440909,45.599998474121,-6.913131237000001,43.938537597700005,31.1499996185,25.5699996948,21.1000003815,-3.2418952618,53.017806935299994,37.2144300851351,-38.4063146305,24.3338143668,-6.76803855778088,-7.48314427715363,8.09822547243346,
