Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,10000.0,,10000.0,10000.0,20000.0,20000.0,,70000.0,50000.0,40000.0,210000.0,340000.0,540000.0,670000.0,580000.0,200000.0,30000.0,10000.0,,,,,,4780000.0,1810000.0,2010000.0,2740000.0,3930000.0,1500000.0,1600000.0,3410000.0,1460000.0,2190000.0,3300000.0,2740000.0,5110000.0,7470000.0,13300000.0,15040000.0,18810000.0,17670000.0,17580000.0,19690000.0,15790000.0,20030000.0,17660000.0,23760000.0,,
Albania,ALB,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000.0,510000.0,1500000.0,3440000.0,6380000.0,11930000.0,12430000.0,4210000.0,3630000.0,17980000.0,7000000.0,5800000.0,9410000.0,10580000.0,7340000.0,9570000.0,9300000.0,7910000.0,14720000.0,12460000.0,14200000.0,12660000.0,,
Algeria,DZA,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,120000.0,180000.0,200000.0,160000.0,200000.0,430000.0,460000.0,100000.0,150000.0,160000.0,230000.0,180000.0,40000.0,250000.0,150000.0,120000.0,160000.0,470000.0,1780000.0,320000.0,70000.0,450000.0,430000.0,-140000.0,330000.0,340000.0,670000.0,510000.0,3360000.0,650000.0,840000.0,750000.0,670000.0,600000.0,400000.0,790000.0,1360000.0,970000.0,820000.0,740000.0,2080000.0,1930000.0,2380000.0,1580000.0,2080000.0,1210000.0,1430000.0,1140000.0,2680000.0,,
American Samoa,ASM,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,20000.0,20000.0,20000.0,40000.0,100000.0,60000.0,890000.0,300000.0,170000.0,140000.0,130000.0,150000.0,100000.0,200000.0,180000.0,1490000.0,840000.0,1310000.0,800000.0,1730000.0,2340000.0,4200000.0,1850000.0,1700000.0,2760000.0,3930000.0,3620000.0,7690000.0,5740000.0,5170000.0,5780000.0,3490000.0,4320000.0,5910000.0,6900000.0,7100000.0,5110000.0,3510000.0,1620000.0,1380000.0,670000.0,400000.0,590000.0,,
Antigua and Barbuda,ATG,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,30000.0,,290000.0,520000.0,470000.0,450000.0,410000.0,1420000.0,1290000.0,1560000.0,820000.0,1180000.0,1300000.0,1640000.0,1410000.0,4680000.0,3840000.0,4220000.0,5270000.0,8380000.0,15130000.0,16160000.0,16720000.0,16830000.0,14180000.0,11720000.0,20870000.0,17520000.0,16710000.0,16620000.0,67040000.0,39940000.0,37920000.0,31350000.0,35410000.0,32430000.0,23380000.0,37320000.0,31290000.0,30660000.0,23000000.0,27750000.0,41340000.0,38930000.0,211270000.0,64880000.0,57370000.0,153830000.0,75140000.0,79500000.0,127050000.0,,
Argentina,ARG,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,1060000.0,1160000.0,630000.0,1070000.0,-780000.0,-870000.0,60000.0,20000.0,30000.0,30000.0,30000.0,10000.0,,,20000.0,340000.0,190000.0,220000.0,310000.0,20000.0,10000.0,110000.0,20000.0,60000.0,200000.0,150000.0,250000.0,150000.0,100000.0,120000.0,420000.0,320000.0,240000.0,250000.0,110000.0,160000.0,210000.0,200000.0,170000.0,120000.0,280000.0,300000.0,290000.0,310000.0,290000.0,260000.0,450000.0,450000.0,360000.0,,
Armenia,ARM,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220000.0,160000.0,40000.0,850000.0,1130000.0,1450000.0,890000.0,350000.0,1770000.0,2300000.0,2200000.0,3070000.0,2230000.0,2590000.0,2180000.0,2140000.0,2810000.0,2630000.0,3720000.0,,
Aruba,ABW,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,
Australia,AUS,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730000.0,3020000.0,820000.0,690000.0,950000.0,940000.0,630000.0,990000.0,5650000.0,2530000.0,3050000.0,5580000.0,3640000.0,6180000.0,10500000.0,5480000.0,3910000.0,5840000.0,,
"Bahamas, The",BHS,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,10000.0,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,3000000.0,6180000.0,270000.0,1000000.0,4880000.0,1540000.0,4570000.0,14790000.0,3050000.0,11200000.0,9800000.0,4370000.0,3220000.0,4070000.0,3310000.0,6230000.0,2320000.0,6630000.0,10420000.0,9540000.0,14510000.0,19850000.0,14640000.0,20560000.0,11820000.0,12230000.0,8260000.0,23750000.0,16940000.0,14620000.0,12280000.0,13590000.0,10870000.0,11830000.0,10700000.0,13400000.0,20130000.0,17880000.0,22910000.0,21030000.0,32660000.0,,
Barbados,BRB,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000.0,,,,,,,,,,,,,,
Belarus,BLR,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770000.0,350000.0,5000000.0,1030000.0,740000.0,460000.0,210000.0,1160000.0,1830000.0,1870000.0,2660000.0,2750000.0,2750000.0,2800000.0,2640000.0,2330000.0,830000.0,300000.0,,
Belgium,BEL,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,10000.0,10000.0,20000.0,,,,10000.0,,,,,,,,,,,290000.0,,,,10000.0,,40000.0,,50000.0,,,,,,,,,,,
Benin,BEN,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,10000.0,20000.0,40000.0,210000.0,450000.0,300000.0,260000.0,390000.0,260000.0,210000.0,90000.0,440000.0,330000.0,1680000.0,810000.0,550000.0,1070000.0,1150000.0,2200000.0,2990000.0,2320000.0,6200000.0,1960000.0,2180000.0,9170000.0,9590000.0,8000000.0,9690000.0,8770000.0,4840000.0,16340000.0,10330000.0,6800000.0,8140000.0,6310000.0,6000000.0,5730000.0,5360000.0,6980000.0,9440000.0,8700000.0,9990000.0,10260000.0,10580000.0,13470000.0,13250000.0,12150000.0,,
Bermuda,BMU,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,10000.0,10000.0,,190000.0,,200000.0,290000.0,300000.0,250000.0,460000.0,690000.0,780000.0,880000.0,1230000.0,830000.0,1870000.0,1920000.0,2370000.0,5760000.0,5040000.0,3420000.0,4820000.0,3940000.0,3830000.0,4970000.0,9040000.0,4700000.0,4690000.0,4790000.0,4820000.0,3400000.0,3790000.0,4490000.0,5740000.0,5350000.0,5170000.0,5830000.0,5370000.0,3150000.0,4810000.0,2310000.0,4390000.0,,
Bolivia,BOL,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,10000.0,,10000.0,,10000.0,20000.0,180000.0,110000.0,190000.0,650000.0,530000.0,590000.0,770000.0,1310000.0,1540000.0,1880000.0,3010000.0,3320000.0,1670000.0,770000.0,2430000.0,4170000.0,3710000.0,10500000.0,16230000.0,19420000.0,14350000.0,15670000.0,17210000.0,14090000.0,11870000.0,24960000.0,16210000.0,22800000.0,13260000.0,14180000.0,11810000.0,10550000.0,10640000.0,13370000.0,14310000.0,20860000.0,17990000.0,14020000.0,14690000.0,12550000.0,19770000.0,21590000.0,29710000.0,,
Bosnia and Herzegovina,BIH,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15370000.0,19920000.0,7100000.0,12940000.0,17980000.0,11220000.0,12490000.0,15770000.0,14040000.0,12690000.0,16630000.0,18570000.0,17700000.0,16290000.0,19530000.0,19290000.0,27430000.0,,
Botswana,BWA,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,30000.0,,,,20000.0,,,,80000.0,20000.0,,,,10000.0,10000.0,40000.0,40000.0,190000.0,40000.0,,,,,30000.0,30000.0,-10000.0,50000.0,40000.0,20000.0,,,,,,,,,,,,,,,,
Brazil,BRA,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,70000.0,660000.0,920000.0,490000.0,-150000.0,-210000.0,110000.0,730000.0,160000.0,400000.0,320000.0,580000.0,210000.0,250000.0,450000.0,670000.0,700000.0,610000.0,320000.0,380000.0,610000.0,680000.0,420000.0,1070000.0,1380000.0,1600000.0,1410000.0,2070000.0,1610000.0,2210000.0,1880000.0,2620000.0,2350000.0,2290000.0,1830000.0,2720000.0,1520000.0,1810000.0,1910000.0,2790000.0,4160000.0,3320000.0,4490000.0,3980000.0,3620000.0,2130000.0,4020000.0,4520000.0,4020000.0,,
Brunei Darussalam,BRN,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240000.0,,740000.0,7780000.0,3770000.0,7250000.0,3190000.0,8580000.0,5020000.0,11080000.0,7440000.0,11190000.0,5430000.0,9980000.0,10880000.0,,,,,,,,,
Burkina Faso,BFA,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,10000.0,30000.0,10000.0,30000.0,10000.0,70000.0,60000.0,-10000.0,40000.0,80000.0,350000.0,430000.0,610000.0,580000.0,2950000.0,2920000.0,1670000.0,1960000.0,2170000.0,1650000.0,2900000.0,2530000.0,1870000.0,2740000.0,3060000.0,4070000.0,4540000.0,4960000.0,5270000.0,6560000.0,7390000.0,13020000.0,12260000.0,14920000.0,12480000.0,8040000.0,14110000.0,11470000.0,12750000.0,15950000.0,20600000.0,20450000.0,20800000.0,20940000.0,20320000.0,20810000.0,23720000.0,28200000.0,30150000.0,,
Burundi,BDI,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,40000.0,10000.0,70000.0,30000.0,30000.0,50000.0,170000.0,140000.0,180000.0,490000.0,390000.0,310000.0,440000.0,470000.0,450000.0,660000.0,740000.0,1120000.0,940000.0,1090000.0,940000.0,1290000.0,3280000.0,10710000.0,2660000.0,2160000.0,2370000.0,2110000.0,1660000.0,2970000.0,1790000.0,1410000.0,570000.0,1980000.0,880000.0,1930000.0,2560000.0,3390000.0,3900000.0,2430000.0,3280000.0,4900000.0,4620000.0,5360000.0,6360000.0,6000000.0,9580000.0,12050000.0,15260000.0,,
Cambodia,KHM,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,20000.0,,10000.0,,,10000.0,,80000.0,340000.0,210000.0,20000.0,10000.0,10000.0,780000.0,3870000.0,100000.0,200000.0,230000.0,,120000.0,390000.0,100000.0,250000.0,240000.0,620000.0,2750000.0,1470000.0,1340000.0,2220000.0,2170000.0,1950000.0,1460000.0,2900000.0,1460000.0,1840000.0,2970000.0,3230000.0,3190000.0,3540000.0,3630000.0,2900000.0,4030000.0,3950000.0,3160000.0,3480000.0,5410000.0,,
Cameroon,CMR,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,10000.0,100000.0,280000.0,320000.0,280000.0,420000.0,640000.0,670000.0,500000.0,1040000.0,1640000.0,860000.0,1020000.0,2680000.0,2840000.0,2000000.0,1520000.0,1660000.0,1640000.0,2030000.0,2550000.0,3890000.0,5100000.0,8230000.0,5770000.0,5860000.0,4320000.0,4600000.0,10630000.0,12500000.0,2330000.0,4080000.0,2130000.0,2980000.0,2660000.0,2860000.0,2730000.0,2070000.0,1730000.0,2970000.0,2690000.0,2790000.0,2570000.0,2310000.0,32540000.0,2650000.0,3230000.0,2220000.0,1860000.0,,
Canada,CAN,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,CPV,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,250000.0,140000.0,470000.0,810000.0,810000.0,850000.0,790000.0,800000.0,1920000.0,1180000.0,1620000.0,1550000.0,2110000.0,1760000.0,2110000.0,3960000.0,3640000.0,5800000.0,3600000.0,3540000.0,4270000.0,3420000.0,7120000.0,3780000.0,3020000.0,220000.0,890000.0,2600000.0,4950000.0,20000.0,40000.0,450000.0,850000.0,710000.0,710000.0,1190000.0,,
Caribbean small states,CSS,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,10000.0,,,80000.0,50000.0,60000.0,70000.0,80000.0,80000.0,70000.0,120000.0,80000.0,80000.0,70000.0,60000.0,60000.0,60000.0,810000.0,240000.0,120000.0,480000.0,330000.0,220000.0,200000.0,530000.0,350000.0,280000.0,320000.0,150000.0,90000.0,80000.0,390000.0,60000.0,120000.0,150000.0,70000.0,80000.0,80000.0,,60000.0,,,20000.0,20000.0,70000.0,,,,,,
Cayman Islands,CYM,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
