Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,,,,,,,,,,,,,,,,790000.0,,,,,700000.0,880000.0,1120000.0,800000.0,700000.0,3150000.0,520000.0,850000.0,660000.0,1880000.0,1870000.0,1500000.0,1410000.0,2050000.0,4390000.0,3480000.0,2520000.0,1690000.0,2250000.0,1330000.0,710000.0,9610000.0,11860000.0,12450000.0,15030000.0,17710000.0,14620000.0,19540000.0,19900000.0,49810000.0,58560000.0,65730000.0,,
Albania,ALB,"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490000.0,1570000.0,1970000.0,5540000.0,1060000.0,3070000.0,2190000.0,1840000.0,2560000.0,1810000.0,2010000.0,2950000.0,3450000.0,6590000.0,7290000.0,4490000.0,5000000.0,4380000.0,4240000.0,4250000.0,4200000.0,,
Algeria,DZA,"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,354100000.0,435900000.0,357600000.0,239400000.0,182400000.0,135100000.0,97700000.0,92000000.0,110200000.0,110400000.0,99200000.0,89600000.0,84770000.0,77530000.0,64820000.0,80310000.0,69870000.0,64500000.0,65870000.0,75410000.0,75300000.0,61460000.0,44660000.0,38960000.0,38950000.0,36780000.0,45890000.0,58300000.0,55690000.0,55240000.0,122180000.0,171220000.0,223110000.0,199510000.0,209260000.0,183870000.0,241110000.0,136690000.0,115850000.0,74320000.0,57300000.0,63510000.0,89580000.0,125040000.0,172930000.0,231830000.0,173420000.0,185180000.0,121750000.0,94490000.0,69780000.0,73290000.0,,
American Samoa,ASM,"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,,,,,,,,,,,,,,,,,,,,,200000.0,500000.0,1410000.0,1100000.0,1080000.0,1350000.0,6250000.0,3730000.0,5800000.0,7410000.0,11130000.0,10580000.0,26970000.0,18550000.0,27440000.0,35100000.0,11930000.0,5640000.0,7050000.0,8650000.0,7700000.0,5940000.0,9850000.0,14260000.0,21880000.0,9930000.0,-97090000.0,3240000.0,2920000.0,4150000.0,4090000.0,4240000.0,,
Antigua and Barbuda,ATG,"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,,,,10000.0,580000.0,20000.0,10000.0,20000.0,30000.0,,20000.0,10000.0,,,,,
Arab World,ARB,"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,354000000.0,463500000.0,403000000.0,311100000.0,271400000.0,202100000.0,159600000.0,155700000.0,149500000.0,172400000.0,165800000.0,163200000.0,179050000.0,199280000.0,202340000.0,308090000.0,277440000.0,247800000.0,296610000.0,331270000.0,432870000.0,424510000.0,354540000.0,337750000.0,360870000.0,407710000.0,486220000.0,585310000.0,535390000.0,519990000.0,774170000.0,898880000.0,1033660000.0,1006680000.0,1085130000.0,1126310000.0,1113550000.0,825620000.0,905700000.0,841540000.0,700890000.0,647000000.0,576240000.0,742890000.0,861580000.0,1552520000.0,1795520000.0,1702360000.0,1466250000.0,1029510000.0,883410000.0,1341930000.0,,
Argentina,ARG,"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,3200000.0,,600000.0,-1100000.0,11500000.0,-3300000.0,3100000.0,-4200000.0,-4200000.0,-4600000.0,-4200000.0,-1400000.0,-1850000.0,,,,,,,,1250000.0,910000.0,1250000.0,3400000.0,3490000.0,2900000.0,4620000.0,5740000.0,4980000.0,4550000.0,5630000.0,6020000.0,7470000.0,7110000.0,7370000.0,9060000.0,7770000.0,6620000.0,7510000.0,7630000.0,7510000.0,5900000.0,11740000.0,10500000.0,13600000.0,12330000.0,15870000.0,16800000.0,12750000.0,12270000.0,13500000.0,10950000.0,,
Armenia,ARM,"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460000.0,2200000.0,1600000.0,2010000.0,5770000.0,4340000.0,2360000.0,2040000.0,2530000.0,4120000.0,3840000.0,3030000.0,4000000.0,3810000.0,14110000.0,8500000.0,5530000.0,5670000.0,4470000.0,5590000.0,,
