Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,15000000.0,30000000.0,13000000.0,32000000.0,37000000.0,33470000.0,29970000.0,26390000.0,16920000.0,15000000.0,12000000.0,22000000.0,25000000.0,33000000.0,12000000.0,17000000.0,21000000.0,12000000.0,11000000.0,12000000.0,2000000.0,-7000000.0,-2000000.0,-2000000.0,-3000000.0,,-5000000.0,29000000.0,29000000.0,40000000.0,56000000.0,59000000.0,65000000.0,42000000.0,53000000.0,2000000.0,2000000.0,,,32080000.0,2420000.0,7700000.0,367610000.0,485790000.0,778290000.0,1318300000.0,1403710000.0,1514280000.0,2111580000.0,2979930000.0,2893400000.0,2901220000.0,,
Albania,ALB,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28000000.0,29000000.0,10000000.0,8000000.0,17000000.0,6000000.0,14170000.0,23760000.0,44720000.0,42260000.0,61790000.0,39990000.0,40310000.0,36030000.0,40580000.0,32120000.0,35890000.0,33000000.0,30140000.0,25470000.0,,
Algeria,DZA,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,1000000.0,2000000.0,38000000.0,39000000.0,43000000.0,7360000.0,27140000.0,11180000.0,180000.0,2000000.0,,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,,,,,,,,,2000000.0,1000000.0,,,,,60000.0,,230000.0,5160000.0,3220000.0,3790000.0,1050000.0,760000.0,1690000.0,9110000.0,8080000.0,8580000.0,9140000.0,,
American Samoa,ASM,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,,,,,,,,,,,,,,,,,,,1000000.0,2000000.0,7000000.0,5000000.0,4000000.0,2000000.0,7000000.0,7000000.0,7000000.0,6000000.0,6000000.0,1000000.0,1000000.0,10000000.0,3000000.0,14000000.0,34000000.0,31000000.0,25000000.0,22000000.0,28760000.0,48100000.0,37310000.0,33950000.0,105610000.0,152910000.0,121290000.0,67240000.0,32850000.0,39630000.0,42680000.0,41500000.0,54820000.0,66540000.0,,
Antigua and Barbuda,ATG,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,3000000.0,2000000.0,1000000.0,,,,,,,,,,230000.0,410000.0,-50000.0,310000.0,-60000.0,-170000.0,-180000.0,-170000.0,-190000.0,-190000.0,-200000.0,-180000.0,110000.0,180000.0,,
Arab World,ARB,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,375000000.0,424000000.0,423000000.0,396000000.0,395000000.0,264420000.0,233790000.0,124980000.0,118940000.0,99000000.0,96000000.0,139000000.0,145000000.0,98000000.0,143000000.0,216000000.0,385000000.0,602000000.0,807000000.0,829000000.0,1086000000.0,1147000000.0,1231000000.0,1378000000.0,1612000000.0,1989000000.0,1581000000.0,1508000000.0,1173000000.0,1295000000.0,2781000000.0,3519000000.0,2115000000.0,1587000000.0,1363000000.0,902000000.0,911000000.0,671000000.0,1027620000.0,1037830000.0,982820000.0,952770000.0,1461030000.0,3398020000.0,4846360000.0,13011680000.0,6482790000.0,5630420000.0,5486150000.0,5163780000.0,3777550000.0,3013020000.0,,
Argentina,ARG,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,45000000.0,41000000.0,68000000.0,11000000.0,7000000.0,-3240000.0,7550000.0,5360000.0,17210000.0,18000000.0,1000000.0,-2000000.0,-3000000.0,-2000000.0,1000000.0,-5000000.0,-5000000.0,-5000000.0,-5000000.0,-4000000.0,-1000000.0,-1000000.0,-2000000.0,-2000000.0,-2000000.0,,-2000000.0,,,,,,-10000000.0,-10000000.0,2000000.0,,,,270000.0,390000.0,-2470000.0,-470000.0,1610000.0,10370000.0,1820000.0,1360000.0,1970000.0,7820000.0,7170000.0,2620000.0,3850000.0,8590000.0,,
Armenia,ARM,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000000.0,62000000.0,86000000.0,60000000.0,88000000.0,22000000.0,35200000.0,47900000.0,103060000.0,77950000.0,114300000.0,74190000.0,73140000.0,53260000.0,64880000.0,79920000.0,93790000.0,78450000.0,91550000.0,90520000.0,,
Aruba,ABW,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000.0,,,,,,,,,,,,,
Australia,AUS,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000000.0,11000000.0,9000000.0,2000000.0,5870000.0,12490000.0,18890000.0,30910000.0,61530000.0,49270000.0,47580000.0,42800000.0,56540000.0,48980000.0,41950000.0,40430000.0,35940000.0,30150000.0,,
"Bahamas, The",BHS,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,1000000.0,,780000.0,5180000.0,7130000.0,6920000.0,5810000.0,6230000.0,,,,,,,,,
Bahrain,BHR,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000.0,,,,,,,,,,
Bangladesh,BGD,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,,,,,,,,,,,,,78000000.0,135000000.0,104000000.0,379000000.0,75000000.0,81000000.0,165000000.0,157000000.0,174000000.0,118000000.0,185000000.0,200000000.0,206000000.0,165000000.0,146000000.0,146000000.0,120000000.0,138000000.0,169000000.0,129000000.0,130000000.0,94000000.0,152000000.0,56000000.0,41000000.0,30000000.0,4040000.0,113630000.0,62540000.0,87130000.0,72140000.0,56610000.0,62850000.0,49150000.0,41770000.0,49140000.0,93190000.0,63820000.0,124710000.0,117140000.0,,
