Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3493000.0,1272000.0,1296000.0,881000.0,966000.0,862000.0,926000.0,12842000.0
Albania,ALB,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,833000.0,1254000.0,834000.0,1506000.0,2263000.0,3432000.0,7534000.0,12525000.0,15484000.0,17829000.0,23038000.0,25649000.0,27207000.0,39560000.0,45758000.0,54912000.0,61307000.0,107289000.0
Algeria,DZA,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,,,,,,,,,,,0.0,0.0,2824000.0,2895000.0,3055000.0,3431000.0,1477000.0,454000.0,4339000.0,8118000.0,41606000.0,21711000.0,25886000.0,25851000.0,100054000.0,142953000.0,103977000.0,183599000.0,208275000.0,212841000.0,311920000.0,387793000.0,334241000.0,350712000.0,449563000.0,454118000.0,411250000.0,698424000.0,411634000.0,424724000.0,351091000.0,523690000.0,644274000.0,520926000.0,1201216000.0,1190404000.0,2396291000.0,16188000.0,126935000.0,1293000.0,2226000.0,1358000.0,1146000.0,13308000.0
American Samoa,ASM,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4120000.0,3785000.0,1608000.0,100000.0,0.0,448000.0,1842000.0,0.0,572000.0,0.0,1338000.0,27495000.0,6195000.0,5801000.0,6439000.0,8553000.0,8484000.0,8732000.0,6702000.0,8468000.0,7898000.0,9523000.0,9997000.0,12595000.0,15714000.0
Antigua and Barbuda,ATG,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,,,,,,,,,,,119000.0,0.0,28625000.0,33566000.0,37744000.0,46503000.0,54554000.0,52458000.0,51408000.0,63884000.0,191688000.0,105891000.0,128832000.0,97766000.0,201751000.0,152435000.0,244193000.0,264006000.0,385608000.0,419451000.0,420408000.0,567372000.0,617945000.0,588612000.0,689014000.0,536747000.0,589760000.0,592205000.0,692479000.0,793366000.0,851858000.0,993877000.0,2289261000.0,5340573000.0,1334695000.0,1472316000.0,2364691000.0,2586832000.0,2266099000.0,1649687000.0,1652428000.0,1610724000.0,1735116000.0,1823513000.0
Armenia,ARM,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,10144000.0,5295000.0,30288000.0,12574000.0,7547000.0,7928000.0,21705000.0,18407000.0,17880000.0,14168000.0,15141000.0,15084000.0,12828000.0,15439000.0,17596000.0,21378000.0,22328000.0,25240000.0
Aruba,ABW,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,57610000.0,0.0,7255000.0,8287000.0,8718000.0,8595000.0,9820000.0,10863000.0,13957000.0,13247000.0,18278000.0,25324000.0,40952000.0,39054000.0,50144000.0,83553000.0,167714000.0
"Bahamas, The",BHS,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
