Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3493000.0,1272000.0,1296000.0,3140000.0,966000.0,862000.0,926000.0,39205000.0
Albania,ALB,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,4183000.0,6136000.0,8622000.0,6645000.0,8131000.0,8105000.0,19834000.0,25229000.0,35010000.0,38656000.0,52993000.0,50896000.0,56277000.0,78251000.0,86422000.0,99001000.0,105239000.0,165058000.0
Algeria,DZA,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,0.0,0.0,43708000.0,65732000.0,131243000.0,61487000.0,64210000.0,97893000.0,92989000.0,118622000.0,244347000.0,252509000.0,286166000.0,421869000.0,649110000.0,674127000.0,760358000.0,886631000.0,964258000.0,998189000.0,1173693000.0,1250065000.0,1194075000.0,1164110000.0,659219000.0,671281000.0,671462000.0,1044405000.0,976669000.0,1123159000.0,1054950000.0,1278740000.0,1500842000.0,1551056000.0,2730111000.0,3013914000.0,10974636000.0,214166000.0,369968000.0,154771000.0,167337000.0,254548000.0,488398000.0,202865000.0
American Samoa,ASM,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70892000.0,59475000.0,66841000.0,40460000.0,23567000.0,33221000.0,23747000.0,33166000.0,48466000.0,434280000.0,433732000.0,268495000.0,1037493000.0,50609000.0,87289000.0,523481000.0,505193000.0,1201147000.0,351996000.0,275743000.0,309779000.0,282763000.0,819706000.0,1164385000.0,3633754000.0
Antigua and Barbuda,ATG,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,36574000.0,6051000.0,80244000.0,70850000.0,83497000.0,102229000.0,125835000.0,167617000.0,122928000.0,146144000.0,288897000.0,207401000.0,226803000.0,235086000.0,332567000.0,163497000.0,393428000.0,430313000.0,529861000.0,455721000.0,469463000.0,665672000.0,688558000.0,667674000.0,764602000.0,1381930000.0,1672143000.0,1983246000.0,1818065000.0,2083516000.0,1871112000.0,1725534000.0,2383436000.0,5375345000.0,1369751000.0,1500556000.0,2375754000.0,2697125000.0,2379797000.0,1795832000.0,1923444000.0,1907377000.0,2147741000.0,2051614000.0
Armenia,ARM,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592000.0,0.0,2817000.0,32830000.0,7533000.0,40163000.0,25672000.0,12848000.0,24046000.0,23779000.0,46157000.0,50617000.0,15896000.0,16869000.0,16857000.0,14703000.0,21154000.0,23847000.0,28485000.0,29977000.0,83206000.0
Aruba,ABW,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,57610000.0,0.0,7255000.0,11923000.0,20786000.0,26274000.0,38357000.0,31279000.0,34490000.0,30508000.0,23619000.0,45526000.0,101674000.0,97234000.0,115527000.0,144322000.0,267720000.0
"Bahamas, The",BHS,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,,,0.0,6213000.0,13599000.0,51635000.0,35912000.0,43984000.0,56081000.0,45656000.0,27812000.0,46111000.0,57733000.0,61704000.0,80446000.0,86185000.0,122990000.0,143972000.0,181779000.0,163192000.0,301103000.0,235971000.0,255015000.0,233745000.0,264927000.0,413736000.0,332520000.0,356401000.0,334471000.0,396600000.0,464836000.0,407151000.0,445301000.0,387619000.0,423699000.0,550531000.0,458832000.0,718609000.0,612170000.0,690728000.0,732099000.0,1038629000.0,979837000.0,1361875000.0
Barbados,BRB,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,59730000.0,84057000.0,23263000.0,20388000.0,20067000.0,43327000.0,39345000.0,63432000.0,53139000.0,42757000.0,84532000.0,91564000.0,71074000.0,95846000.0,94785000.0,97239000.0,107721000.0,167488000.0,2551486000.0,490975000.0
Belgium,BEL,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,0.0,0.0,30000.0,199000.0,192000.0,180000.0,157000.0,151000.0,133000.0,236000.0,512000.0,865000.0,1328000.0,1879000.0,1118000.0,4860000.0,2797000.0,3920000.0,5452000.0,4696000.0,6639000.0,6656000.0,7595000.0,9334000.0,11760000.0,17809000.0,18186000.0,16862000.0,17265000.0,17514000.0,19555000.0,18439000.0,20700000.0,21927000.0,23868000.0,20635000.0,31170000.0,88434000.0,37603000.0,38773000.0,40708000.0,32454000.0,31258000.0,33363000.0
Benin,BEN,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,52000.0,63000.0,1548000.0,931000.0,2660000.0,3234000.0,2476000.0,1980000.0,1681000.0,1673000.0,2410000.0,3879000.0,4763000.0,7443000.0,5172000.0,8143000.0,10953000.0,10828000.0,10006000.0,7050000.0,18331000.0,15301000.0,14936000.0,17838000.0,18807000.0,23198000.0,24053000.0,25455000.0,27660000.0,34898000.0,43210000.0,20306000.0,20707000.0,15187000.0,17739000.0,20278000.0,27016000.0,18226000.0,15979000.0,25249000.0,25107000.0,29021000.0,39058000.0,74742000.0
Bermuda,BMU,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
