Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Currency composition of PPG debt, Japanese yen (%)",DT.CUR.JYEN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,ALB,"Currency composition of PPG debt, Japanese yen (%)",DT.CUR.JYEN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.4099,2.4662,3.9243,4.0419,3.99,5.2667,3.1722,2.6209,2.8037,3.0112,3.3579,3.9497,3.41,2.9718,2.7427,2.2467,2.1431,2.0053,1.5911,
Algeria,DZA,"Currency composition of PPG debt, Japanese yen (%)",DT.CUR.JYEN.ZS,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0979,1.1292,4.3408,9.846,10.2782,13.3894,12.8051,13.2225,14.7274,13.539,16.9112,19.6575,20.8682,19.056,15.6407,15.0503,15.6086,15.2038,15.8076,15.01,13.1258,12.1293,11.7693,12.0572,15.1302,14.4685,12.5537,13.1365,12.7832,11.0621,8.2048,6.1466,4.6838,4.9985,4.2047,4.6631,0.8514,0.9978,
American Samoa,ASM,"Currency composition of PPG debt, Japanese yen (%)",DT.CUR.JYEN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Currency composition of PPG debt, Japanese yen (%)",DT.CUR.JYEN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Currency composition of PPG debt, Japanese yen (%)",DT.CUR.JYEN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4007,0.3177,0.3692,0.3352,0.3496,0.3726,0.3443,0.3106,0.2984,0.4279,0.5055,0.4601,0.452,0.4607,0.5097,0.4516,0.342,0.0,0.0,0.0,0.0,0.0,0.2252,0.8965,
Antigua and Barbuda,ATG,"Currency composition of PPG debt, Japanese yen (%)",DT.CUR.JYEN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Currency composition of PPG debt, Japanese yen (%)",DT.CUR.JYEN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Currency composition of PPG debt, Japanese yen (%)",DT.CUR.JYEN.ZS,,,,,,,,,,,0.0,0.0,0.3633,0.9974,1.4063,1.8023,3.237,5.3021,6.9604,4.8883,5.7246,6.2368,4.2903,2.7955,2.5786,4.3065,5.4936,6.9525,7.9328,6.4727,6.6249,6.6389,6.5901,4.3047,6.2443,9.1902,8.3311,6.8515,6.2255,5.3863,5.763,4.193,4.4724,4.6125,4.4581,2.617,2.3898,2.2251,2.7707,2.5498,2.9712,3.1573,2.8614,
Armenia,ARM,"Currency composition of PPG debt, Japanese yen (%)",DT.CUR.JYEN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.1814,0.1895,0.178,0.1691,0.3533,7.0412,12.0997,11.3443,14.6414,14.4753,11.9611,
