Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106701900.0,140117200.0,95797700.0,108771300.0,76002800.0,62240700.0,52087400.0,106218000.0
Albania,ALB,"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2065000.0,25841000.0,35976000.0,47969000.0,40241000.0,22270000.0,69066000.0,111525000.0,100639000.0,55797000.0,109623000.0,102357000.0,108363000.0,84913000.0,114711000.0,130574000.0,171521000.0,190516000.0,148696000.0,227957000.0,251867000.0,210291000.0
Algeria,DZA,"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,,,,,,,,,,,0.0,0.0,0.0,1709000.0,2912000.0,44017000.0,51708000.0,55189000.0,57069000.0,70686000.0,54178000.0,66409000.0,34910000.0,97393000.0,214783000.0,183763000.0,313832000.0,270082000.0,462468000.0,456944000.0,611825000.0,953261000.0,548418000.0,476743000.0,701057000.0,932157000.0,822825000.0,792384000.0,594081000.0,428329000.0,348814000.0,339763000.0,386156000.0,566259000.0,424407000.0,357892000.0,53653000.0,6015000.0,4532000.0,0.0,-31000.0,0.0,0.0,54379000.0
American Samoa,ASM,"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7912000.0,4531000.0,37242000.0,21045000.0,13991000.0,33325000.0,30313000.0,37752000.0,27887000.0,36422000.0,38839000.0,23710000.0,12829000.0,20743000.0,9584000.0,24662000.0,34149000.0,21268000.0,10061000.0,16437000.0,23110000.0,12660000.0,20658000.0,49534000.0,113422000.0
Antigua and Barbuda,ATG,"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,,,,,,,,,,,0.0,0.0,83610000.0,150321000.0,155709000.0,106395000.0,120911000.0,116135000.0,209763000.0,161217000.0,216356000.0,276084000.0,248908000.0,366676000.0,325283000.0,368807000.0,607843000.0,964539000.0,749069000.0,846454000.0,748324000.0,831070000.0,382441000.0,2550346000.0,806228000.0,1958850000.0,1614144000.0,1696190000.0,3522713000.0,2827721000.0,1945491000.0,2838149000.0,841301000.0,4619694000.0,1117037000.0,988752000.0,1664188000.0,2373246000.0,1998454000.0,3069821000.0,2436558000.0,2584180000.0,2106668000.0,1918957000.0
Armenia,ARM,"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63364000.0,37319000.0,102366000.0,122015000.0,81257000.0,50044000.0,78694000.0,58131000.0,70895000.0,72281000.0,84436000.0,83152000.0,36566000.0,71880000.0,110471000.0,92423000.0,324277000.0,127120000.0,164265000.0,231688000.0,94918000.0
