Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,ALB,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5201000.0,0.0,1000.0,0.0,0.0,0.0,0.0,324000.0,399000.0,389000.0,2418000.0,2760000.0,437000.0,441000.0,481000.0,345485000.0,15708000.0,5542000.0,9305000.0,13723000.0,13451000.0
Algeria,DZA,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,0.0,0.0,143000000.0,955000000.0,203701000.0,556109000.0,562487000.0,643936000.0,2051963000.0,1334332000.0,890862000.0,257515000.0,664062000.0,931745000.0,618423000.0,1023453000.0,1898619000.0,985874000.0,1392546000.0,354830000.0,206169000.0,170295000.0,1255474000.0,453037000.0,100366000.0,221531000.0,98753000.0,28515000.0,5703000.0,3224000.0,486000.0,1095000.0,250572000.0,25406000.0,10619000.0,8104000.0,36634000.0,20469000.0,28861000.0,1195000.0,1144000.0,2140000.0,0.0,8911000.0
American Samoa,ASM,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16806000.0,16505000.0,14558000.0,9264000.0,16434000.0,299091000.0,396131000.0,685173000.0,1125829000.0,549013000.0,835304000.0,1010348000.0,1045715000.0,1150000000.0,1711765000.0,1968878000.0,3235894000.0,573065000.0,4561569000.0,3275765000.0,2291832000.0,23603000.0,2287650000.0,1905258000.0,1054706000.0
Antigua and Barbuda,ATG,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,0.0,0.0,176534000.0,310198000.0,349260000.0,67287000.0,1247999000.0,584884000.0,1513973000.0,2299534000.0,2173433000.0,1115503000.0,639157000.0,1663473000.0,223263000.0,2996878000.0,1543984000.0,1782725000.0,713921000.0,215281000.0,183167000.0,134151000.0,32839000.0,20631000.0,67660000.0,105079000.0,137381000.0,39010000.0,14063000.0,17967000.0,2052000.0,128000.0,1629000.0,213000.0,160000.0,55000.0,10000.0,12000.0,6000.0,6000.0,25490000.0,12273000.0,35875000.0,11389000.0
Armenia,ARM,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2366000.0,10236000.0,3078000.0
Aruba,ABW,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8057000.0,55618000.0,515000.0,47000.0,0.0,0.0,235648000.0,120950000.0,119455000.0,166781000.0,345612000.0,169865000.0,180078000.0,75204000.0,508718000.0
"Bahamas, The",BHS,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,,,0.0,13136000.0,2300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4016000.0,0.0,0.0,0.0,637000.0,0.0,0.0,0.0,22198000.0,0.0,0.0,0.0,6363000.0,0.0,0.0,0.0,0.0,0.0,14516000.0,11307000.0,0.0,0.0,14306000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Barbados,BRB,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,23287000.0,19977000.0,8148000.0,1550000.0,11394000.0,0.0,47781000.0,26908000.0,23214000.0,1631000.0,0.0,32000000.0,81617000.0,1195944000.0,600000000.0,9649000.0,98744000.0,300276000.0,1172768000.0,1148704000.0
Belgium,BEL,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
