Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910370500.0,1827261700.0,1874875600.0,1985917600.0,1855752000.0,1912670100.0,1960713000.0,
Albania,ALB,"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8202000.0,49679000.0,114244000.0,184980000.0,257835000.0,326337000.0,341586000.0,438810000.0,505053000.0,549140000.0,595795000.0,853107000.0,1054308000.0,1198647000.0,1174637000.0,1330738000.0,1473929000.0,1529266000.0,1702742000.0,1735371000.0,1800028000.0,1944123000.0,
Algeria,DZA,"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD,,,,,,,,,,,0.0,0.0,574964000.0,745579000.0,936055000.0,948130000.0,936409000.0,1059224000.0,1146589000.0,1328435000.0,1267150000.0,1165336000.0,1006832000.0,854109000.0,585097000.0,521440000.0,563784000.0,659640000.0,626130000.0,616273000.0,857682000.0,952811000.0,1068237000.0,1330306000.0,2071358000.0,3118659000.0,3338629000.0,3177792000.0,3344408000.0,3515754000.0,3208600000.0,2814244000.0,3061288000.0,3362899000.0,3577785000.0,2959737000.0,1874812000.0,2087792000.0,2028711000.0,2030018000.0,1840831000.0,1606883000.0,1172254000.0,
American Samoa,ASM,"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885645000.0,1197400000.0,1280390000.0,1302059000.0,1315004000.0,1405195000.0,1490220000.0,2152488000.0,2212305000.0,2385485000.0,2004274000.0,1790910000.0,780645000.0,858037000.0,945597000.0,1648269000.0,1758852000.0,1982547000.0,2643312000.0,3527451000.0,4369403000.0,4355872000.0,4289884000.0,4417035000.0,
Antigua and Barbuda,ATG,"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD,,,,,,,,,,,0.0,0.0,266850000.0,302764000.0,341300000.0,354370000.0,371509000.0,380271000.0,515267000.0,571572000.0,509167000.0,463937000.0,457099000.0,278523000.0,287002000.0,299943000.0,353067000.0,353937000.0,354669000.0,754477000.0,757241000.0,783561000.0,1354781000.0,2099512000.0,2480420000.0,2996626000.0,2747108000.0,2521710000.0,2452993000.0,2327745000.0,1940816000.0,1581863000.0,1391477000.0,1511318000.0,1593487000.0,1467745000.0,1703246000.0,1807894000.0,2173482000.0,2528652000.0,2722831000.0,3140353000.0,3288250000.0,
Armenia,ARM,"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16626000.0,20680000.0,105877000.0,201758000.0,258709000.0,347376000.0,420600000.0,458723000.0,511554000.0,639544000.0,794408000.0,926098000.0,899890000.0,1023041000.0,1275587000.0,1439422000.0,2320220000.0,2439684000.0,2564586000.0,2683509000.0,
