Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.0,0.8,0.8,4.2,8.8,9.2,
Albania,ALB,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.1471,77.8423,73.4553,65.8287,13.5848,6.4206,9.2517,5.5976,3.7562,3.2668,2.6512,2.4583,9.6275,0.0764,7.3787,15.6762,17.6228,27.1267,15.7705,10.9241,14.9474,21.3142,
Algeria,DZA,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9072,12.6163,10.4455,12.0073,12.5583,15.5957,11.9567,11.0696,10.1967,13.9167,5.3802,6.2085,6.7516,2.8098,4.349,2.9028,2.6713,2.1049,0.7904,0.9741,0.5247,0.606,0.6928,0.8719,0.8727,0.4667,0.6121,1.921,3.0189,9.1497,12.2209,20.8719,20.1535,24.5407,18.8863,21.3522,
American Samoa,ASM,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4048,11.5053,14.4204,19.1674,17.7803,19.2218,17.0218,11.0804,12.7327,15.6205,14.8548,13.5497,16.5331,13.2638,11.8122,12.2224,18.9444,21.5577,19.0219,15.4219,15.2374,11.7639,9.4293,10.0507,
Antigua and Barbuda,ATG,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,0.0,0.0,10.8068,10.7666,10.7584,10.7447,10.735,23.3304,25.3782,32.6347,38.0032,36.0836,37.7304,19.3315,21.8468,13.1584,8.3698,6.0164,9.8314,13.0071,16.7549,20.63,23.5787,13.3774,9.5492,21.6201,21.0954,25.2197,22.0948,19.6083,19.2651,13.3621,10.1418,13.8457,16.0473,27.3392,23.9031,16.0046,16.313,15.5839,11.8365,13.6716,11.551,
Armenia,ARM,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0149,0.4978,0.5774,0.2689,3.4457,5.6165,4.8113,4.3995,2.9945,12.8528,20.2581,19.4649,15.1344,14.3641,15.116,12.7877,10.3778,9.9435,11.7742,10.6134,
Aruba,ABW,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1125,8.5228,4.3715,3.532,0.7873,0.2096,2.2905,10.2482,7.0459,5.0633,5.4864,6.8302,8.7784,19.3441,27.9687,26.1687,17.0349,12.3775,10.6457,8.7724,
"Bahamas, The",BHS,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,0.0,0.1065,0.0037,0.1205,0.1611,1.1599,2.5674,3.7461,5.5768,5.4176,4.2314,3.1806,2.4007,2.0683,1.5804,0.7603,0.4847,0.6312,1.2693,1.6826,1.734,1.0827,1.2566,1.2667,1.0756,1.2281,0.9658,1.5463,2.1416,2.4172,3.4395,3.3559,3.6217,3.7316,5.859,6.4085,8.2533,7.8567,11.4525,13.5595,6.3783,
Barbados,BRB,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.716,5.3975,6.5109,49.0043,55.3341,56.9032,48.7763,47.5645,47.0811,48.2199,52.5108,64.0489,66.3014,66.9635,58.9451,49.9815,41.1544,41.7783,39.6322,35.3339,
Belgium,BEL,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8655,33.0201,52.9034,25.3795,6.9204,10.6068,21.6534,18.1806,11.2278,9.7685,10.7628,4.1436,3.7051,4.2696,6.6522,6.0759,9.7326,8.1629,13.9992,11.0426,40.4389,15.1502,13.74,9.4715,8.504,6.5823,8.9038,0.1409,0.6934,0.7605,0.6937,0.5977,0.7482,0.537,0.62,1.4953,
Benin,BEN,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,0.0,0.0,4.2567,3.2227,3.7424,4.4293,3.5279,15.2741,21.8953,21.5519,15.4588,15.5494,10.3251,10.4323,11.6123,16.1516,16.4946,16.8753,12.9401,6.615,4.9595,5.3393,2.296,2.6052,2.2388,3.3658,3.4031,9.6467,5.9938,8.2002,4.7368,5.4475,4.666,2.3588,1.5777,2.6347,6.3093,0.6366,9.1519,16.1607,21.2991,26.5618,26.3647,
Bermuda,BMU,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7161,3.9057,1.7281,0.9989,1.7698,0.6736,0.5446,0.092,1.672,0.0,1.0467,0.7231,0.011,0.265,0.8894,0.0,1.8968,2.2151,2.243,1.1515,0.6568,0.6612,0.7632,6.8521,
Bolivia,BOL,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,0.0,0.0,14.624,14.4809,14.5029,14.4608,14.6441,15.8176,16.2766,20.2679,10.8632,9.1479,6.9076,7.4755,11.5359,13.3938,13.3559,13.9734,7.1341,6.0267,3.531,3.4852,4.0615,4.7089,6.0442,5.7252,7.0959,8.0874,7.2651,7.2992,6.8387,7.9394,7.2566,5.6673,4.3381,2.6111,3.76,10.2394,8.7233,9.4261,10.3728,9.809,10.4207,
Bosnia and Herzegovina,BIH,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.644,1.7619,2.2252,10.9218,2.3868,5.6156,15.0528,16.4221,18.2387,9.241,14.8133,10.448,12.868,11.9313,
Botswana,BWA,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6167,2.3897,13.1687,2.9492,5.0143,1.4648,1.7534,1.8733,0.5786,0.7646,0.7834,0.7052,0.6473,1.045,1.083,1.0397,1.1684,1.6031,1.4214,0.9596,6.9598,1.3962,3.8631,3.272,5.1807,3.2366,5.5756,4.257,7.7172,6.1739,5.2383,9.7621,13.4125,19.8654,17.1519,15.4728,
