Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,ALB,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19269000.0,17090000.0,17010000.0,14725000.0,15588000.0,13668000.0,34019000.0,413243000.0,338616000.0,434878000.0,638290000.0,883582000.0,1284869000.0,1732197000.0,1796331000.0,
Algeria,DZA,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419000.0,7612000.0,34820000.0,80124000.0,96727000.0,119725000.0,104939000.0,95303000.0,88504000.0,89811000.0,116408000.0,160078000.0,137424000.0,121627000.0,112177000.0,249862000.0,731732000.0,914328000.0,1040476000.0,1364109000.0,1370845000.0,1639722000.0,1169616000.0,1116760000.0,945167000.0,1003122000.0,
American Samoa,ASM,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7308000.0,4891000.0,4790000.0,6824000.0,6779000.0,29400000.0,29461000.0,25020000.0,28301000.0,26190000.0,26357000.0,26191000.0,26081000.0,26397000.0,23898000.0,12101000.0,11673000.0,6678000.0,1603000.0,1048000.0,493000.0,493000.0,493000.0,493000.0,
Antigua and Barbuda,ATG,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,0.0,0.0,3546185000.0,3510287000.0,3598771000.0,3627039000.0,3814450000.0,4121172000.0,4562615000.0,7633503000.0,8800675000.0,14381354000.0,13650161000.0,17210670000.0,16218803000.0,7458494000.0,7136925000.0,2827313000.0,2612136000.0,3371498000.0,3969587000.0,3924034000.0,4303659000.0,6392544000.0,13166829000.0,16118467000.0,19139122000.0,23517112000.0,27956047000.0,27432519000.0,26015194000.0,31721935000.0,28581637000.0,28494558000.0,23914870000.0,26448272000.0,26980090000.0,30198945000.0,31057709000.0,28504663000.0,31211314000.0,34825711000.0,36429928000.0,
Armenia,ARM,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360880000.0,358770000.0,367650000.0,381430000.0,445510000.0,496140000.0,998650000.0,1372510000.0,1401216000.0,2187013000.0,2814957000.0,2933076000.0,
Aruba,ABW,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,72338000.0,108497000.0,98633000.0,95180000.0,72487000.0,76413000.0,230222000.0,187240000.0,103834000.0,143007000.0,326849000.0,313823000.0,2158024000.0,2616442000.0,2752362000.0,
"Bahamas, The",BHS,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Barbados,BRB,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98200000.0,289922000.0,483127000.0,535898000.0,351069000.0,492918000.0,788374000.0,1145912000.0,1607913000.0,3330696000.0,4490617000.0,5876464000.0,6039392000.0,
Belgium,BEL,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,843000.0,219398000.0,209389000.0,243230000.0,217964000.0,205745000.0,
Benin,BEN,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bermuda,BMU,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9882000.0,7706000.0,
Bolivia,BOL,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,0.0,0.0,18816000.0,17364000.0,18912000.0,19671000.0,30927000.0,34199000.0,74715000.0,113810000.0,107215000.0,92199000.0,139394000.0,382272000.0,344587000.0,559209000.0,556560000.0,200793000.0,200000000.0,200000000.0,176500000.0,142000000.0,140300000.0,184400000.0,190500000.0,239100000.0,285000000.0,426000000.0,642612000.0,1049913000.0,1403359000.0,1022032000.0,968515000.0,1067239000.0,1112486000.0,1937058000.0,2405794000.0,2631428000.0,2978160000.0,2656375000.0,2368209000.0,2183104000.0,1805629000.0,
Bosnia and Herzegovina,BIH,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3014000.0,662513000.0,707457000.0,621642000.0,1896478000.0,2434731000.0,2767455000.0,3186004000.0,4560995000.0,5868188000.0,5541204000.0,4394991000.0,4216221000.0,4224970000.0,
Botswana,BWA,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2713000.0,2419000.0,1810000.0,1330000.0,1439000.0,1441000.0,1396000.0,870000.0,461000.0,0.0,0.0,0.0,28964000.0,32283000.0,30520000.0,24119000.0,16740000.0,13449000.0,11557000.0,5352000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79689000.0,
Brazil,BRA,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,0.0,0.0,4507206000.0,5524755000.0,8715034000.0,10354263000.0,12172611000.0,14253019000.0,17942130000.0,17785607000.0,18685165000.0,21759332000.0,25043382000.0,23357611000.0,20986776000.0,18853843000.0,16165630000.0,15881426000.0,12061889000.0,6607817000.0,7241334000.0,8338082000.0,13625679000.0,21329210000.0,25166613000.0,31697861000.0,49756689000.0,76461871000.0,110226736000.0,115543335000.0,113127479000.0,96605794000.0,88321664000.0,83683299000.0,73760736000.0,70855023000.0,90089429000.0,119982737000.0,147092062000.0,152435458000.0,188041687000.0,266139332000.0,290139763000.0,
Brunei Darussalam,BRN,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342000000.0,413000000.0,423781000.0,553704000.0,690716000.0,768624000.0,781798000.0,1110797000.0,1825796000.0,3807107000.0,5522000000.0,7542585000.0,13688757000.0,25871249000.0,30148486000.0,28237846000.0,29252658000.0,30839701000.0,
Burkina Faso,BFA,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,0.0,0.0,1548000.0,1576000.0,1367000.0,1029000.0,2760000.0,2636000.0,3621000.0,4941000.0,4681000.0,3442000.0,2863000.0,1837000.0,1303000.0,1438000.0,1429000.0,1439000.0,1015000.0,798000.0,601000.0,595000.0,370000.0,173000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Burundi,BDI,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,0.0,0.0,1645000.0,1909000.0,2291000.0,1926000.0,1962000.0,2004000.0,2180000.0,3625000.0,1153000.0,581000.0,398000.0,85000.0,0.0,0.0,0.0,0.0,0.0,1427000.0,1733000.0,1608000.0,1475000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cambodia,KHM,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cameroon,CMR,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,0.0,0.0,26064000.0,27142000.0,38085000.0,36968000.0,40617000.0,45072000.0,87833000.0,186995000.0,244783000.0,317238000.0,414533000.0,572299000.0,641869000.0,418978000.0,543080000.0,558280000.0,475398000.0,478878000.0,352784000.0,304564000.0,360578000.0,366199000.0,304089000.0,365133000.0,371689000.0,257395000.0,237858000.0,405722000.0,364075000.0,225986000.0,177335000.0,614886000.0,632423000.0,592226000.0,489195000.0,636025000.0,635544000.0,615324000.0,577210000.0,461174000.0,367940000.0,
Canada,CAN,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
