Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910881500.0,1893470700.0,1985366600.0,2096969600.0,1966407000.0,2023325100.0,2071368000.0,
Albania,ALB,"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86200000.0,126853000.0,178988000.0,247575000.0,332006000.0,406192000.0,413720000.0,504972000.0,582655000.0,920275000.0,967946000.0,992674000.0,1229642000.0,1401789000.0,1374639000.0,1577809000.0,1788735000.0,2298124000.0,2601637000.0,3043231000.0,3286404000.0,3552326000.0,
Algeria,DZA,"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD,,,,,,,,,,,0.0,0.0,1549797000.0,2991380000.0,3365978000.0,4632813000.0,6114380000.0,8912950000.0,13748603000.0,16572558000.0,17038274000.0,16063310000.0,14888482000.0,14410460000.0,14131301000.0,16398736000.0,19497653000.0,23133009000.0,24473216000.0,24755149000.0,26612773000.0,26158783000.0,25642567000.0,24997107000.0,28351260000.0,31224502000.0,31205058000.0,28606165000.0,28335911000.0,25791318000.0,23247653000.0,20773190000.0,21182854000.0,21718663000.0,20238812000.0,15352054000.0,3812345000.0,3810691000.0,3104790000.0,2865008000.0,2505783000.0,2118390000.0,1593811000.0,
American Samoa,ASM,"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6668862000.0,7598568000.0,7699141000.0,8131087000.0,8695610000.0,9092674000.0,9513054000.0,9352277000.0,8653282000.0,9073361000.0,8686683000.0,8058651000.0,6956635000.0,7504454000.0,7596132000.0,8153953000.0,9506332000.0,7340942000.0,9229029000.0,12689378000.0,13634192000.0,15465634000.0,17524129000.0,18202355000.0,
Antigua and Barbuda,ATG,"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD,,,,,,,,,,,0.0,0.0,2413680000.0,2860458000.0,3282402000.0,3132751000.0,4137850000.0,4412090000.0,5517041000.0,6632329000.0,8138387000.0,8506770000.0,13615839000.0,18810998000.0,21025431000.0,34654538000.0,38400368000.0,48508937000.0,47007408000.0,50542393000.0,44984423000.0,45719421000.0,45811839000.0,46116463000.0,50545101000.0,55168974000.0,62457544000.0,65464110000.0,75751190000.0,88251769000.0,87218385000.0,83604721000.0,87519536000.0,94322245000.0,99951137000.0,56191242000.0,62648015000.0,70443593000.0,70965913000.0,75819526000.0,69143744000.0,68238085000.0,67499954000.0,
Armenia,ARM,"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133903000.0,188628000.0,298280000.0,402669000.0,484427000.0,568633000.0,651399000.0,675129000.0,715606000.0,818495000.0,877229000.0,960650000.0,922508000.0,1037262000.0,1282416000.0,1445652000.0,2376290000.0,2556879000.0,2736487000.0,2955941000.0,
