Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.4,0.5,0.0,0.0,0.0,0.0,
Albania,ALB,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0372,1.6593,0.598,1.6894,3.3559,1.387,0.5278,2.6332,1.6804,3.498,3.552,1.2416,1.8073,2.331,2.0165,3.3673,4.3377,1.8468,2.9784,3.7015,1.3461,2.0598,
Algeria,DZA,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,0.0,0.0,4.3835,6.3363,5.8319,5.9928,7.856,7.9514,9.0844,7.9676,7.7127,7.7169,9.6473,7.3906,9.5344,8.0529,6.6301,6.9942,6.0614,7.4112,6.9572,7.8665,5.8893,5.2776,4.9832,6.1887,5.7589,5.4549,6.1423,5.2812,6.2048,3.4576,2.8573,2.0339,2.9599,3.0857,0.6061,1.1804,0.0,2.03,0.0,0.0,0.0,
American Samoa,ASM,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8282,5.7279,3.3475,3.0334,2.0225,10.2379,8.065,2.7767,2.9746,1.4491,0.0,0.75,0.0,0.75,3.4995,3.1439,6.5471,1.0743,0.4314,0.5918,3.4302,3.7653,8.6986,1.8776,
Antigua and Barbuda,ATG,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,0.0,0.0,7.5829,7.2068,5.5948,6.5742,6.9635,8.1315,7.2957,6.626,6.1225,8.8871,7.1639,9.7035,9.1149,8.9437,8.3758,7.8585,7.5521,7.8175,6.4564,7.7709,8.228,6.3438,5.5435,6.4755,6.7866,6.7287,8.4845,7.8587,7.1512,5.9188,3.4387,3.7568,3.0531,4.1977,5.4531,6.0836,3.2592,1.8476,1.2626,1.1053,1.2163,
Armenia,ARM,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3875,3.5712,1.2826,1.845,1.9997,1.6727,0.8562,0.75,0.6858,0.75,0.75,0.75,0.7898,0.75,1.4695,1.2235,2.8581,1.8841,0.9386,1.7795,
Aruba,ABW,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2105,6.2664,1.3703,2.387,1.9844,1.3945,1.2456,4.3339,1.3581,0.75,1.5518,2.7147,2.3455,4.2793,5.0095,2.7461,1.4304,1.4049,0.9878,1.4559,
"Bahamas, The",BHS,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,2.2999,1.8236,2.756,1.8422,1.4555,1.4775,1.4755,1.124,1.4801,1.5356,1.7119,1.7447,1.419,1.2976,1.364,1.2639,1.4771,1.1274,1.1403,0.9769,0.9396,1.1032,0.9074,1.8824,1.0563,1.6245,1.5896,1.1852,2.4224,1.1962,1.347,1.2088,1.0029,1.4537,2.032,2.1028,1.1654,1.9772,0.8459,0.8259,0.9308,
Barbados,BRB,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9484,6.8046,4.7063,0.0,5.8,5.7,0.0,6.7803,2.9734,3.5,0.0,3.3644,5.0077,5.9193,4.552,6.1213,4.1346,5.9862,2.4951,2.1483,
Belgium,BEL,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,0.0,0.0,0.0,4.0,4.0,0.747,3.5672,4.0,4.0,7.4554,4.3727,6.636,5.3159,7.5572,0.2664,3.3888,8.25,4.4142,5.3978,0.3798,5.0,7.1315,6.1768,6.4082,5.7999,5.9076,5.1709,6.4033,6.4145,6.3141,6.276,5.7954,1.2872,6.2952,2.9833,0.0,2.9175,5.0801,4.0877,1.9352,2.0424,3.0884,0.5874,
Benin,BEN,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,0.0,0.0,0.4044,1.6032,2.2021,1.6777,1.437,1.7637,3.7969,2.9975,4.1196,2.2412,3.0708,1.41,4.6999,3.8664,4.1033,1.0202,2.5836,1.0652,1.3049,1.2326,1.4076,0.9145,0.8089,1.6765,1.1761,1.781,1.9779,2.4181,1.8709,0.8631,1.1057,1.7026,1.019,1.4571,1.2422,1.4647,1.3371,1.3786,1.1482,1.3818,1.052,
Bermuda,BMU,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
