Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"IMF charges (INT, current US$)",DT.INT.DIMF.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1415000.0,2944000.0,2287000.0,1451000.0,586100.0,878800.0,1156800.0,1634700.0,1641100.0,738200.0,1068900.0,778200.0,261700.0,71800.0,
Albania,ALB,"IMF charges (INT, current US$)",DT.INT.DIMF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,103000.0,940000.0,1083000.0,1282000.0,916000.0,492000.0,798000.0,3242000.0,3638000.0,2150000.0,1649000.0,1449000.0,1999000.0,2555000.0,3331000.0,3167000.0,1372000.0,676000.0,400000.0,262000.0,151000.0,
Algeria,DZA,"IMF charges (INT, current US$)",DT.INT.DIMF.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22113000.0,61767000.0,58857000.0,69450000.0,41987000.0,30947000.0,68916000.0,75335000.0,92970000.0,98635000.0,84553000.0,99675000.0,79956000.0,46337000.0,26631000.0,25878000.0,23855000.0,8833000.0,6952000.0,1625000.0,4320000.0,5905000.0,2021000.0,549000.0,
American Samoa,ASM,"IMF charges (INT, current US$)",DT.INT.DIMF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"IMF charges (INT, current US$)",DT.INT.DIMF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"IMF charges (INT, current US$)",DT.INT.DIMF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14410000.0,15628000.0,7751000.0,6752000.0,5996000.0,8982000.0,12221000.0,16349000.0,14294000.0,3539000.0,984000.0,6980000.0,15405000.0,14240000.0,
Antigua and Barbuda,ATG,"IMF charges (INT, current US$)",DT.INT.DIMF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"IMF charges (INT, current US$)",DT.INT.DIMF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"IMF charges (INT, current US$)",DT.INT.DIMF.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,4930000.0,2670000.0,18240000.0,27090000.0,10390000.0,0.0,0.0,0.0,0.0,48990000.0,281849000.0,240295000.0,372774000.0,196516000.0,247561000.0,276356000.0,277275000.0,237401000.0,178325000.0,205588000.0,202903000.0,274461000.0,270276000.0,276305000.0,264040000.0,213903000.0,213141000.0,425492000.0,685409000.0,511015000.0,564537000.0,524270000.0,102212000.0,17206000.0,4021000.0,7284000.0,9955000.0,3407000.0,926000.0,
Armenia,ARM,"IMF charges (INT, current US$)",DT.INT.DIMF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1725000.0,3176000.0,3278000.0,3438000.0,7620000.0,7907000.0,4619000.0,3605000.0,3178000.0,4144000.0,4970000.0,6125000.0,5405000.0,1897000.0,4016000.0,8842000.0,12541000.0,11332000.0,
Aruba,ABW,"IMF charges (INT, current US$)",DT.INT.DIMF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"IMF charges (INT, current US$)",DT.INT.DIMF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
