Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Interest payments on external debt, short-term (INT, current US$)",DT.INT.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1234000.0,776000.0,1093000.0,
Albania,ALB,"Interest payments on external debt, short-term (INT, current US$)",DT.INT.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3000000.0,1353000.0,2037000.0,2085000.0,1257000.0,1607000.0,1208000.0,1095000.0,2634000.0,1250000.0,4258000.0,17142000.0,25509000.0,27446000.0,11292000.0,7753000.0,13365000.0,14970000.0,
Algeria,DZA,"Interest payments on external debt, short-term (INT, current US$)",DT.INT.DSTC.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109600000.0,172500000.0,237000000.0,116000000.0,404000000.0,184000000.0,136000000.0,141000000.0,128000000.0,36000000.0,65000000.0,272000000.0,126200000.0,179100000.0,99800000.0,200000000.0,35747000.0,33400000.0,22118000.0,13000000.0,12493000.0,14520000.0,10106000.0,10430000.0,9420000.0,6885000.0,4428000.0,10085000.0,14800000.0,15200000.0,22015000.0,30795000.0,17896000.0,17988000.0,21432000.0,19431000.0,
American Samoa,ASM,"Interest payments on external debt, short-term (INT, current US$)",DT.INT.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Interest payments on external debt, short-term (INT, current US$)",DT.INT.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Interest payments on external debt, short-term (INT, current US$)",DT.INT.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24560000.0,43120000.0,52800000.0,54200000.0,66000000.0,55000000.0,52745000.0,49025000.0,46350000.0,45036000.0,44710000.0,25700000.0,22325000.0,18500000.0,6465000.0,8500000.0,56550000.0,83475000.0,118384000.0,54587000.0,30196000.0,30459000.0,32395000.0,34338000.0,
Antigua and Barbuda,ATG,"Interest payments on external debt, short-term (INT, current US$)",DT.INT.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Interest payments on external debt, short-term (INT, current US$)",DT.INT.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Interest payments on external debt, short-term (INT, current US$)",DT.INT.DSTC.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992100000.0,1396400000.0,1146500000.0,2969800000.0,1004800000.0,555300000.0,409000000.0,200000000.0,123000000.0,333000000.0,230640000.0,312000000.0,246050000.0,568000000.0,501900000.0,727377000.0,1233426000.0,1331646000.0,1573601000.0,1561780000.0,1731906000.0,1036000000.0,192330000.0,299453000.0,258210000.0,344190000.0,937020000.0,559415000.0,241870000.0,113375000.0,109720000.0,166461000.0,104973000.0,
Armenia,ARM,"Interest payments on external debt, short-term (INT, current US$)",DT.INT.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000.0,0.0,0.0,63000.0,643000.0,1800000.0,2460000.0,2436000.0,1480000.0,3844000.0,8720000.0,12210000.0,10500000.0,10600000.0,15319000.0,15111000.0,17396000.0,20707000.0,29008000.0,26943000.0,
