Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9844000.0,132692000.0,81609300.0,36957300.0,44271000.0,43430200.0,26658500.0,8371900.0,8064400.0,9398800.0,
Albania,ALB,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2065000.0,25841000.0,34989000.0,43335000.0,32324000.0,18912000.0,63727000.0,80644000.0,64357000.0,34260000.0,78883000.0,59447000.0,64294000.0,29570000.0,40880000.0,42902000.0,19932000.0,25548000.0,15124000.0,12052000.0,14198000.0,
Algeria,DZA,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
American Samoa,ASM,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,5729000.0,9674000.0,33325000.0,30313000.0,37752000.0,27887000.0,35764000.0,38839000.0,23710000.0,10836000.0,17921000.0,1276000.0,12862000.0,25316000.0,12376000.0,3006000.0,6146000.0,13472000.0,-697000.0,7439000.0,36275000.0,
Antigua and Barbuda,ATG,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Armenia,ARM,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5458000.0,88498000.0,87010000.0,76490000.0,42883000.0,65660000.0,54354000.0,55026000.0,66467000.0,77386000.0,77751000.0,31387000.0,57699000.0,85795000.0,68791000.0,128463000.0,20290000.0,31136000.0,46852000.0,
Aruba,ABW,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30204000.0,35840000.0,55352000.0,20635000.0,60496000.0,27196000.0,27557000.0,56919000.0,74742000.0,49165000.0,45634000.0,56313000.0,51982000.0,42157000.0,36081000.0,35925000.0,46739000.0,26451000.0,
"Bahamas, The",BHS,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,,,2265000.0,51626000.0,75305000.0,90795000.0,124726000.0,88207000.0,103093000.0,162568000.0,155714000.0,159358000.0,187527000.0,199914000.0,245915000.0,273959000.0,331028000.0,333096000.0,287015000.0,289779000.0,451347000.0,238811000.0,302968000.0,277299000.0,372598000.0,156218000.0,229485000.0,246049000.0,288646000.0,339491000.0,275158000.0,217891000.0,195044000.0,394732000.0,474331000.0,394491000.0,225651000.0,408316000.0,607048000.0,62841000.0,83496000.0,92930000.0,434299000.0,
Barbados,BRB,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Belgium,BEL,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Benin,BEN,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,0.0,0.0,2071000.0,5272000.0,4148000.0,4011000.0,5929000.0,7034000.0,2397000.0,5466000.0,12232000.0,9923000.0,10822000.0,16440000.0,13583000.0,18857000.0,26333000.0,21360000.0,21867000.0,46684000.0,54780000.0,40451000.0,31361000.0,27966000.0,25931000.0,27460000.0,37341000.0,15880000.0,15564000.0,42847000.0,32603000.0,43600000.0,20107000.0,23456000.0,36495000.0,42819000.0,28428000.0,42501000.0,84119000.0,51371000.0,78348000.0,21115000.0,33050000.0,
Bermuda,BMU,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,21000.0,487000.0,1619000.0,5379000.0,2133000.0,2928000.0,1990000.0,1479000.0,626000.0,902000.0,1279000.0,1093000.0,1174000.0,940000.0,517000.0,731000.0,3313000.0,5701000.0,5218000.0,6596000.0,8426000.0,7684000.0,9503000.0,8049000.0,7536000.0,18715000.0,404000.0,26878000.0,36436000.0,
Bolivia,BOL,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,0.0,0.0,2076000.0,1858000.0,10551000.0,8610000.0,3923000.0,3677000.0,1980000.0,3264000.0,1470000.0,14518000.0,11358000.0,2748000.0,1292000.0,700000.0,2951000.0,40263000.0,110367000.0,77377000.0,47084000.0,46157000.0,53518000.0,63914000.0,77347000.0,110482000.0,96938000.0,132152000.0,84966000.0,81998000.0,60599000.0,101335000.0,96446000.0,136441000.0,116580000.0,62151000.0,28857000.0,15693000.0,24324000.0,32268000.0,43989000.0,42414000.0,47266000.0,
Bosnia and Herzegovina,BIH,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109559000.0,65203000.0,134857000.0,67956000.0,44108000.0,61736000.0,96844000.0,48193000.0,208546000.0,55591000.0,22866000.0,47963000.0,16534000.0,18022000.0,97193000.0,16212000.0,-1454000.0,
