Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"PPG, official creditors (NFL, current US$)",DT.NFL.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142941200.0,145710300.0,95105500.0,105631300.0,75036800.0,61378700.0,51161400.0,
Albania,ALB,"PPG, official creditors (NFL, current US$)",DT.NFL.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19659000.0,49401000.0,56232000.0,71509000.0,72188000.0,78721000.0,46213000.0,79608000.0,127910000.0,110700000.0,89161000.0,129531000.0,107008000.0,108685000.0,79882000.0,114740000.0,112151000.0,153393000.0,177760000.0,97707000.0,175014000.0,196907000.0,
Algeria,DZA,"PPG, official creditors (NFL, current US$)",DT.NFL.OFFT.CD,,,,,,,,,,,0.0,0.0,79161000.0,153112000.0,136877000.0,114601000.0,116491000.0,500430000.0,603010000.0,710217000.0,321729000.0,227345000.0,262728000.0,352460000.0,169638000.0,-111705000.0,-121151000.0,-370151000.0,-174283000.0,204652000.0,661608000.0,471501000.0,243674000.0,1774000.0,864415000.0,925027000.0,915590000.0,166534000.0,-258110000.0,-367003000.0,-256098000.0,-807857000.0,-716313000.0,-790822000.0,-1799942000.0,-2567942000.0,-10750699000.0,-67552000.0,-173328000.0,-69048000.0,-127324000.0,-228527000.0,-460088000.0,
American Samoa,ASM,"PPG, official creditors (NFL, current US$)",DT.NFL.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"PPG, official creditors (NFL, current US$)",DT.NFL.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"PPG, official creditors (NFL, current US$)",DT.NFL.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123384000.0,109455000.0,71085000.0,53087000.0,12473000.0,39678000.0,95396000.0,21370000.0,-12699000.0,-353353000.0,-366037000.0,-234461000.0,-1021832000.0,-29287000.0,64048000.0,37687000.0,-184540000.0,-695119000.0,600020000.0,824993000.0,801442000.0,3375460000.0,1533056000.0,-61476000.0,
Antigua and Barbuda,ATG,"PPG, official creditors (NFL, current US$)",DT.NFL.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"PPG, official creditors (NFL, current US$)",DT.NFL.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"PPG, official creditors (NFL, current US$)",DT.NFL.OFFT.CD,,,,,,,,,,,-36574000.0,-6051000.0,46928000.0,163324000.0,211531000.0,67103000.0,85820000.0,49883000.0,337705000.0,227938000.0,-3931000.0,76041000.0,95133000.0,347092000.0,-6623000.0,223524000.0,295573000.0,687600000.0,453908000.0,434154000.0,452386000.0,751625000.0,96014000.0,2659923000.0,751376000.0,1479416000.0,36282000.0,-69801000.0,1723193000.0,770291000.0,100280000.0,1124208000.0,-704063000.0,-755384000.0,-229890000.0,-508010000.0,-708051000.0,-313975000.0,-359509000.0,1702669000.0,531599000.0,680904000.0,193680000.0,
Armenia,ARM,"PPG, official creditors (NFL, current US$)",DT.NFL.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86756000.0,60541000.0,99549000.0,113319000.0,100480000.0,67118000.0,69335000.0,49547000.0,59000000.0,63972000.0,44685000.0,43182000.0,34363000.0,65834000.0,190171000.0,149297000.0,919748000.0,174459000.0,174660000.0,239753000.0,
