Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,,,,,,,,,,,,,,,,,20000.0,,,,,,,,,10000.0,10000.0,,100000.0,3850000.0,900000.0,1060000.0,11070000.0,12470000.0,9330000.0,20030000.0,490000.0,220000.0,,,5770000.0,6380000.0,6470000.0,230000.0,45610000.0,9120000.0,7490000.0,1720000.0,2040000.0,,,,,
Albania,ALB,"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,,210000.0,220000.0,280000.0,420000.0,610000.0,330000.0,4990000.0,2450000.0,1540000.0,1220000.0,620000.0,380000.0,540000.0,550000.0,490000.0,300000.0,270000.0,250000.0,,
Algeria,DZA,"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,,,,,,,,,,10000.0,,,,,,,2880000.0,,10000.0,30000.0,10000.0,1910000.0,1800000.0,3200000.0,3540000.0,3280000.0,3760000.0,6860000.0,4500000.0,3180000.0,5610000.0,8830000.0,5230000.0,5550000.0,7770000.0,2940000.0,5200000.0,4770000.0,3680000.0,3340000.0,3070000.0,3500000.0,4090000.0,3710000.0,2280000.0,1810000.0,1010000.0,540000.0,2740000.0,3250000.0,1440000.0,,,
American Samoa,ASM,"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,,,,,,,,,,,,,,,,,3780000.0,14200000.0,3760000.0,4310000.0,4490000.0,3760000.0,3670000.0,5040000.0,5980000.0,4860000.0,2640000.0,1630000.0,3370000.0,7480000.0,3220000.0,1900000.0,11800000.0,4190000.0,5920000.0,4600000.0,480000.0,120000.0,500000.0,1610000.0,3080000.0,2450000.0,5730000.0,3330000.0,6260000.0,4260000.0,2150000.0,3270000.0,1190000.0,2240000.0,490000.0,3390000.0,,
Antigua and Barbuda,ATG,"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,,,,,,,,,,890000.0,1100000.0,750000.0,13730000.0,9060000.0,3050000.0,2350000.0,5940000.0,4750000.0,8310000.0,12360000.0,79290000.0,75030000.0,68250000.0,85900000.0,99840000.0,148170000.0,118260000.0,100960000.0,78740000.0,54950000.0,52520000.0,131010000.0,63560000.0,72670000.0,49530000.0,38630000.0,42660000.0,39060000.0,36450000.0,35650000.0,35090000.0,36260000.0,46690000.0,37850000.0,31490000.0,10700000.0,8500000.0,8440000.0,13180000.0,24690000.0,94530000.0,15070000.0,,
Argentina,ARG,"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,,,,,,,,,,,,,,,210000.0,20000.0,3140000.0,3350000.0,2880000.0,2510000.0,3300000.0,2470000.0,1890000.0,2490000.0,3910000.0,1920000.0,1410000.0,1140000.0,1040000.0,720000.0,920000.0,880000.0,1280000.0,1470000.0,1710000.0,1960000.0,1950000.0,2040000.0,1970000.0,1160000.0,1020000.0,940000.0,820000.0,580000.0,740000.0,780000.0,,,,1770000.0,980000.0,3120000.0,,
Armenia,ARM,"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6860000.0,4410000.0,5700000.0,4340000.0,1640000.0,520000.0,320000.0,2320000.0,2520000.0,2290000.0,1250000.0,1210000.0,760000.0,630000.0,1100000.0,990000.0,610000.0,550000.0,,,
