Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD,,,,,,,,,4740000.0,2820000.0,3410000.0,3210000.0,4180000.0,5010000.0,4630000.0,4960000.0,740000.0,5510000.0,6160000.0,8490000.0,6300000.0,5420000.0,6240000.0,5520000.0,5900000.0,7040000.0,5830000.0,5400000.0,5190000.0,6940000.0,6740000.0,15980000.0,14810000.0,18120000.0,17210000.0,13260000.0,18320000.0,16800000.0,13950000.0,10780000.0,4770000.0,3900000.0,9010000.0,640000.0,5810000.0,7080000.0,7580000.0,11350000.0,12030000.0,19240000.0,13240000.0,14670000.0,,
Albania,ALB,"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620000.0,2340000.0,1550000.0,1290000.0,760000.0,1450000.0,1450000.0,950000.0,2140000.0,700000.0,2710000.0,2570000.0,2390000.0,1550000.0,1380000.0,1570000.0,2000000.0,1460000.0,2090000.0,1900000.0,1060000.0,650000.0,750000.0,470000.0,,
Algeria,DZA,"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD,,,,,,,,,4130000.0,2920000.0,3290000.0,4250000.0,5300000.0,4760000.0,2820000.0,3460000.0,2560000.0,1620000.0,4180000.0,5150000.0,6150000.0,6170000.0,4140000.0,3930000.0,3800000.0,3310000.0,3640000.0,4960000.0,3550000.0,3670000.0,2620000.0,1810000.0,1730000.0,1390000.0,390000.0,570000.0,670000.0,770000.0,520000.0,1190000.0,650000.0,680000.0,840000.0,970000.0,1070000.0,990000.0,1270000.0,1050000.0,800000.0,580000.0,680000.0,420000.0,,
American Samoa,ASM,"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD,,,,,,,,,,,,,,,,10000.0,10000.0,380000.0,2560000.0,2720000.0,4080000.0,6030000.0,4800000.0,5280000.0,3370000.0,4270000.0,6090000.0,6890000.0,5050000.0,6730000.0,8480000.0,14520000.0,8710000.0,1170000.0,650000.0,2260000.0,3730000.0,7660000.0,7550000.0,7510000.0,2030000.0,980000.0,1710000.0,3810000.0,3710000.0,5850000.0,5860000.0,6200000.0,5330000.0,3880000.0,2200000.0,2110000.0,,
Antigua and Barbuda,ATG,"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD,,,,,,,,,,,,,,,290000.0,370000.0,170000.0,150000.0,290000.0,200000.0,580000.0,540000.0,420000.0,190000.0,250000.0,200000.0,190000.0,270000.0,180000.0,250000.0,290000.0,240000.0,70000.0,110000.0,120000.0,80000.0,100000.0,190000.0,100000.0,120000.0,80000.0,50000.0,,20000.0,,,,,,,,,,
Arab World,ARB,"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD,,,,,,,,,61410000.0,24700000.0,28840000.0,35670000.0,43530000.0,43360000.0,38040000.0,58110000.0,52360000.0,46520000.0,53270000.0,68710000.0,84780000.0,119610000.0,92480000.0,75580000.0,62520000.0,62080000.0,71590000.0,63460000.0,78330000.0,89340000.0,67310000.0,62800000.0,58030000.0,51940000.0,46620000.0,36660000.0,34540000.0,59230000.0,51970000.0,23030000.0,31940000.0,22460000.0,22960000.0,25580000.0,39050000.0,34890000.0,34740000.0,35480000.0,44690000.0,43740000.0,46140000.0,33950000.0,,
Argentina,ARG,"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD,,,,,,,,,2340000.0,1590000.0,1920000.0,2680000.0,2860000.0,3000000.0,2900000.0,3960000.0,3990000.0,3540000.0,3640000.0,5770000.0,5700000.0,5540000.0,3500000.0,3270000.0,2930000.0,4420000.0,14340000.0,15960000.0,21400000.0,16290000.0,1280000.0,-650000.0,3420000.0,2810000.0,830000.0,800000.0,1540000.0,320000.0,550000.0,1110000.0,-490000.0,,330000.0,190000.0,-40000.0,560000.0,780000.0,1030000.0,850000.0,670000.0,830000.0,460000.0,,
Armenia,ARM,"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000.0,290000.0,440000.0,1990000.0,2650000.0,3230000.0,1100000.0,460000.0,800000.0,820000.0,980000.0,1320000.0,1910000.0,2160000.0,1470000.0,1280000.0,1400000.0,1080000.0,,
