Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135540300.0,195631400.0,124095700.0,115463000.0,109632900.0,57378900.0,65347800.0,
Albania,ALB,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152372000.0,133792000.0,173053000.0,78684000.0,-105536000.0,36600000.0,54952000.0,61920000.0,125117000.0,116165000.0,63832000.0,97803000.0,210218000.0,-36452000.0,573262000.0,217298000.0,272042000.0,1351162000.0,-205144000.0,492781000.0,856822000.0,842955000.0,
Algeria,DZA,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,,,,,,,,,,,0.0,-3180000.0,229439000.0,1297698000.0,130399000.0,1090955000.0,1296157000.0,1968289000.0,3720147000.0,1281030000.0,-294169000.0,-1537571000.0,-1501504000.0,-1895619000.0,-930855000.0,-991873000.0,646712000.0,-2805127000.0,-33221000.0,-526984000.0,-2839866000.0,-1870469000.0,-2221982000.0,-2659637000.0,450281000.0,-470938000.0,-515246000.0,-2474095000.0,-3646121000.0,-3742735000.0,-3230537000.0,-3361963000.0,-2657520000.0,-2335178000.0,-3341940000.0,-4662154000.0,-12583465000.0,-535930000.0,-22455000.0,-655380000.0,-347564000.0,-1245991000.0,-772901000.0,
American Samoa,ASM,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753905000.0,833833000.0,70897000.0,802015000.0,201826000.0,199570000.0,-221801000.0,-265860000.0,223741000.0,-561844000.0,-702992000.0,-924224000.0,-1179886000.0,-476164000.0,314134000.0,1056079000.0,2277485000.0,-2973933000.0,1367194000.0,3130513000.0,528603000.0,1811635000.0,1988393000.0,343428000.0,
Antigua and Barbuda,ATG,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,,,,,,,,,,,-63401000.0,-62971000.0,219764000.0,-60731000.0,-129796000.0,-293295000.0,1074821000.0,1428009000.0,699864000.0,7076679000.0,3928315000.0,5471956000.0,5775449000.0,-11208179000.0,-4884796000.0,-4316816000.0,-6091426000.0,-2556748000.0,-2180026000.0,-3621670000.0,-4585616000.0,-687263000.0,576657000.0,7202953000.0,2359330000.0,16672333000.0,7894844000.0,11909821000.0,5004960000.0,2090548000.0,-4962363000.0,-12799862000.0,-14029164000.0,-2322116000.0,-5283417000.0,11789061000.0,-16330394000.0,-10181765000.0,-644258000.0,-8058324000.0,-8087979000.0,-2474115000.0,-8334053000.0,
Armenia,ARM,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47317000.0,80247000.0,138176000.0,152847000.0,127869000.0,125356000.0,78398000.0,1214000.0,37934000.0,217354000.0,200631000.0,361000.0,-77109000.0,28688000.0,719797000.0,410588000.0,1357837000.0,1049785000.0,925230000.0,507091000.0,
