Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"PPG, multilateral (NTR, current US$)",DT.NTR.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97442800.0,135601500.0,88505100.0,101360900.0,68023600.0,52495400.0,42924300.0,
Albania,ALB,"PPG, multilateral (NTR, current US$)",DT.NTR.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2065000.0,25808000.0,35739000.0,47405000.0,37985000.0,19077000.0,66084000.0,107090000.0,94280000.0,46720000.0,95896000.0,82151000.0,80584000.0,53563000.0,77924000.0,86804000.0,120598000.0,126866000.0,80803000.0,146305000.0,163134000.0,
Algeria,DZA,"PPG, multilateral (NTR, current US$)",DT.NTR.MLAT.CD,,,,,,,,,,,0.0,0.0,-3528000.0,-1853000.0,-927000.0,37874000.0,44124000.0,44149000.0,35404000.0,38817000.0,-16762000.0,17395000.0,-20897000.0,42992000.0,69003000.0,-8216000.0,140288000.0,-1033000.0,161327000.0,147635000.0,183023000.0,411606000.0,18390000.0,-79010000.0,48977000.0,227288000.0,130897000.0,-158321000.0,-96830000.0,-315188000.0,-299421000.0,-431490000.0,-561765000.0,-207407000.0,-994199000.0,-995635000.0,-2460890000.0,-17658000.0,-134429000.0,-1915000.0,-3322000.0,-1848000.0,-1574000.0,
American Samoa,ASM,"PPG, multilateral (NTR, current US$)",DT.NTR.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"PPG, multilateral (NTR, current US$)",DT.NTR.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"PPG, multilateral (NTR, current US$)",DT.NTR.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445000.0,-1613000.0,32628000.0,15858000.0,13907000.0,32664000.0,27776000.0,37099000.0,26473000.0,35118000.0,35901000.0,-31833000.0,3094000.0,12056000.0,384000.0,11992000.0,21696000.0,9151000.0,288000.0,4348000.0,11316000.0,-1813000.0,5857000.0,31358000.0,
Antigua and Barbuda,ATG,"PPG, multilateral (NTR, current US$)",DT.NTR.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"PPG, multilateral (NTR, current US$)",DT.NTR.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"PPG, multilateral (NTR, current US$)",DT.NTR.MLAT.CD,,,,,,,,,,,-124000.0,0.0,22976000.0,75418000.0,69785000.0,9338000.0,5763000.0,-11417000.0,60479000.0,-1196000.0,-81085000.0,68519000.0,4059000.0,138135000.0,-31924000.0,75254000.0,166195000.0,461260000.0,36023000.0,46276000.0,-57770000.0,-174661000.0,-702058000.0,1476294000.0,-479483000.0,795897000.0,380970000.0,400377000.0,2093115000.0,1002366000.0,-171622000.0,626270000.0,-2460969000.0,-1710269000.0,-882691000.0,-1234911000.0,-1543268000.0,-1082650000.0,-990935000.0,834986000.0,230647000.0,452669000.0,-131086000.0,
Armenia,ARM,"PPG, multilateral (NTR, current US$)",DT.NTR.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62036000.0,32879000.0,95704000.0,108973000.0,66342000.0,10129000.0,58953000.0,42617000.0,55216000.0,43556000.0,59475000.0,58319000.0,14875000.0,49003000.0,87344000.0,70761000.0,299758000.0,97392000.0,128746000.0,191577000.0,
