Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"PPG, multilateral concessional (NTR, current US$)",DT.NTR.MLTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97442800.0,135601500.0,88505100.0,101360900.0,68023700.0,52495400.0,42924300.0,
Albania,ALB,"PPG, multilateral concessional (NTR, current US$)",DT.NTR.MLTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2065000.0,25808000.0,35552000.0,42771000.0,33783000.0,19977000.0,66504000.0,89752000.0,64180000.0,38805000.0,87070000.0,64079000.0,66112000.0,41623000.0,54799000.0,46028000.0,56825000.0,73164000.0,62779000.0,75349000.0,117694000.0,
Algeria,DZA,"PPG, multilateral concessional (NTR, current US$)",DT.NTR.MLTC.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,9259000.0,-530000.0,-439000.0,865000.0,1173000.0,-548000.0,-1837000.0,-1758000.0,470000.0,-3097000.0,2052000.0,20005000.0,18893000.0,-2895000.0,6117000.0,-2290000.0,10418000.0,5128000.0,48935000.0,-5028000.0,148465000.0,31410000.0,5330000.0,17599000.0,56838000.0,-30481000.0,-43198000.0,-46917000.0,56700000.0,53784000.0,7888000.0,-606901000.0,-980000.0,-20002000.0,-802000.0,-1720000.0,0.0,0.0,
American Samoa,ASM,"PPG, multilateral concessional (NTR, current US$)",DT.NTR.MLTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"PPG, multilateral concessional (NTR, current US$)",DT.NTR.MLTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"PPG, multilateral concessional (NTR, current US$)",DT.NTR.MLTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4316000.0,4263000.0,15304000.0,5882000.0,10224000.0,33112000.0,29944000.0,37099000.0,27095000.0,34460000.0,37442000.0,16197000.0,9071000.0,15667000.0,-822000.0,13782000.0,25503000.0,11695000.0,975000.0,5159000.0,11813000.0,-1353000.0,6240000.0,31358000.0,
Antigua and Barbuda,ATG,"PPG, multilateral concessional (NTR, current US$)",DT.NTR.MLTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"PPG, multilateral concessional (NTR, current US$)",DT.NTR.MLTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"PPG, multilateral concessional (NTR, current US$)",DT.NTR.MLTC.CD,,,,,,,,,,,0.0,0.0,15555000.0,31214000.0,11570000.0,5466000.0,7096000.0,6316000.0,2541000.0,5808000.0,-33437000.0,-1832000.0,-8218000.0,4530000.0,6251000.0,-9133000.0,3339000.0,8167000.0,1050000.0,-4309000.0,-12463000.0,-16048000.0,-12064000.0,-27174000.0,-23525000.0,-12320000.0,-1802000.0,-9326000.0,-2104000.0,-12660000.0,-23857000.0,-18324000.0,-18356000.0,-22063000.0,-16025000.0,-11288000.0,-10030000.0,12644000.0,228572000.0,257054000.0,119747000.0,384635000.0,221853000.0,
Armenia,ARM,"PPG, multilateral concessional (NTR, current US$)",DT.NTR.MLTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5452000.0,88296000.0,87544000.0,75903000.0,46667000.0,73552000.0,53306000.0,54431000.0,66700000.0,79701000.0,76545000.0,27083000.0,58650000.0,95639000.0,71901000.0,250371000.0,37276000.0,77152000.0,104699000.0,
