Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"PPG, private creditors (NTR, current US$)",DT.NTR.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,ALB,"PPG, private creditors (NTR, current US$)",DT.NTR.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25838000.0,1565000.0,14754000.0,-9648000.0,-1220000.0,3901000.0,-1696000.0,-2258000.0,-1959000.0,-1009000.0,-137000.0,-67000.0,2581000.0,168000.0,-1323000.0,-3962000.0,-3344000.0,429734000.0,18372000.0,437000000.0,100153000.0,-7020000.0,
Algeria,DZA,"PPG, private creditors (NTR, current US$)",DT.NTR.PRVT.CD,,,,,,,,,,,0.0,-3180000.0,162109000.0,1158677000.0,21708000.0,1006099000.0,1222372000.0,1630231000.0,3054231000.0,1000973000.0,-732464000.0,-1162883000.0,-1825204000.0,-1095040000.0,-501289000.0,-584128000.0,-173720000.0,-227230000.0,439495000.0,-1101727000.0,-1899854000.0,-2595256000.0,-1208439000.0,-1793450000.0,-530476000.0,-407778000.0,-767719000.0,-1357556000.0,-2010426000.0,-2046413000.0,-1666788000.0,-1288678000.0,-541410000.0,-661872000.0,-638776000.0,-1019040000.0,-1637777000.0,-302110000.0,-536371000.0,-271806000.0,-184347000.0,-182456000.0,-118838000.0,
American Samoa,ASM,"PPG, private creditors (NTR, current US$)",DT.NTR.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"PPG, private creditors (NTR, current US$)",DT.NTR.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"PPG, private creditors (NTR, current US$)",DT.NTR.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254341000.0,488268000.0,-53336000.0,413547000.0,591964000.0,183108000.0,55766000.0,-162007000.0,259257000.0,-328429000.0,-66077000.0,-364489000.0,-115439000.0,-213574000.0,338602000.0,719101000.0,1376241000.0,-2050947000.0,852189000.0,2342051000.0,-639168000.0,-1597001000.0,503844000.0,402915000.0,
Antigua and Barbuda,ATG,"PPG, private creditors (NTR, current US$)",DT.NTR.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"PPG, private creditors (NTR, current US$)",DT.NTR.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"PPG, private creditors (NTR, current US$)",DT.NTR.PRVT.CD,,,,,,,,,,,-25387000.0,-56786000.0,69620000.0,74745000.0,62807000.0,-305862000.0,1050273000.0,185328000.0,715439000.0,1551976000.0,939919000.0,-198760000.0,2481149000.0,-283897000.0,-1860060000.0,-760158000.0,-2196267000.0,-2063674000.0,-2037247000.0,-1625375000.0,-3680248000.0,-1867981000.0,-1506360000.0,-503965000.0,1214921000.0,1312204000.0,7337255000.0,3850506000.0,5274228000.0,9889446000.0,1829849000.0,-6658152000.0,-106277000.0,-321815000.0,1157693000.0,1361763000.0,1556687000.0,2401120000.0,1049047000.0,-4972515000.0,-4799166000.0,-5197543000.0,-2921359000.0,
Armenia,ARM,"PPG, private creditors (NTR, current US$)",DT.NTR.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,4808000.0,13658000.0,-2231000.0,-564000.0,-4476000.0,-8619000.0,-514000.0,0.0,0.0,-38000.0,-76000.0,-2000.0,-2000.0,2337000.0,10106000.0,
