Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"PPG, bonds (TDS, current US$)",DT.TDS.PBND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,ALB,"PPG, bonds (TDS, current US$)",DT.TDS.PBND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2458000.0,847000.0,32106000.0,29937000.0,
Algeria,DZA,"PPG, bonds (TDS, current US$)",DT.TDS.PBND.CD,,,,,,,,,,,0.0,0.0,2485000.0,2911000.0,4629000.0,4150000.0,5005000.0,7432000.0,24936000.0,42925000.0,59568000.0,65591000.0,85376000.0,56142000.0,36263000.0,112614000.0,85096000.0,118607000.0,161201000.0,131129000.0,120326000.0,102927000.0,219738000.0,730857000.0,493068000.0,290725000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
American Samoa,ASM,"PPG, bonds (TDS, current US$)",DT.TDS.PBND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"PPG, bonds (TDS, current US$)",DT.TDS.PBND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"PPG, bonds (TDS, current US$)",DT.TDS.PBND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183000.0,62409000.0,
Antigua and Barbuda,ATG,"PPG, bonds (TDS, current US$)",DT.TDS.PBND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"PPG, bonds (TDS, current US$)",DT.TDS.PBND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"PPG, bonds (TDS, current US$)",DT.TDS.PBND.CD,,,,,,,,,,,0.0,0.0,125732000.0,236827000.0,191607000.0,167153000.0,181037000.0,195187000.0,215394000.0,287169000.0,258419000.0,199894000.0,112737000.0,90579000.0,0.0,324530000.0,405617000.0,696225000.0,958724000.0,1115710000.0,1850524000.0,1231233000.0,1030483000.0,2690583000.0,1481791000.0,2087797000.0,3564441000.0,5807574000.0,6164561000.0,7851972000.0,10151886000.0,6213900000.0,0.0,440886000.0,541278000.0,863480000.0,683644000.0,1345455000.0,976091000.0,2470094000.0,4591759000.0,4842147000.0,2858818000.0,
Armenia,ARM,"PPG, bonds (TDS, current US$)",DT.TDS.PBND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
