Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Undisbursed external debt, official creditors (UND, current US$)",DT.UND.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626154700.0,542263500.0,494571800.0,388367800.0,284417600.0,220006200.0,161262200.0,
Albania,ALB,"Undisbursed external debt, official creditors (UND, current US$)",DT.UND.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51288000.0,63834000.0,156542000.0,212037000.0,320228000.0,403810000.0,342371000.0,427801000.0,467313000.0,456584000.0,440578000.0,532209000.0,643945000.0,828575000.0,796398000.0,802734000.0,978261000.0,1021849000.0,1034786000.0,1011459000.0,1140274000.0,993870000.0,
Algeria,DZA,"Undisbursed external debt, official creditors (UND, current US$)",DT.UND.OFFT.CD,,,,,,,,,,,0.0,0.0,862288000.0,1153480000.0,1364295000.0,1710149000.0,2243428000.0,2576516000.0,3341494000.0,3514461000.0,4168585000.0,3779280000.0,3565343000.0,2538610000.0,2180061000.0,1930398000.0,2091044000.0,3238838000.0,3421095000.0,5173964000.0,5265962000.0,5982666000.0,5727598000.0,6717250000.0,6041557000.0,6013013000.0,4963835000.0,4406753000.0,4017368000.0,3661478000.0,2904034000.0,3213512000.0,2365618000.0,2171787000.0,1738899000.0,1311288000.0,751248000.0,857843000.0,605651000.0,450301000.0,358991000.0,330915000.0,301061000.0,
American Samoa,ASM,"Undisbursed external debt, official creditors (UND, current US$)",DT.UND.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Undisbursed external debt, official creditors (UND, current US$)",DT.UND.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Undisbursed external debt, official creditors (UND, current US$)",DT.UND.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426549000.0,488399000.0,586685000.0,749918000.0,691821000.0,708073000.0,615517000.0,347557000.0,323597000.0,249672000.0,167785000.0,158611000.0,118553000.0,103875000.0,168289000.0,2500466000.0,12192320000.0,12650572000.0,12855932000.0,11822356000.0,13421981000.0,14603143000.0,20456550000.0,22208015000.0,
Antigua and Barbuda,ATG,"Undisbursed external debt, official creditors (UND, current US$)",DT.UND.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Undisbursed external debt, official creditors (UND, current US$)",DT.UND.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Undisbursed external debt, official creditors (UND, current US$)",DT.UND.OFFT.CD,,,,,,,,,,,0.0,0.0,675345000.0,557476000.0,777906000.0,934158000.0,1169251000.0,1258435000.0,1350055000.0,1429964000.0,1244786000.0,1668871000.0,1913482000.0,1553825000.0,1999806000.0,1960825000.0,2082057000.0,1873403000.0,3256906000.0,2531864000.0,1999430000.0,2699303000.0,3580885000.0,3594650000.0,4488444000.0,6486921000.0,5922874000.0,6238784000.0,9184073000.0,8021623000.0,5466717000.0,6613399000.0,5658857000.0,5006585000.0,5111726000.0,3927847000.0,5413203000.0,7115436000.0,7826596000.0,7548122000.0,6264729000.0,7197514000.0,6761997000.0,
Armenia,ARM,"Undisbursed external debt, official creditors (UND, current US$)",DT.UND.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80898000.0,171230000.0,188868000.0,117722000.0,191095000.0,267440000.0,263656000.0,258209000.0,274316000.0,220712000.0,197776000.0,231954000.0,399841000.0,380689000.0,394685000.0,457325000.0,419210000.0,456975000.0,722103000.0,752295000.0,
Aruba,ABW,"Undisbursed external debt, official creditors (UND, current US$)",DT.UND.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Undisbursed external debt, official creditors (UND, current US$)",DT.UND.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Undisbursed external debt, official creditors (UND, current US$)",DT.UND.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
