Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,ALB,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35230000.0,40671000.0,18126000.0,19398000.0,13508000.0,1254000.0,443000.0,429000.0,367000.0,7780000.0,7210000.0,7314000.0,5454000.0,2896000.0,1664000.0,172200000.0,210471000.0,181955000.0,162372000.0,140052000.0,104369000.0,71641000.0,
Algeria,DZA,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,0.0,0.0,593925000.0,1135206000.0,1934404000.0,3947369000.0,4696855000.0,5384342000.0,6900365000.0,8683848000.0,7547993000.0,5426676000.0,5307645000.0,6878540000.0,5222857000.0,5573854000.0,5040588000.0,3706399000.0,5494034000.0,6727660000.0,7699767000.0,9006918000.0,9087699000.0,7787056000.0,5609770000.0,4131934000.0,2218869000.0,1678485000.0,1685792000.0,1682132000.0,1338756000.0,1026745000.0,855031000.0,846733000.0,610021000.0,337477000.0,233463000.0,95838000.0,41345000.0,27533000.0,21542000.0,15103000.0,9199000.0,
American Samoa,ASM,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1298768000.0,921804000.0,912023000.0,909573000.0,692397000.0,586403000.0,571495000.0,441286000.0,531434000.0,475373000.0,359747000.0,319499000.0,173271000.0,171930000.0,1497265000.0,1853525000.0,2463861000.0,2908907000.0,1424737000.0,1851018000.0,2313151000.0,2585034000.0,2866386000.0,2162117000.0,
Antigua and Barbuda,ATG,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,0.0,0.0,566669000.0,308937000.0,975953000.0,1329384000.0,1020045000.0,1315939000.0,956070000.0,856269000.0,1053594000.0,2333576000.0,1921185000.0,549878000.0,571515000.0,1424523000.0,357696000.0,1039744000.0,691218000.0,521270000.0,418471000.0,401012000.0,400672000.0,415388000.0,595350000.0,495696000.0,365600000.0,414300000.0,125092000.0,848659000.0,294041000.0,2097809000.0,383237000.0,1878484000.0,206566000.0,153192000.0,149137000.0,8341000.0,7736000.0,68555000.0,970329000.0,947031000.0,911207000.0,
Armenia,ARM,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5000000.0,30000000.0,26105000.0,15751000.0,16711000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6789000.0,4354000.0,4397000.0,
Aruba,ABW,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,24171000.0,38142000.0,3532000.0,581000.0,44000.0,0.0,0.0,0.0,452796000.0,336177000.0,238479000.0,836227000.0,718774000.0,749299000.0,570953000.0,1019500000.0,
"Bahamas, The",BHS,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,162000.0,3725000.0,5771000.0,7938000.0,9050000.0,19948000.0,43772000.0,38239000.0,49741000.0,214712000.0,195300000.0,151653000.0,129054000.0,193899000.0,121020000.0,93316000.0,87316000.0,83914000.0,103814000.0,29074000.0,82723000.0,56793000.0,120119000.0,120119000.0,120119000.0,120119000.0,0.0,43540000.0,24428000.0,14051000.0,11532000.0,16207000.0,1800000.0,1800000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,
Barbados,BRB,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214643000.0,128838000.0,18976000.0,27923000.0,44620000.0,85916000.0,101330000.0,42722000.0,42291000.0,15352000.0,15927000.0,83175000.0,43837000.0,6630000.0,602111000.0,232000.0,124954000.0,99329000.0,1532245000.0,2310569000.0,
Belgium,BEL,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5600000.0,4818000.0,11160000.0,6342000.0,743000.0,45000.0,0.0,0.0,646000.0,1321000.0,22200000.0,11090000.0,6340000.0,1240000.0,25448000.0,15045000.0,11797000.0,8324000.0,17032000.0,25032000.0,71874000.0,58393000.0,53387000.0,10895000.0,5649000.0,41005000.0,2408000.0,887000.0,841000.0,841000.0,841000.0,0.0,0.0,0.0,
Benin,BEN,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,0.0,0.0,503000.0,2958000.0,433000.0,432000.0,431000.0,1432000.0,10494000.0,3048000.0,378481000.0,267151000.0,98094000.0,49427000.0,39057000.0,42708000.0,46030000.0,24798000.0,23349000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bermuda,BMU,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bolivia,BOL,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,0.0,0.0,48209000.0,49788000.0,61584000.0,134704000.0,192031000.0,163499000.0,164649000.0,222973000.0,150134000.0,120067000.0,91332000.0,97712000.0,82647000.0,84739000.0,53800000.0,52981000.0,44500000.0,18938000.0,16428000.0,14634000.0,16943000.0,14339000.0,6628000.0,13482000.0,14437000.0,11487000.0,30000000.0,23515000.0,17622000.0,16270000.0,15875000.0,17374000.0,16206000.0,10120000.0,7187000.0,7663000.0,13704000.0,336127000.0,388862000.0,320397000.0,387753000.0,
Bosnia and Herzegovina,BIH,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23656000.0,27970000.0,19368000.0,8769000.0,13835000.0,20976000.0,9221000.0,
Botswana,BWA,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46700000.0,43477000.0,41562000.0,36243000.0,2977000.0,25011000.0,11121000.0,14051000.0,14194000.0,7986000.0,3900000.0,3285000.0,37168000.0,36480000.0,34270000.0,3080000.0,3390000.0,0.0,14431000.0,14431000.0,14431000.0,3772000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Brazil,BRA,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,0.0,0.0,789410000.0,782001000.0,1179551000.0,2124114000.0,3019474000.0,4905676000.0,6556500000.0,7380555000.0,8311051000.0,9130089000.0,11028375000.0,10608767000.0,8641388000.0,9425629000.0,9681005000.0,9607295000.0,8298298000.0,7961172000.0,7730747000.0,7156757000.0,8536832000.0,7834545000.0,9357957000.0,8604621000.0,10236465000.0,14588617000.0,16426948000.0,15924073000.0,18314586000.0,10666677000.0,7024406000.0,15699618000.0,14466637000.0,10662966000.0,4553622000.0,6810874000.0,2268728000.0,9053401000.0,7942463000.0,9818694000.0,10787233000.0,
