Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Electricity production from nuclear sources (kWh),EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Electricity production from nuclear sources (kWh),EG.ELC.NUCL.KH,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Algeria,DZA,Electricity production from nuclear sources (kWh),EG.ELC.NUCL.KH,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
American Samoa,ASM,Electricity production from nuclear sources (kWh),EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Electricity production from nuclear sources (kWh),EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Electricity production from nuclear sources (kWh),EG.ELC.NUCL.KH,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Antigua and Barbuda,ATG,Electricity production from nuclear sources (kWh),EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Electricity production from nuclear sources (kWh),EG.ELC.NUCL.KH,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Argentina,ARG,Electricity production from nuclear sources (kWh),EG.ELC.NUCL.KH,,,,,,,,,,,,0.0,0.0,0.0,1036000000.0,2517000000.0,2572000000.0,1637000000.0,2896000000.0,2692000000.0,2340000000.0,2816000000.0,1870000000.0,3405000000.0,4641000000.0,5766000000.0,5711000000.0,6465000000.0,5798000000.0,5039000000.0,7281000000.0,7756000000.0,7081000000.0,7750000000.0,8235000000.0,7066000000.0,7459000000.0,7961000000.0,7453000000.0,7106000000.0,6177000000.0,7059000000.0,5821000000.0,7566000000.0,7869000000.0,6873000000.0,7691000000.0,7217000000.0,7330000000.0,8161000000.0,7171000000.0,6371000000.0,,
Armenia,ARM,Electricity production from nuclear sources (kWh),EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,304000000.0,2324000000.0,1607000000.0,1589000000.0,2078000000.0,2005000000.0,1987000000.0,2282000000.0,1998000000.0,2201000000.0,2716000000.0,2640000000.0,2553000000.0,2461000000.0,2494000000.0,2490000000.0,2548000000.0,,
Aruba,ABW,Electricity production from nuclear sources (kWh),EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Electricity production from nuclear sources (kWh),EG.ELC.NUCL.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
