Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,1.7815881178882098,2.3461992393039703,2.57012700106673,2.55598468708363,2.5135777609390404,2.87343619729626,2.8880816485035403,3.01169447148905,2.9964182256682403,3.44469915487232,3.49699484674743,3.6341390192590497,4.75215953857513,5.44180903695956,5.65976472793678,6.96929388360201,7.25460522461913,7.764294079982231,8.19916546134776,6.847972707678349,7.443058857656549,8.05755474425968,7.60053461299464,8.18781352857269,8.1072774646137,8.824273331126,10.3957100756865,11.229438485526,12.625998598321303,13.3579934915523,13.078802449470198,13.238202885936,,
Algeria,DZA,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,5.045631652181809,5.226391736646691,4.53395965686249,4.5965172568203,5.07119479149959,5.198501335760411,4.71372045967036,4.8608962445803705,4.71802681446549,5.16072176379931,5.03748534698064,4.861709854565509,4.92608081923694,4.9389958654053805,5.1860033648042,5.3013772776776795,5.765991866521361,5.78607067931857,5.942163189417321,5.824789591911809,5.993024449364889,6.39544107314556,6.45206716804289,6.61254824384346,7.022722205745111,7.3525811250477,7.19083834871405,7.1897296643954505,7.350537268403929,6.9059382642614295,7.37085859275697,7.38908274248718,,
American Samoa,ASM,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,3.3349278284365202,3.45762949981768,3.73579215957777,3.92378977591221,4.00344937518157,3.8691073920759904,3.8574504179215596,3.65281368192819,2.71905611220927,2.83536931953215,3.17582810032046,3.47062527018022,3.7023301493528398,3.97698296633108,3.9393118522043697,4.01089901893313,4.067479837684759,4.46262809160065,4.41848252098072,4.68389252634175,5.91236812837373,6.879377528059731,8.09849883164796,8.67778129063545,8.24294774730302,8.11605183576298,8.47422612284415,,
Antigua and Barbuda,ATG,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.70634768068187,,,,,,,,,,,,,,10.313276620186501,11.130046578336101,12.478781941976699,13.7548021572436,,,,,,
Arab World,ARB,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,4.19410818813074,4.0143255655688,3.6745904618918597,3.53166585577793,3.6856789937616403,3.66019910762882,3.63011984066122,3.4179888929220996,3.40706097688257,3.49258639491412,4.06976284806697,4.01682358694413,4.0519624996532,4.08932061387051,4.10260303538234,4.17443119846147,4.23418143629088,4.0626788984685,4.2384475144555696,4.36664971344862,4.47313453565776,4.40780026993209,4.29240317529186,4.44974390898318,4.514285011502941,4.69256924359688,4.856442110448571,5.169938198201099,5.27078401425069,5.096039269462571,5.04269621908659,5.26384802501288,,
Argentina,ARG,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,3.27306770847237,3.4562512818494304,3.4686766637209,3.6803482762249202,3.7575932650277597,3.75592171744816,3.8944802102707796,3.89749144539666,3.80020093377073,3.75834740453091,3.8397089235226,4.33695749357844,4.72019807883825,5.120221504290019,5.1717218262995805,5.07235801410674,5.29731410296316,5.533048253664401,5.65889871875803,5.5144721731585395,5.545890506267719,5.71523324160069,5.39951151902812,5.62245159702867,5.525635389394091,6.25697370349234,6.40654173874981,,,,,,,
Armenia,ARM,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.981745827764653,0.849762791100705,0.994987684891064,1.75022259086359,2.99643351630758,2.7409870162535297,2.72841496464958,2.7428468845944103,2.9209528554733395,3.16530384708193,3.1199819831406,3.5118978286261497,4.31433587544153,4.752868271568429,5.101938644866361,4.999186790701031,5.7274325415301,5.99799480808423,7.98414184088905,7.950022801804679,8.64350327275357,8.43661279794268,,
Aruba,ABW,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,1.93892156677407,2.16791823529058,2.27112252177642,2.44215280141855,2.6139788460213302,2.79752994052961,2.93159958551982,2.9486842667210196,3.13575249419662,3.2184106231387504,3.41586455824493,3.6075956471804305,3.6678232847873904,3.6915919475887797,3.9117315074455203,4.08178492301867,4.06670133075155,4.19078959310489,4.36249848698335,4.51278195535449,4.65448669667957,5.02535246055663,5.16048784211647,5.34901752388797,5.595339924408539,5.84435338425718,6.14453813355275,6.41410084805155,6.48582132923959,7.14894270989079,7.04084245120602,7.651408714609441,7.567584588180879,
Austria,AUT,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,3.3839406637391503,3.9026645131524504,4.32029212777506,4.610711275971821,4.60791028892412,4.70891119725969,4.90580297310648,4.93263093471814,5.21484162612338,5.71438036246931,5.96283437213918,5.99980262799162,6.52684213235836,6.62965397610398,6.948672358996769,6.97204360168222,6.816786042180901,7.05359467294996,7.279049298830861,7.583110823795379,8.108892569044519,7.7380937200140405,8.08639524644593,7.8956582306879906,8.210779152250732,8.18757211434898,8.937879690746868,9.45916957312513,9.88717546907243,10.1802921420612,9.86026301648086,10.706214538301301,11.2316557927892,
Azerbaijan,AZE,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.091290113271,1.13015969055386,1.10409664101219,0.970018480717473,0.8765345293365631,0.8399369448812379,1.0251186099470302,1.14500364314837,1.22646487377955,1.43660968499175,1.5793916844723501,1.75241162158599,1.9484007484857,2.10105461172428,2.26213441414979,2.81015902661478,3.95308847525098,5.54321247545692,5.69214163410163,7.004016619909769,7.65832640519364,7.20729213305884,,
"Bahamas, The",BHS,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3551373927674,,,,,,,,,,,,,,14.0618932220033,14.3157536835803,14.912955984926699,15.4644592979136,,,,,,
Bahrain,BHR,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,1.30265956208311,1.218993106954,1.06088742204645,1.21829815407695,1.24203175587162,1.05523654451049,1.27474243776034,1.4589052807733203,1.39323258717778,1.4218556064511398,1.4746026738639098,1.8241175579921898,1.86058200706651,1.99653306281052,1.91396511968836,2.0381298037313202,2.14542349071356,2.06293393675228,2.03471660292761,2.2136894724086003,2.2983410676041003,2.37643798306213,2.39601514362659,2.49621666687193,2.62362890534361,2.7745682415278305,2.7647624367050896,2.7765186275726004,2.76002459412943,2.99996778762746,3.12377099002308,3.2403011228517205,,
Bangladesh,BGD,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,3.13629825384639,3.48832426510298,3.59049314274557,3.7910749621406206,4.069850605394991,4.0998118518381,4.072228231327641,4.40061594899355,4.23404788647096,4.29970853268249,4.48733118148949,4.859839756515839,4.946663431542911,5.01724193195258,5.1064113481212,5.027304872995139,5.324258383204009,5.46310665754322,5.57755869009051,5.8517160235021795,6.01778064311246,5.95749284460287,6.15394613595914,6.3154197311343,6.63834511470081,6.85984972250896,7.1036622990325995,7.3836736478996094,7.63627818946851,7.78548864420797,7.91643428065213,8.465239400504151,,
Barbados,BRB,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.562786505681698,,,,,,,,,,,,,,15.6352916244313,16.136276002925598,17.2280569809278,17.8462618224851,,,,,,
