Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,271.069155624741,225.049482773191,218.190303440293,228.05665151407,240.13583812495602,216.78012058079202,220.03099682003202,216.385583880544,225.103072790899,203.42275244280998,207.79466048980302,206.603663222483,161.599892840616,144.47843554202402,141.871818060973,117.61748481877599,115.055421877653,109.34190797231501,104.665763459214,127.10734802178301,119.602115635663,113.01211821492001,121.648558596233,115.179839133388,119.51272490882,113.323778907968,102.74795842588199,94.9799082361676,89.76894320437651,87.22032486504101,83.890444165199,85.9563387635783,,
Algeria,DZA,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,95.71320700317091,101.027812665836,123.68367446632601,126.81542926714899,119.025225244179,119.82373478412902,134.81229730418,134.06730649920001,142.962932702406,135.781430484575,144.249919724336,154.436701592466,155.894411881413,159.18702457019398,154.832354564058,154.62223769730102,144.759424570251,146.725260684751,144.420791786523,149.435037345762,148.540289414441,142.382881628771,143.301992392624,142.618399185702,137.969692236325,136.00665983723,143.340905091185,147.1676929875,146.760107549713,157.410723944809,149.267192404128,151.823303421667,,
American Samoa,ASM,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,186.781806796437,183.78703792624,174.444197869031,171.90088880532798,175.031608433858,187.809947690437,194.64318466683997,210.234777644032,289.153303106918,283.19454055539,258.109315636268,240.49893022044202,229.304976735207,215.784658874734,220.95931544781502,221.94664636889098,223.87359387619802,207.186003685093,213.437767513416,206.862735628268,169.136964797735,149.830602124227,130.653340811504,124.31353175762399,131.87864038701701,135.56189512006,132.381993937626,,
Antigua and Barbuda,ATG,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.353591479855,,,,,,,,,,,,,,93.94907720126051,89.8468836551349,82.599510277667,76.9255650366193,,,,,,
Arab World,ARB,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,115.14571516150299,131.531664949402,152.609330497778,165.052225454418,163.769037764004,170.183049340895,175.05413372306998,190.66395096615503,197.972080494355,200.63360048643298,178.550172096544,186.92044043932898,189.525068966205,192.262757170858,195.719913631597,196.364673073127,197.129404403973,208.966238774972,202.47317203139,199.335350284169,199.01158328241002,206.588609627607,215.402431335847,211.93827428389702,214.63483562046298,213.102875650588,212.24205989224998,204.663167594738,204.668913987455,213.316398130934,218.182361171056,213.120695333465,,
Argentina,ARG,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,147.547692196207,152.76983130858298,161.668798971099,158.384279233334,160.634762663938,165.845800895527,163.171321898615,167.20684979377398,177.491391039499,186.44635740080398,189.24790169975498,173.122848252583,162.694119901056,153.552742888101,155.259918982202,161.603501817586,157.56695722601802,153.43490420513902,151.649986223596,157.844236559088,160.516257068258,159.328813153813,171.23661593706498,167.733066047836,175.350480642933,159.821672167465,160.888872546424,,,,,,,
Armenia,ARM,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740.1680112753909,883.571794272291,771.817062519046,449.21375160083505,267.972276835036,299.056804242929,305.921817424711,309.51881912611697,293.79861819143,274.990235455904,285.3239509032,259.290381929388,214.307394446185,198.42145651639498,189.912676108483,200.03253366329497,179.965677429646,176.40827672720602,135.113536502379,136.737814317814,127.289518269387,132.97219845077998,,
Aruba,ABW,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,239.424331563889,233.127024014652,235.61869887509602,231.254602610414,227.70038741168202,218.28530156975103,212.116551554556,216.40749410723703,208.46939949790402,213.751522990974,211.721543468987,209.829091168367,212.80228729060502,214.868934536944,206.705875137315,201.601404115185,207.237850848145,204.1814098908,200.445801164128,195.130187966945,191.29768909944198,183.635032652962,182.92057441092098,179.524773287893,175.302523729885,171.10532752753798,168.27150010741502,167.254282712056,166.427817596431,163.180481527436,160.37271440252198,157.043158074177,165.2221670189,
Austria,AUT,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,148.066566229248,140.419069503769,134.57364970565598,131.08494330606,136.090771071984,137.238784064587,134.67624100377301,137.871147613514,134.916487473452,127.78515179430401,127.19588208661,130.892540727912,123.180521214898,123.93228122484,120.715887680919,122.807574037593,127.348307572728,123.586249112754,121.10729973019899,116.682418604562,112.17924515247,117.530398401889,116.609339772071,122.3159619952,120.991354711707,122.13632882053899,117.839181065298,112.26319963716499,111.17721338316,110.143927605044,115.898316485242,108.72165220872299,107.383569894331,
Azerbaijan,AZE,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665.869550248569,664.354285783028,695.5446141845151,810.524821750647,916.063297994095,975.91946936927,814.229355096289,741.44980572206,699.7117741299679,605.890144895923,563.6382633443329,519.627533888033,474.539994377526,448.85603630322504,428.32239115729897,355.85174736699304,260.74328559105203,190.88135852588698,189.518411417635,155.206476610209,143.66420410111,155.652765353402,,
"Bahamas, The",BHS,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.971263637568,,,,,,,,,,,,,,68.9041515314407,69.8531158123353,69.1171675361272,68.4211395645515,,,,,,
Bahrain,BHR,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,370.728930907136,433.153331447129,528.5921753705941,478.46194883154504,485.97799489576,590.297832814395,498.506572931206,446.696077717617,484.128031580776,492.827949787763,492.78145889320297,411.61077078010203,412.746371446448,393.79465876292704,419.527557472156,402.187739000458,389.052170020179,411.531709105505,421.764835213721,393.202235926741,387.325275053487,383.17908389434194,385.88824561105304,377.800155567809,369.306352515947,360.416437063139,372.813686841557,381.087278653673,390.85363309938003,362.360138058437,352.21127645485296,346.213178555802,,
