Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Electric power consumption (kWh),EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Electric power consumption (kWh),EG.USE.ELEC.KH,,,,,,,,,,,,1164000000.0,1275000000.0,1363000000.0,1389000000.0,1778000000.0,2234000000.0,2684000000.0,2819000000.0,2790000000.0,3054000000.0,3064000000.0,3054000000.0,3045000000.0,2957000000.0,2361000000.0,4294000000.0,3583000000.0,3161000000.0,3297000000.0,1717000000.0,1301000000.0,1436000000.0,1684000000.0,1876000000.0,2057000000.0,2809000000.0,2143000000.0,2258000000.0,4366000000.0,4438000000.0,4097000000.0,4763000000.0,4466000000.0,5441000000.0,5186000000.0,3646000000.0,3603000000.0,4768000000.0,5379000000.0,5673000000.0,6376000000.0,,
Algeria,DZA,Electric power consumption (kWh),EG.USE.ELEC.KH,,,,,,,,,,,,1991000000.0,2184000000.0,2494000000.0,2756000000.0,3250000000.0,3760000000.0,4099000000.0,5050000000.0,5866000000.0,6349000000.0,7205000000.0,8305000000.0,8810000000.0,9604000000.0,10464000000.0,11211000000.0,10827000000.0,11779000000.0,13109000000.0,13693000000.0,14058000000.0,15130000000.0,15144000000.0,15545000000.0,16102000000.0,16697000000.0,17123000000.0,18674000000.0,19991000000.0,21211000000.0,22302000000.0,23280000000.0,25373000000.0,26288000000.0,29524000000.0,29013000000.0,30555000000.0,32900000000.0,30610000000.0,36576000000.0,41183000000.0,,
American Samoa,ASM,Electric power consumption (kWh),EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Electric power consumption (kWh),EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Electric power consumption (kWh),EG.USE.ELEC.KH,,,,,,,,,,,,556000000.0,628000000.0,738000000.0,922000000.0,979000000.0,439000000.0,439000000.0,439000000.0,472000000.0,506000000.0,506000000.0,540000000.0,587000000.0,502000000.0,604000000.0,604000000.0,607000000.0,611000000.0,614000000.0,630000000.0,667000000.0,677000000.0,680000000.0,684000000.0,687000000.0,736000000.0,1031000000.0,1126000000.0,1141000000.0,1234000000.0,1400000000.0,1507000000.0,1737000000.0,1642000000.0,2124000000.0,2916000000.0,2786000000.0,3740000000.0,4261000000.0,4822000000.0,5014000000.0,,
Antigua and Barbuda,ATG,Electric power consumption (kWh),EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Electric power consumption (kWh),EG.USE.ELEC.KH,,,,,,,,,,,,23662000000.0,26150000000.0,29354000000.0,33395000000.0,38056000000.0,45143000000.0,52754000000.0,62787000000.0,78079000000.0,90233000000.0,100703000000.0,118899000000.0,132373000000.0,147682000000.0,157201000000.0,176703000000.0,189793000000.0,202349000000.0,212165000000.0,221477000000.0,220588000000.0,246080000000.0,266492000000.0,282033000000.0,295012000000.0,311115000000.0,328591000000.0,359369000000.0,380651000000.0,397520000000.0,422845000000.0,451092000000.0,481053000000.0,505672000000.0,536851000000.0,579085000000.0,610505000000.0,648065000000.0,690469000000.0,757973000000.0,787722000000.0,,
Argentina,ARG,Electric power consumption (kWh),EG.USE.ELEC.KH,,,,,,,,,,,,21214000000.0,22812000000.0,24111000000.0,25290000000.0,26176000000.0,27118000000.0,28841000000.0,29589000000.0,33437000000.0,34693000000.0,33938000000.0,34803000000.0,36846000000.0,38682000000.0,38945000000.0,40841000000.0,44090000000.0,45993000000.0,42447000000.0,42534000000.0,44577000000.0,47289000000.0,50850000000.0,52546000000.0,57428000000.0,60910000000.0,65893000000.0,70947000000.0,74167000000.0,77016000000.0,79046000000.0,75910000000.0,83042000000.0,88272000000.0,93671000000.0,84381000000.0,92487000000.0,111136000000.0,110523000000.0,117375000000.0,120858000000.0,,
Armenia,ARM,Electric power consumption (kWh),EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9633000000.0,9428000000.0,6757000000.0,4019000000.0,3433000000.0,3379000000.0,3865000000.0,4728000000.0,4068000000.0,4039000000.0,3983000000.0,3872000000.0,3751000000.0,3985000000.0,4322000000.0,4536000000.0,4851000000.0,5200000000.0,4854000000.0,4798000000.0,4967000000.0,5201000000.0,,
