Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,,,,,,,,,,,,23.6503856041131,22.048997772828496,29.6675191815857,30.434782608695603,35.9550561797753,35.523613963039,34.6743295019157,32.5769854132901,32.5797872340426,19.367588932806303,23.8317757009346,24.060150375939802,23.1923601637108,23.872679045092802,26.2865090403338,27.7008310249307,27.0161290322581,28.005284015852,17.8272980501393,27.84,21.2328767123288,10.2564102564103,9.954751131221721,7.48898678414097,4.3010752688172005,5.882352941176469,2.7972027972027997,2.9940119760479,17.4061433447099,16.721311475409802,16.25,14.9051490514905,15.284974093264198,13.2530120481928,10.7769423558897,14.1388174807198,12.144702842377301,8.66141732283465,5.50724637681159,6.504065040650411,6.4599483204134405,,
Algeria,DZA,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,,,,,,,,,,,,3.9237668161435004,4.004004004004,4.03508771929825,4.10297666934835,4.20527441197434,4.13877054169203,3.98907103825136,3.69869192602616,3.32610267534346,3.34271639690359,3.10596833130329,2.7905785970302097,2.6076833527357404,2.64712833845427,0.184162062615102,0.19047619047619,0.191163976210705,0.18189167340339502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03184120748475,3.6207425590672004,3.77358490566038,,
American Samoa,ASM,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.880308880308881,17.578125,23.507462686567198,23.1372549019608,14.8648648648649,18.723404255319103,3.5087719298245603,2.43055555555556,2.46478873239437,2.0547945205479397,1.81268882175227,1.17302052785924,0.7481296758104748,0.486618004866182,0.251256281407035,0.233100233100233,0.471698113207546,0.25252525252525304,2.6246407201540297e-15,0.0,0.24752475247524802,0.204918032786883,0.0,-1.99321907473098e-15,0.16260162601626002,0.130039011703511,0.226244343891403,0.27816411682892894,0.23501762632197398,0.307377049180328,0.335570469798656,0.35511363636363497,0.317863954227589,0.318066157760813,,
Antigua and Barbuda,ATG,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,,,,,,,,,,,,5.3765490943756,5.2032520325203295,5.01606708989733,4.69153515064562,4.19961114711601,4.19378996485973,3.9233484619263703,3.79572712031982,3.75708388721752,3.4610966688833797,2.91131035972777,2.79940857565303,3.0222464607903303,3.40653911793766,2.6017388287839,2.79685077421823,2.82788051209104,3.21267290118408,3.03020014599284,1.60279353993889,1.8746942483751499,1.50619123872338,1.3043092484694299,1.1063675428316297,1.28987817066912,1.17547623691568,1.19165962522988,1.243459526008,1.2942663393529898,1.26387682775131,1.3011902360298602,1.28990750213578,1.31378561130627,1.37925720449992,1.65784040929899,1.66063481618729,1.6381638163816399,1.57170923379175,1.7746099858176698,1.9184405201013797,1.6284841287843401,,
Argentina,ARG,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,,,,,,,,,,,,4.42135781589756,4.34678767614043,4.3875685557586905,4.748858447488581,5.04034615834405,5.27020991514069,4.92277992277992,5.3484602917342,5.55555555555555,5.3545283413511795,5.500211954217889,5.78165374677003,5.55088309503785,5.166524338172501,7.324263038548749,4.85066941297631,5.087409153407981,4.76679104477612,4.18131711489119,4.546364910875231,4.79036236008347,5.22297737640816,5.55304332097314,6.16653908309943,6.52708315673476,6.271642939592151,6.02655000754261,5.57506584723442,5.543587534108861,5.38013378407538,5.47870686975443,5.856636146168441,6.34872186188478,6.849036111865329,7.01869897287332,6.1452513966480495,5.29682549171997,7.03190713845119,6.95859779887032,5.77787769784173,4.69056439311397,,
Armenia,ARM,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8836754643206204,7.376283846872081,6.46067415730337,6.4,9.42028985507247,5.55555555555556,4.5267489711934195,3.45911949685535,3.32326283987915,3.0405405405405403,6.1764705882353,6.1046511627907005,8.65051903114187,10.7692307692308,10.1156069364162,9.95145631067961,9.661835748792269,8.76826722338205,8.17490494296578,9.15492957746479,16.5841584158416,15.236051502145902,,
Aruba,ABW,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
