Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Net foreign assets (current LCU),FM.AST.NFRG.CN,,817000000.0,682000000.0,1901000000.0,1648000000.0,1881000000.0,1641000000.0,1498000000.0,1077000000.0,1143092304.92188,1437493461.4375,2288233403.4531302,2550475761.46875,3032389756.46875,3614573954.48438,6748051845.95313,9582834844.5,16667433588.5,20106708078.875,21915226509.0,39353160286.125,44336215668.0,39768928613.6681,,25801110842.06,22283610095.6077,17918024779.92,25260267408.6,25828407151.2,20334909553.12,3981259339.04,,,,,,,,,,,,,,,,103826596010.42401,147079548004.704,172783863615.42902,214828924798.946,248098806964.882,338126300052.018,425431077202.813,
Albania,ALB,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21629413795.6946,35443315096.0691,54424371563.4161,68297294555.3213,83030726075.0696,100070450902.137,130080322627.08,157270000000.0,164323897105.29,161812640999.512,188807246937.55,210786984745.742,233237750253.901,232445628756.817,206641783843.107,244406493067.46,339379795367.594,389001162990.355,451161362621.76794,
Algeria,DZA,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,875055899.985,788055899.985,1298758694.98425,2101461489.9835,2521164284.98275,2415569874.98125,1578066995.9534,1599194513.79038,1669672955.09145,1849361532.26165,4536840199.8279705,1961345974.7254398,4692681118.630879,3375638599.50243,1770203164.1468,2166611825.74072,6705000871.07693,9398084037.30976,5646187810.30782,2001941994.15053,-4776708263.19011,-8056743194.95438,-23874489784.3431,-30415345518.9395,-44377236050.7772,-53825664090.6822,-86121343760.0909,-132644911545.41301,-120967349483.5,-89839492048.0095,-79085013176.8763,-87533793092.954,44880824000.9141,302453433196.212,249609946105.99802,138950557062.74,757752146279.466,1292722819571.56,1725161253720.09,2308849301451.24,3073047942898.72,4157115333331.07,5501569589894.25,7397799729620.77,10246822510549.8,10758043230236.7,11871426256168.0,13795215884837.7,14810856913957.2,
American Samoa,ASM,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7611172.12739907,135920959.131068,200101483.363888,168039753.998299,5768914826.14511,30520014540.0519,47792308275.0668,93550273730.6943,142166945731.572,223703284289.841,386669940173.54205,923041691581.68,1019497491481.02,1508244325647.29,1179832766476.46,1670859790377.33,2923670894229.94,3183271775701.89,
Antigua and Barbuda,ATG,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,13204000.0,-13328000.0,-8342000.0,-11740000.0,-1048000.0,-6361000.0,-5835000.0,-17052000.0,-12573000.0,10428000.0,6260000.0,9892000.03051758,13451999.9389648,25706000.0,-909000.0,1663000.0,84315000.0,97146000.0,109371543.06,168716296.602915,242905033.204211,111936520.956725,16661731.3045,44906505.197063,271946618.716646,146610042.26688302,320038305.812617,328865521.88712,670940923.1668941,644938048.2559099,714079034.822891,930247142.5666,887075222.0413,556221606.92127,385603868.00608,284196584.39659,190545463.01924,233874896.60373998,
Arab World,ARB,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Net foreign assets (current LCU),FM.AST.NFRG.CN,0.0022,0.0006,-0.0029,-0.0009,-0.0007,0.0012,0.0029,0.0147,0.0181,0.016044,0.028011999992997,0.011384999997723,0.011034999997793,0.04524999999095,0.050794999989841,0.057901634999049,1.35328499999507,17.4260875,61.946055,170.971866,155.0105225,-340.771456,-1519.63643,-12526.966440123999,-73207.1469,-502490.45,-966001.65,-4524042.5,-15532047.8,,-4413000000.0,-6145000000.0,2537000000.0,7877000000.0,5951066493.157,2037238350.24166,7185335087.7414,13193439128.424,15813378415.0359,14583698967.7637,15195104836.7949,-8178428654.2627,-45077838378.5219,-23869597395.7841,1939015404.1734,46907305928.2198,90288304604.4518,140216187484.852,157160009999.416,168715099164.168,194799554663.01102,178698279942.363,199567504827.20398,
Armenia,ARM,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218135805.32,883994304.195,7010180536.57844,15438495735.3627,6453110150.87975,30937701270.4619,42029938635.6583,45730865062.0239,70912133285.6001,85070447550.6357,157000179970.81,205182738102.88,225108499925.86102,278532533969.525,336812460873.48303,374390043200.498,201255010429.60397,369266662174.34796,192708161515.95,27995101459.209,-141027235118.847,
