Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Broad money (current LCU),FM.LBL.BMNY.CN,3255000000.0,3590000000.0,4230000000.0,4889000000.0,6008000000.0,7055000000.0,7061000000.0,7035000000.0,8213500000.0,9692000000.0,10391000000.0,11566000000.0,13178000000.0,14183500000.0,16094500000.0,18099200000.0,22478500000.0,28771600000.0,33450700000.0,39660500000.0,46344600000.0,54431650000.0,64206870000.0,,81909450000.0,90435820000.0,101586160000.0,153080670000.0,205940700000.0,282461360000.0,397125350000.0,,,,,,,,,,,,,,,,81247948057.0,115693148892.644,152002075158.01,202231264209.68,256726781225.915,311433123272.22,338839582930.14,
Albania,ALB,Broad money (current LCU),FM.LBL.BMNY.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70774400000.0,107449600000.0,154552000000.0,198546800000.0,239525582000.0,292870584000.0,328100755000.0,391140000000.0,408129153406.365,443527430907.014,503231628092.823,574314175624.68,666467427984.979,757605287857.2,815704632038.6329,871469477578.721,980283922352.601,1070149540890.17,1123407839788.6,
Algeria,DZA,Broad money (current LCU),FM.LBL.BMNY.CN,,,,,4768000000.0,5287000000.0,5779000000.0,7506000000.0,10160000000.0,11621000000.0,13075000000.0,13925000000.0,18139000000.0,20362000000.0,25770000000.0,33748000000.0,43604000000.0,51951000000.0,67459000000.0,79689000000.0,93539000000.0,109154000000.0,137890000000.0,165926000000.0,194717000000.0,223860000000.0,227016000000.0,257896000000.0,292965000000.0,308147000000.0,343324000000.0,414745000000.0,544456000000.0,584183000000.0,675928000000.0,739895000000.0,848250000000.0,1003136000000.0,1199476000000.0,1366769000000.0,1559914000000.0,2296636922382.28,2727389258257.76,3169324323201.01,3485975847790.02,3794389218560.55,4534223035159.82,5615945100018.13,6496177363528.56,6718843502848.37,7545280218950.38,8895160718063.12,9664407564943.58,
American Samoa,ASM,Broad money (current LCU),FM.LBL.BMNY.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Broad money (current LCU),FM.LBL.BMNY.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Broad money (current LCU),FM.LBL.BMNY.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5478652.043,230408701.1,396174648.9,624561942.9,3923462686.65,15840411639.28,41378546152.89,106983429299.628,177921501275.54102,243704529584.743,391244631101.55,615581412217.91,852901129847.69,1417144983007.82,2303840478830.76,2608692321261.85,3506213852965.33,3799314739492.64,
Antigua and Barbuda,ATG,Broad money (current LCU),FM.LBL.BMNY.CN,,,,,,,,,,,,,,,,98017000.0,106489000.0,102525000.0,113214000.0,130737000.0,145366000.0,168537000.0,191252000.0,236804000.0,250243000.0,278726000.0,329270000.030518,449443999.938965,529898000.0,600588000.0,622407000.0,718018000.0,790494000.0,847631000.0,923023000.0,1104953643.0,1081662300.0,1158961659.0,1330609597.0,1661072307.0,1761551092.0,1848429601.0,1947394012.0,2250760640.0,2388832014.0,2600161012.0,2901541458.0,3231331560.0,3338058487.0,3011163873.0,3018561720.1571,3062796666.32461,3142015482.32811,
Arab World,ARB,Broad money (current LCU),FM.LBL.BMNY.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Broad money (current LCU),FM.LBL.BMNY.CN,0.0278,0.0277,0.0305,0.0406,0.0574,0.0729,0.0959,0.1475,0.1889,0.2284,0.276,0.3,0.63,1.1,1.7,4.3,19.5,63.8,173.9,499.8,958.4,1921.15,4593.3,23021.3,173802.9,917943.4,1955360.1,5145383.2,27929433.6,652203080.0,7913000000.0,19097000000.0,31030000000.0,45453000000.0,53471032000.0,51970875000.0,61752085000.0,77520318000.0,85650721000.0,89150058000.0,90514975371.93,72922287000.0,87294434000.0,113164011000.0,137412015000.0,166974724000.0,200808370000.0,249937394000.0,270094095000.0,316009865000.0,420633113000.0,530130908000.0,714732070000.0,
Armenia,ARM,Broad money (current LCU),FM.LBL.BMNY.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247755114.01,2915502675.11,24500673436.0,40251072000.0,54370637558.1,70247105057.4,96037385737.4,109454299662.9,151653252368.9,158151295510.3,211886128567.2,233817917050.3,285943410249.6,365553511487.9,485736892760.2,691343266518.4,707787799577.1,814990216549.8,911386033727.5,1126978197618.9,1346364910702.83,
