Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Domestic credit provided by banking sector (% of GDP),FS.AST.DOMS.GD.ZS,15.727271729045901,20.0728742858844,21.276422321401302,17.0059153565325,20.424998838044502,15.3576163279856,10.833333597460301,9.917662176841661,14.4805821643661,15.297697125265,13.610864872193698,14.1630464140254,18.8808331324012,17.874151360857603,16.166224666216902,14.6027585434954,16.0700325479099,13.836822408608699,15.460067609947698,18.0544146443433,12.870583015141401,16.3082487177005,,,,,,,,,,,,,,,,,,,,,,,,,-4.824098408230941,0.535180550442421,4.92536006931885,3.98858951246019,4.19110899400323,-2.9790782837623,-4.02852989183964,
Albania,ALB,Domestic credit provided by banking sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3085279406131,39.93793466037229,41.2410836974646,58.0738421510636,56.2026504487403,49.8255831451686,48.27189668268851,46.72495124745979,47.0422782055195,46.852431641235505,45.4349013968969,48.5894732304,54.5062434865437,62.055594266379096,66.0641448385143,67.9626450434968,67.111795101108,69.149088693346,66.45701097346111,
Algeria,DZA,Domestic credit provided by banking sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,24.409143772083603,29.0622131288317,24.726866354608003,27.977088306781503,36.37026929273,41.9967067015212,46.1361800929806,50.676835192178494,55.748144634197,55.0299492760892,37.695213592163206,50.0598055100959,57.053027011036605,58.312256069870394,69.4192220505875,64.26229967881589,61.59938393608561,58.683907575034105,70.87235312145,78.21951228080529,82.7268301414917,84.97424864241441,93.3415656918369,95.2258267590023,99.3533577975273,90.63052082770491,78.4328891673476,59.6274735578578,55.448768262544405,59.02581490679871,47.226214984507294,45.0405398106964,38.3229960020626,38.5912176887475,41.3841709142749,45.8192811509558,28.271226214502395,36.2896139458265,37.8911704667937,31.381674843583898,21.7460992551132,7.43474141238654,3.9392838901253597,-3.35610581769346,-12.6222300295648,-9.10321853641884,-6.47199864626114,-4.4567938809197,-2.10519177704453,
American Samoa,ASM,Domestic credit provided by banking sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Domestic credit provided by banking sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Domestic credit provided by banking sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.8859494141101,4.7744460935040705,10.027267885728,17.736306485596604,7.21994885570439,-14.7554354298808,-0.6189691977354871,4.9134850814849695,6.07952837167394,4.4932583643139905,2.47139933186935,-6.15354960350237,1.886006180386,9.409882540423359,28.854776880302897,23.167690184561803,17.8743827852436,15.9025980195276,
Antigua and Barbuda,ATG,Domestic credit provided by banking sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,,,,,,,,,,,,62.641805252253796,59.1603582207709,52.4742019674764,51.5206272292886,52.893619539645606,53.1095098940796,56.1131360756587,55.2362961065574,55.330530639985895,53.087872032775,60.5281325955422,59.743132709299296,61.596027548838606,62.6290151715788,62.712239510683204,65.3175255209062,64.136779317883,59.311219486906005,69.1201166815231,72.7783377415564,81.42173761209479,83.9284566547462,89.2689977272727,80.4828738906784,82.35983149579191,84.2962815427521,83.1998927211977,78.5461628047454,77.03752904590671,75.1296498186363,77.3077194514434,83.38775146634991,94.47479785429908,98.48650459565229,103.61938558804,98.0068192702704,
Arab World,ARB,Domestic credit provided by banking sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,28.2879944921247,28.392073300809898,29.8963418495918,27.4947819996348,29.377958087540197,30.139940593410397,27.8238122686059,25.9137451301164,22.7763388359231,5.72287915701949,2.79680201344347,1.36165730249081,4.72278596234941,15.0190290491255,16.2401546066658,11.1837059309451,3.30826895386329,7.84180996039745,15.7248298725331,23.6200150782388,30.9296914480833,47.4957412756468,51.58009437583839,53.0650192644629,51.4501466091101,47.96908430056129,46.587694725903,46.880068042866895,49.4687833479624,49.9743361151041,49.8640340175958,46.757263826472595,49.588876989824705,57.8752204305632,57.998551218119005,50.8708251977753,55.294693181336896,54.9309412838072,53.5634178124611,46.9279733974634,40.2925755574577,37.2222273317726,37.343215935735394,32.1533465212172,43.9453329531621,44.250914388247395,40.2560210677975,23.8306577253341,
Argentina,ARG,Domestic credit provided by banking sector (% of GDP),FS.AST.DOMS.GD.ZS,21.671534323931898,18.7641792149707,17.2659768639598,17.950778733522398,17.442243973229,16.1872739151014,17.6801283456855,18.651542346052302,21.1501261689317,22.2309581693571,25.204133449649,24.629654444442803,23.0328503394537,27.4901879010396,30.3713123128289,28.7594771456432,20.344150942721104,26.4137652814968,29.3715442265869,31.280859327887303,32.960109160181396,48.4498895499069,45.9987644434275,46.2096995159375,41.748912658676,32.5730009425071,32.869685800422694,47.5856773657119,42.6744673245575,80.05567633986121,32.4207077674654,22.799035291640703,22.478577754173998,25.9935337253565,26.578763595400897,27.867950746371303,28.2203103254734,30.3761991265421,32.502843552354,35.5044239797124,34.4516920194227,37.243363754864895,62.421086121952804,50.6278207919725,45.401883194997794,38.2644593949961,30.814222568575,28.5200168352272,24.4471459737732,27.959634105356802,29.179001877034196,31.307966398692102,37.298545557318704,
Armenia,ARM,Domestic credit provided by banking sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3084578357287,44.12649451369679,15.300886762806499,9.11622630283834,9.07057995494389,7.97194371914818,10.7303742402587,10.749978143442302,11.547501094752299,9.33487622516236,7.378001258675691,5.55947834031446,6.68419872197076,8.788980749535119,8.0640477509702,12.134288294191,18.593273703715,21.529879088060397,27.815697579773303,36.3814480131175,44.171722425106104,
