Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2440812579.45,231213531.86,340360903.97,747914113.6,2435677770.04,3199209441.35667,,
Albania,ALB,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653000000.0,558991000.0,417864000.0,475790000.0,,,,1504230000.0,3919470000.0,2066140000.0,,,,,,,,,
Algeria,DZA,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38070000000.0,43880000000.0,54970000000.0,56000142724.02,58900000000.0,103245741241.01,,
American Samoa,ASM,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6748000000.0,8796244916.26,11541408525.68,,,,,,,,,
Armenia,ARM,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35441781920.0,90181306200.0,88371942793.0,101252800000.0,69639014211.0,79651420281.5,58297977899.6,63113613159.94,70732577962.0,,
Aruba,ABW,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3327000000.0,3531000000.0,3589000000.0,3826000000.0,266000000.0,394000000.0,306000000.0,383000000.0,365000000.0,396000000.0,393000000.0,519000000.0,518000000.0,,
Austria,AUT,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3120300000.0,3157660000.0,3217380000.0,3332210000.0,3440550000.0,3541980000.0,3663750000.0,3710540000.0,3802160000.0,3848430000.0,3925070000.0,4151320000.0,4379980000.0,4806970000.0,5019920000.0,5112230000.0,5319380000.0,,
Azerbaijan,AZE,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152200000.0,101700000.0,150900000.0,211000000.0,,
"Bahamas, The",BHS,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60200000.0,71800000.0,164900000.0,154800000.0,179000000.0,213600000.0,216200000.0,224561000.0,243761000.0,293655000.0,280900000.0,240000000.0,237824000.0,247000000.0,319744000.0,307004000.0,235185000.0,445533000.0,498700000.0,277876000.0,253133000.0,350100000.0,,
Bahrain,BHR,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600000.0,4900000.0,6300000.0,7300000.0,8100000.0,7200000.0,10700000.0,14700000.0,14600000.0,14100000.0,16900000.0,17800000.0,21700000.0,25900000.0,75900000.0,,,,,,,,,
Bangladesh,BGD,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12010510000.0,10521930000.0,10989090000.0,13661050000.0,15837143000.0,14549107000.0,17604030000.0,27477799000.0,23993796000.0,25142058000.0,30332159000.0,,
Barbados,BRB,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216843603.0,241926022.0,218404303.0,213149609.0,,,
Belarus,BLR,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700000.0,30900000.0,483600000.0,3972000000.0,6438000000.0,7833400000.0,6237800000.0,23931100000.0,73100000000.0,154540000000.0,220360000000.0,1120728400000.0,1496166000000.0,2291537000000.0,2393198000000.0,1780224000000.0,3523693200000.0,1648183000000.0,1809114752500.0,1662000000000.0,,
Belgium,BEL,Other taxes (current LCU),GC.TAX.OTHR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499000000.0,1626200000.0,2022400000.0,2340900000.0,2372600000.0,2463100000.0,2364200000.0,1092500000.0,1080500000.0,1639700000.0,1122500000.0,1280200000.0,1153700000.0,1144700000.0,1047700000.0,1129100000.0,1146800000.0,,
