Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Compensation of employees (% of expense),GC.XPN.COMP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7641537328888,28.227782078453604,18.3605751100374,23.4535383334864,23.2801147984071,21.968339589704698,,
Albania,ALB,Compensation of employees (% of expense),GC.XPN.COMP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.289445731102099,13.506184561065,,10.6561513897546,,,,30.571312121322304,29.351877855824103,29.673900428133802,,,,,,,,,
Algeria,DZA,Compensation of employees (% of expense),GC.XPN.COMP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.830116398095,31.566708898759998,31.067238645174605,33.6550803619431,37.939612868048,40.2344535145142,,
American Samoa,ASM,Compensation of employees (% of expense),GC.XPN.COMP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Compensation of employees (% of expense),GC.XPN.COMP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Compensation of employees (% of expense),GC.XPN.COMP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Compensation of employees (% of expense),GC.XPN.COMP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Compensation of employees (% of expense),GC.XPN.COMP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.222514403193806,31.7337644728794,,,,,
Argentina,ARG,Compensation of employees (% of expense),GC.XPN.COMP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3447434352894,11.6703669135449,11.506017531149,,,,,,,,,
Armenia,ARM,Compensation of employees (% of expense),GC.XPN.COMP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15076473510024,17.059005654209198,20.451922733560103,21.2973220253214,21.365911001366,21.011127008083104,24.799313718969398,23.595311347284603,23.5523515240019,,
Aruba,ABW,Compensation of employees (% of expense),GC.XPN.COMP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Compensation of employees (% of expense),GC.XPN.COMP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1348167109711,10.7220237011172,9.77122477851353,9.666405967994221,10.325378352536699,10.399349475966801,10.1791923652885,10.2752168216637,10.463993628587199,10.4606582826045,9.82796930614987,10.2828621842015,10.5697538228846,,
