Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,,,,,
Albania,ALB,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.17,,,69.9,,57.7,,,,,,
Algeria,DZA,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.21,,,,,66.6,,,,,,
American Samoa,ASM,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,,,,48.9,,,
Antigua and Barbuda,ATG,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,
Arab World,ARB,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,,,18.1,,,
Armenia,ARM,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,25.9,,,,16.0,,,,
Aruba,ABW,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3,,,39.3,,,,52.2,,,,
"Bahamas, The",BHS,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,,
Bahrain,BHR,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.85,,,,,85.1,,,,,,
Barbados,BRB,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,,,
Belarus,BLR,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,30.5,,,26.1,,,,,11.1
Belgium,BEL,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
