Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000000.0,69000000.0,156000000.0,171100000.0,555400000.0,240000000.0,185000000.0,60000000.0,70000000.0,5100000.0,101200000.0,
Albania,ALB,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102200000.0,63000000.0,118000000.0,95000000.0,186000000.0,5000000.0,31000000.0,236000000.0,64000000.0,339000000.0,108840000.0,100500000.0,0.0,
Algeria,DZA,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368500000.0,133000000.0,520000000.0,1129000000.0,1272000000.0,702000000.0,561000000.0,264000000.0,398000000.0,237000000.0,214000000.0,86700000.0,
American Samoa,ASM,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Andorra,ADO,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68000000.0,7300000.0,83600000.0,119800000.0,0.0,250000000.0,198000000.0,327000000.0,354000000.0,534000000.0,136400000.0,151000000.0,
Antigua and Barbuda,ATG,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000.0,,,,0.0,,0.0,
Arab World,ARB,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254700000.0,2648000000.0,1111000000.0,2095000000.0,2170000000.0,2645000000.0,2328000000.0,1464000000.0,1739000000.0,2322600000.0,1900500000.0,1470300000.0,768600000.0,332400000.0,658350000.0,706600000.0,1023000000.0,1111200000.0,1580000000.0,1319400000.0,1728300000.0,2424900000.0,2082400000.0,
Armenia,ARM,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,112500000.0,,33000000.0,33000000.0,26400000.0,31000000.0,61700000.0,132000000.0,0.0,104000000.0,186300000.0,198500000.0,97900000.0,73200000.0,47000000.0,
Aruba,ABW,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000000.0,,20000000.0,1000000.0,74000000.0,27000000.0,60600000.0,17000000.0,7000000.0,39000000.0,109000000.0,123000000.0,413600000.0,188000000.0,474000000.0,207900000.0,124300000.0,87600000.0,0.0,
"Bahamas, The",BHS,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000000.0,6000000.0,,,,30000000.0,150000000.0,74000000.0,1000000.0,142700000.0,74100000.0,61300000.0,60900000.0,205000000.0,420000000.0,473000000.0,1113000000.0,1348800000.0,896000000.0,372000000.0,520500000.0,494000000.0,412200000.0,
Barbados,BRB,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0,,,,,,20000000.0,,,38500000.0,120300000.0,241000000.0,148000000.0,187600000.0,220400000.0,660900000.0,1130000000.0,207900000.0,419500000.0,215390000.0,143040000.0,
Belgium,BEL,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45000000.0,,,,,,,,,,
Benin,BEN,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90400000.0,0.0,9200000.0,7300000.0,4200000.0,5800000.0,18700000.0,275000000.0,89800000.0,130300000.0,401900000.0,87700000.0,25100000.0,
Bermuda,BMU,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17500000.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bolivia,BOL,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,,,,18000000.0,109000000.0,213000000.0,109000000.0,79000000.0,142400000.0,75000000.0,81500000.0,75800000.0,96800000.0,49000000.0,73800000.0,107200000.0,66300000.0,37400000.0,0.0,,,
Bosnia and Herzegovina,BIH,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,901500000.0,43800000.0,77700000.0,63600000.0,31600000.0,56200000.0,0.0,
Botswana,BWA,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000000.0,17000000.0,17000000.0,17000000.0,17000000.0,17000000.0,17000000.0,19000000.0,18000000.0,28000000.0,51860000.0,86000000.0,59000000.0,54200000.0,28000000.0,
Brazil,BRA,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705000000.0,5623300000.0,28280400000.0,10526500000.0,10107200000.0,13212400000.0,4117300000.0,3157800000.0,4660800000.0,5798300000.0,6061500000.0,6917800000.0,10828200000.0,7135600000.0,9068050000.0,12780500000.0,11789200000.0,
Brunei Darussalam,BRN,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000000.0,16500000.0,26500000.0,26500000.0,41500000.0,41500000.0,66500000.0,5400000.0,312500000.0,226500000.0,230300000.0,587500000.0,816900000.0,462000000.0,654000000.0,410800000.0,339700000.0,344800000.0,268000000.0,245700000.0,
Burkina Faso,BFA,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27400000.0,8200000.0,1000000.0,5250000.0,0.0,0.0,290000000.0,88800000.0,108800000.0,193000000.0,299000000.0,60300000.0,61800000.0,
Burundi,BDI,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,35600000.0,3000000.0,3000000.0,6000000.0,6000000.0,0.0,0.0,0.0,0.0,0.0,17000000.0,25000000.0,0.0,
Cambodia,KHM,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12600000.0,17500000.0,,1500000.0,8000000.0,78000000.0,13800000.0,1100000.0,2400000.0,12000000.0,28370000.0,17000000.0,7500000.0,68800000.0,3100000.0,165800000.0,37000000.0,389580000.0,18250000.0,3900000.0,6800000.0,
Cameroon,CMR,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12700000.0,95000000.0,54400000.0,66000000.0,89000000.0,61000000.0,29000000.0,63000000.0,149400000.0,211000000.0,278000000.0,233000000.0,252200000.0,263300000.0,
Canada,CAN,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,CPV,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,,,,,,,0.0,,0.0,,16000000.0,0.0,4700000.0,23000000.0,16000000.0,23200000.0,5300000.0,
Caribbean small states,CSS,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000.0,,,,,,,,,0.0,0.0,0.0,12000000.0,2800000.0,6000000.0,10000000.0,23900000.0,17000000.0,
Chad,TCD,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,4800000.0,4800000.0,1400000.0,,0.0,0.0,26400000.0,53500000.0,98500000.0,68000000.0,345000000.0,80000000.0,77600000.0,
Channel Islands,CHI,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,46000000.0,49900000.0,53000000.0,131000000.0,136000000.0,158100000.0,195400000.0,351700000.0,393600000.0,218980000.0,98390000.0,85180000.0,112870000.0,224870000.0,159010000.0,405700000.0,365300000.0,171800000.0,360200000.0,219500000.0,
China,CHN,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3970000000.0,,2000000000.0,5653000000.0,325000000.0,1430000000.0,0.0,1140000000.0,0.0,0.0,,,,,,,
Colombia,COL,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354700000.0,196500000.0,131200000.0,485800000.0,544800000.0,26000000.0,110500000.0,89300000.0,163400000.0,153900000.0,198400000.0,855400000.0,1632600000.0,1071400000.0,1691000000.0,899700000.0,1657900000.0,2096100000.0,1531600000.0,
Comoros,COM,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",ZAR,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30000000.0,18000000.0,41200000.0,65500000.0,141000000.0,129700000.0,54000000.0,42000000.0,74000000.0,241000000.0,335000000.0,151000000.0,174000000.0,442200000.0,389800000.0,
"Congo, Rep.",COG,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600000.0,,42500000.0,0.0,7600000.0,35200000.0,19600000.0,7000000.0,0.0,0.0,0.0,10000000.0,169000000.0,120700000.0,110000000.0,77000000.0,59900000.0,18800000.0,
Costa Rica,CRI,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170000000.0,418000000.0,
Cote d'Ivoire,CIV,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0,694000000.0,48300000.0,0.0,75100000.0,7500000.0,7500000.0,0.0,24800000.0,20000000.0,13000000.0,253700000.0,300700000.0,318000000.0,319000000.0,376200000.0,236100000.0,
Croatia,HRV,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,366000000.0,,,,,,0.0,0.0,60000000.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Curacao,CUW,Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
