Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,120.0,238.0,391.0,,386.0,,,,361.0,,8.0,,
Algeria,DZA,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,240.0,417.0,,386.0,365.0,366.0,318.0,347.0,447.0,578.0,438.0,422.0,455.0,419.0,349.0,340.0,320.0,278.0,345.0,,,,201.0,200.0,229.0,170.0,164.0,138.0,118.0,134.0,150.0,207.0,267.0,248.0,127.0,94.0,291.0,296.0,334.0,465.0,611.0,765.0,,,730.0,803.0,,
American Samoa,ASM,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,2033.0,2465.0,1931.0,1829.0,1806.0,1945.0,1953.0,1841.0,2176.0,2305.0,1984.0,1846.0,2002.0,2127.0,1948.0,1862.0,,1725.0,,,,,,1202.0,,,1499.0,1815.0,1780.0,2081.0,2131.0,,3318.0,,2428.0,2073.0,1892.0,1746.0,1946.0,2891.0,,4322.0,,,,,,
Argentina,ARG,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,5500.0,5096.0,2327.0,4205.0,4074.0,3703.0,3037.0,2547.0,2800.0,2862.0,3168.0,3063.0,3321.0,2793.0,2443.0,2656.0,,,,,,1955.0,1851.0,1919.0,2261.0,2820.0,3588.0,4012.0,5035.0,5459.0,5558.0,5574.0,5088.0,4143.0,3765.0,3816.0,4215.0,4597.0,4806.0,4781.0,,,,,
Armenia,ARM,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,79.0,98.0,154.0,121.0,8.0,16.0,8.0,15.0,7.0,6.0,6.0,2.0,1.0,5.0,4.0,11.0,6.0,19.0,,
