Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,1063.0,2663.0,2839.0,2832.0,2557.0,2735.0,2820.0,2414.0,2413.0,2668.0,3702.0,3885.0,4163.0,4596.0,4023.0,3848.0,3489.0,,
Algeria,DZA,"Trademark applications, total",IP.TMK.TOTL,,,,,,,15215.0,1481.0,1120.0,1162.0,1162.0,963.0,1620.0,753.0,919.0,1256.0,2628.0,1310.0,891.0,908.0,961.0,753.0,1294.0,893.0,852.0,3758.0,2087.0,3869.0,958.0,4357.0,4306.0,4271.0,5246.0,5557.0,5207.0,5152.0,4507.0,4012.0,4199.0,4255.0,4606.0,4765.0,4401.0,4279.0,4508.0,5745.0,6128.0,2415.0,6110.0,5752.0,5629.0,5960.0,,
American Samoa,ASM,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2449.0,7643.0,2404.0,1141.0,1620.0,1578.0,725.0,859.0,741.0,806.0,,1071.0,1021.0,785.0,948.0,803.0,,
Angola,AGO,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976.0,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.0,892.0,745.0,712.0,847.0,1009.0,994.0,1031.0,1028.0,716.0,685.0,729.0,,
Arab World,ARB,"Trademark applications, total",IP.TMK.TOTL,,,,,5083.0,6145.0,20898.0,7505.0,7340.0,8298.0,7204.0,8171.0,9219.0,8100.0,8201.0,7166.0,7167.0,6795.0,8351.0,7889.0,8411.0,,,,,,,,,,,,,,,,,,24986.0,20601.0,33497.0,26216.0,27585.0,27297.0,39522.0,46194.0,52049.0,53627.0,45380.0,44844.0,44979.0,51699.0,,
Argentina,ARG,"Trademark applications, total",IP.TMK.TOTL,,,,24240.0,27206.0,28225.0,,31279.0,32223.0,40730.0,34384.0,20008.0,21400.0,22135.0,24015.0,27667.0,28020.0,29890.0,25464.0,26911.0,25316.0,29742.0,24616.0,28363.0,,,58650.0,53717.0,45257.0,41605.0,67053.0,44357.0,37345.0,37687.0,49867.0,60884.0,47972.0,60194.0,72008.0,64719.0,61847.0,40583.0,42812.0,81216.0,76431.0,78172.0,79139.0,58389.0,62074.0,59403.0,69565.0,,,
Armenia,ARM,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6740.0,3254.0,4429.0,2901.0,3600.0,3276.0,3018.0,3206.0,2472.0,2886.0,4011.0,4136.0,4247.0,4701.0,4735.0,4398.0,4620.0,4620.0,,
Aruba,ABW,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895.0,,,751.0,,,,,,,,,,580.0,,,,,,,,,,,
Australia,AUS,"Trademark applications, total",IP.TMK.TOTL,6090.0,6209.0,5828.0,6411.0,6280.0,6583.0,6714.0,7537.0,8301.0,9246.0,,8866.0,9204.0,10026.0,9209.0,9046.0,10195.0,10888.0,11001.0,16127.0,13567.0,14929.0,15737.0,13818.0,15415.0,18459.0,19194.0,21150.0,22256.0,23821.0,22015.0,21810.0,23460.0,26126.0,30051.0,32382.0,24926.0,26997.0,30171.0,36733.0,42890.0,38373.0,43679.0,49310.0,58277.0,64413.0,69587.0,61040.0,59370.0,56404.0,59459.0,61509.0,,
Austria,AUT,"Trademark applications, total",IP.TMK.TOTL,2596.0,2852.0,2849.0,2987.0,2904.0,2873.0,2940.0,2683.0,3088.0,3186.0,2912.0,2923.0,3051.0,3330.0,3116.0,3135.0,3612.0,3340.0,6057.0,6568.0,6590.0,5862.0,6864.0,5770.0,6366.0,14801.0,4271.0,5050.0,5966.0,6253.0,6599.0,6185.0,6195.0,6245.0,6688.0,7365.0,18187.0,18019.0,18582.0,18705.0,20344.0,19362.0,17268.0,16886.0,15878.0,16232.0,15192.0,14596.0,13479.0,11699.0,10297.0,9524.0,,
Azerbaijan,AZE,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088.0,2713.0,2333.0,2628.0,2094.0,2144.0,4703.0,2536.0,2917.0,3522.0,4658.0,5139.0,4775.0,6535.0,4876.0,4842.0,5470.0,,
"Bahamas, The",BHS,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,400.0,496.0,364.0,380.0,306.0,302.0,253.0,330.0,401.0,359.0,436.0,326.0,349.0,,339.0,366.0,413.0,,470.0,,588.0,661.0,593.0,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,205.0,,,,142.0,,,,493.0,915.0,790.0,779.0,807.0,696.0,812.0,866.0,809.0,,,,929.0,854.0,1319.0,1404.0,1560.0,1641.0,2103.0,2046.0,2253.0,2180.0,2998.0,2342.0,2378.0,2558.0,2793.0,3334.0,4851.0,6312.0,6116.0,8891.0,2041.0,7210.0,,
Bangladesh,BGD,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,5415.0,,785.0,817.0,890.0,817.0,1193.0,1141.0,,,1861.0,2044.0,,,,2305.0,2474.0,,,,,,,,4555.0,4760.0,5519.0,4744.0,4840.0,5395.0,5807.0,4624.0,6451.0,8232.0,9221.0,8771.0,10231.0,11645.0,,
Barbados,BRB,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,328.0,,,,301.0,,307.0,347.0,340.0,,,322.0,384.0,,,,,,,,,,,,,,1250.0,,1152.0,1215.0,1103.0,1272.0,1088.0,1305.0,1390.0,1376.0,976.0,1196.0,1371.0,,
Belarus,BLR,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3880.0,6370.0,5742.0,6032.0,6513.0,6424.0,5516.0,5986.0,6778.0,6278.0,7190.0,7824.0,8970.0,10224.0,11225.0,11454.0,10176.0,10695.0,10959.0,,
