Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,7.599999904600001,2.0999999046,0.8000000119,1.1000000238,13.300000190699999,10.5,12.899999618499999,13.899999618499999,12.899999618499999,19.1000003815,21.3999996185,19.3999996185,18.2999992371,11.399999618499999,19.7999992371,19.8999996185,7.5,8.1000003815,8.8000001907,11.5,9.3999996185,8.3999996185,8.3999996185,6.6999998092999995,12.300000190699999,12.899999618499999,13.5,35.4000015259,15.0,7.400000095399999,7.813,,,,,,,,,,108.019487128,109.42111747,116.660723423,
Albania,ALB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0.144,0.088,0.099,0.1,0.105,0.107,0.106,0.153,0.0,0.0,0.0,
Algeria,DZA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,3.0999999045999997,3.7000000476999997,4.1999998093,5.1999998093,6.599999904600001,7.1999998092999995,9.1000003815,9.0,11.199999809300001,12.300000190699999,12.899999618499999,14.199999809300001,15.899999618499999,28.2000007629,14.899999618499999,21.0,7.6999998092999995,13.300000190699999,13.899999618499999,23.1000003815,14.600000381500001,24.2999992371,20.2000007629,21.2999992371,24.2000007629,21.0,16.0,16.7999992371,18.7999992371,15.399999618499999,12.647,18.346,17.89,19.091,21.44,31.624,23.694,16.572,16.985,4.317,15.906,14.826,14.889072025,
American Samoa,ASM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.00953562,0.010562811,
Andorra,ADO,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,14.199999809300001,13.399999618499999,13.600000381500001,16.0,20.8999996185,33.2000007629,20.7999992371,46.2000007629,25.1000003815,33.2000007629,24.7999992371,25.6000003815,26.8999996185,51.5999984741,39.9000015259,41.5,41.5,28.7999992371,55.5,58.2999992371,62.2000007629,41.5,38.0,51.7999992371,60.611,50.818,51.298,56.455,63.692,68.112,80.997,72.888,70.934,64.323,47.908,50.973,63.619117458999995,
Antigua and Barbuda,ATG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.215,0.221,0.194,0.196,0.196,0.188,0.182,0.186,0.193,0.165,0.785,0.737832657,0.647650744,
Arab World,ARB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,199.30000616590002,271.0000023394,355.10000460599997,492.9000113532,556.5999877976,654.7999929489,838.3000017254,885.1000145078999,929.6999979392999,1108.200023301,1143.299975231,1221.70000346,1373.6999977232,1626.6999707819,1638.2999939023,1387.7000086382,1307.7000053522,1569.8000195623001,1748.3000231386,1923.0000172631,1753.5999885575,1562.2000008595999,1970.6000163554002,2225.6999805569,2637.0999706387,2924.4000729621002,2919.9999778868,3156.5000599027003,3255.2000129819,3685.1999729274,4069.469,3977.352,4574.315,5348.805,6842.743,2972.683,3062.396,3535.07,3886.941,14557.538,15763.450506128998,17079.972620197,19497.127804164,
Argentina,ARG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,47.9000015259,57.4000015259,79.6999969482,85.9000015259,98.1999969482,74.5999984741,96.3000030518,119.8000030518,120.5,136.8000030518,195.3999938965,195.5,170.6999969482,174.3000030518,179.8000030518,187.1000061035,192.0,197.5,193.6000061035,201.1999969482,213.6000061035,201.8999938965,206.6999969482,232.0,206.1999969482,177.0,176.6000061035,220.3000030518,251.0,241.0,296.646,124.402,76.419,111.811,123.637,132.558,124.583,132.675,131.685,111.663,236.08987034900002,234.746385,224.21615725599997,
Armenia,ARM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.800000190699999,10.6999998093,10.3999996185,11.300000190699999,8.786,8.262,5.358,5.025,6.966,7.036,7.388,6.148,7.174,5.698,5.9795,4.4857,3.0115,
Aruba,ABW,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,234.6999969482,230.6999969482,220.1999969482,266.6000061035,315.299987793,326.5,354.200012207,376.1000061035,459.8999938965,528.299987793,516.5,556.4000244141,576.0,624.9000244141,734.0999755859,814.799987793,859.299987793,990.799987793,1027.0999755859,1125.3000488281,1222.3000488281,1222.5999755859,1361.5,1525.8000488281,1645.5,1737.5,1833.6999511719,1953.8000488281,1904.4000244141,1693.0,1730.735,1678.089,1544.717,1355.351,1898.071,2444.586,2569.506,2348.084,2212.439,2769.286,2938.314378037,2846.958772258,2731.134051456,
Austria,AUT,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,5.900000095399999,3.0999999045999997,4.6999998093,6.3000001907000005,6.8000001907000005,6.5,8.1000003815,9.1999998093,10.3000001907,11.699999809300001,11.699999809300001,13.5,16.6000003815,17.2000007629,19.5,19.3999996185,19.6000003815,19.5,22.8999996185,41.5999984741,53.9000015259,59.2000007629,100.5999984741,129.6000061035,136.3999938965,173.3000030518,192.1000061035,236.3000030518,265.5,340.799987793,407.769,357.975,396.021,430.701,502.302,537.472,571.977,453.759,420.794,341.511,357.885,383.462,322.180176653,
Azerbaijan,AZE,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8999996185,26.8999996185,24.8999996185,34.4000015259,27.6000003815,33.0,92.5,58.2000007629,47.211,65.995,75.954,67.109,34.361,11.916,15.746,11.897,12.032,7.388,7.8084,9.5921,13.0443,
"Bahamas, The",BHS,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,1.6000000238,1.8999999762,1.8999999762,2.0999999046,3.0,3.0,3.5,0.200000003,0.30000001190000003,0.200000003,0.200000003,0.30000001190000003,0.30000001190000003,0.30000001190000003,0.30000001190000003,0.30000001190000003,0.30000001190000003,0.30000001190000003,0.400000006,0.400000006,0.400000006,0.400000006,0.5,1.1000000238,1.5,1.598,1.764,1.637,1.644,0.59,0.571,0.561,0.568,0.586,0.489,0.073942936,0.092123115,0.12010357099999999,
Bahrain,BHR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,0.8000000119,1.0,1.1000000238,1.1000000238,2.2000000477,4.0,6.8000001907000005,8.1999998093,9.6000003815,14.0,26.2000007629,21.3999996185,21.6000003815,23.7999992371,30.7000007629,32.5999984741,31.3999996185,31.5,33.9000015259,40.0,44.2999992371,51.2000007629,69.8000030518,88.0999984741,122.0999984741,132.8000030518,105.8000030518,96.5999984741,104.5,209.1000061035,208.801,233.928,244.115,341.232,416.514,,,,,564.331,504.494,417.582988558,306.975403125,
Bangladesh,BGD,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,1.2000000477,2.7000000476999997,5.3000001907,9.3000001907,17.0,15.100000381500001,19.0,19.6000003815,19.7999992371,19.8999996185,20.6000003815,53.0999984741,68.8000030518,70.8000030518,83.1999969482,76.5,84.0999984741,69.5,99.4000015259,82.5999984741,47.7000007629,160.6000061035,165.3000030518,135.6999969482,199.8000030518,144.8000030518,143.1000061035,193.867,169.602,171.582,175.496,180.432,183.493,190.831,89.026,84.219,0.013,123.681715594,120.12237098,114.76913886,
Barbados,BRB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,0.200000003,0.8999999762,0.8999999762,0.5,0.30000001190000003,1.2999999523,,0.30000001190000003,2.5999999046,4.3000001907,2.5999999046,0.400000006,0.400000006,0.400000006,0.400000006,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4000000954,2.4000000954,2.4000000954,5.1999998093,2.5999999046,3.5,1.7999999522999999,1.614,1.491,1.272,1.093,1.152,1.157,1.215,1.239,1.225,1.022,1.539,1.549,1.725804869,
Belgium,BEL,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,184.0,202.3999938965,224.5,238.6000061035,286.1000061035,281.200012207,316.700012207,338.8999938965,375.799987793,395.200012207,394.5,441.5,479.1000061035,489.1000061035,525.4000244141,565.0,574.799987793,535.5,650.5,660.700012207,656.4000244141,485.799987793,386.299987793,478.200012207,515.200012207,594.5999755859,590.9000244141,677.5999755859,473.0,535.4000244141,1017.479,852.778,655.425,604.608,712.952,705.13,740.386,755.193,981.682,1427.499,1067.351,1241.293,1367.7939090910002,
Belize,BLZ,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069925233,0.07508273,0.06083485,
