Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,610.0,,,,,672.0,,,,,734.0,,674.0,674.0,674.0,674.0,,447.0,,,440.0,447.0,447.0,447.0,447.0,447.0,423.0,423.0,423.0,423.0,423.0,423.0,,
Algeria,DZA,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,3907.0,3761.0,3761.0,3761.0,3841.0,3841.0,3841.0,3841.0,4135.0,3836.0,4293.0,4047.0,4290.0,3945.0,3945.0,4290.0,3973.0,3973.0,3973.0,3973.0,3793.0,,,,3572.0,3572.0,3572.0,3572.0,3572.0,4723.0,3512.0,3512.0,,
American Samoa,ASM,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,34192.0,34106.0,34029.0,34061.0,34057.0,34159.0,34140.0,34140.0,34059.0,34059.0,34059.0,34059.0,,,,,,,,,,,,,,35753.0,35753.0,35753.0,35753.0,25023.0,25023.0,25023.0,,
Armenia,ARM,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,842.0,711.0,711.0,711.0,711.0,732.0,,,845.0,,826.0,826.0,,
Aruba,ABW,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,7592.0,7554.0,7638.0,7647.0,7450.0,7450.0,7450.0,7315.0,7196.0,7147.0,6612.0,,,,,,,9458.0,,,9499.0,9508.0,9514.0,9474.0,,9528.0,9639.0,9639.0,9661.0,9674.0,8615.0,8615.0,,
Austria,AUT,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,5857.0,5811.0,5777.0,5773.0,5762.0,5766.0,5745.0,5747.0,5630.0,5641.0,5624.0,5623.0,5605.0,5600.0,5636.0,5672.0,5672.0,5672.0,5643.0,5345.0,5780.0,5600.0,5647.0,5655.0,5359.0,5781.0,5818.0,5818.0,5755.0,5784.0,5066.0,5066.0,,
Azerbaijan,AZE,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2117.0,2116.0,2116.0,2116.0,2122.0,,2122.0,2122.0,2122.0,,2099.0,2079.0,2079.0,2079.0,,
"Bahamas, The",BHS,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,2874.0,3105.0,3105.0,2874.0,2892.0,2892.0,2818.0,2745.65,2745.65,2746.0,2745.65,2745.65,2745.65,2706.01,2706.01,2706.1,2706.1,2733.51,2733.51,2768.0,2768.0,2768.0,2765.0,2855.0,2855.0,2855.0,2855.0,2855.0,2835.0,2835.0,2835.0,2835.0,,
Barbados,BRB,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,5512.0,5446.0,5446.0,5443.0,5443.0,5540.0,5459.0,5463.0,5500.0,5500.0,5569.0,5567.0,5567.0,4621.0,5543.0,5543.0,,5542.0,,5523.0,5512.0,5509.0,5512.0,5502.0,5498.0,5498.0,5494.0,5494.0,5491.0,5510.0,5503.0,5503.0,,
Belgium,BEL,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,3978.0,3954.0,3928.0,3860.0,3776.0,3667.0,3618.0,3568.0,3554.0,3513.0,3479.0,3466.0,3432.0,3410.0,3396.0,3368.0,3380.0,3422.0,3410.0,3472.0,3471.0,3454.0,3518.0,3521.0,3536.0,3542.0,3560.0,3374.0,3513.0,3578.0,3578.0,3578.0,,
Belize,BLZ,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758.0,758.0,758.0,,,,,
Bermuda,BMU,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2866.0,2866.0,,,,
Bosnia and Herzegovina,BIH,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032.0,1101.0,1101.0,1032.0,1001.0,1000.0,1024.0,1103.0,1016.0,1016.0,1026.0,1026.0,,
Botswana,BWA,Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888.0,888.0,888.0,888.0,888.0,,
