Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Fixed broadband Internet subscribers,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,200.0,220.0,500.0,500.0,500.0,1000.0,1500.0,,,
Albania,ALB,Fixed broadband Internet subscribers,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,272.0,,10000.0,64000.0,92000.0,105519.0,128177.0,160000.0,
Algeria,DZA,Fixed broadband Internet subscribers,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18000.0,36000.0,135000.0,170000.0,287039.0,485000.0,818000.0,900000.0,1000000.0,1111100.0,
American Samoa,ASM,Fixed broadband Internet subscribers,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,
Andorra,ADO,Fixed broadband Internet subscribers,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148.0,3601.0,6282.0,10341.0,14616.0,18526.0,20672.0,22941.0,24502.0,25763.0,27100.0,
Angola,AGO,Fixed broadband Internet subscribers,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,7458.0,11700.0,15942.0,20000.0,20000.0,25000.0,31300.0,
Antigua and Barbuda,ATG,Fixed broadband Internet subscribers,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,100.0,787.0,1541.0,2266.0,4986.0,6380.0,7119.0,6000.0,5100.0,
Arab World,ARB,Fixed broadband Internet subscribers,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28964.0,158365.0,252990.0,445937.0,991800.0,1745147.0,2961499.0,4293697.0,5610716.0,6541771.0,7550635.0,,
Argentina,ARG,Fixed broadband Internet subscribers,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,94000.0,148000.0,258849.0,542879.0,926722.0,1583713.0,2600000.0,3185284.0,3474052.0,3862354.0,4220528.0,4475415.0,
Armenia,ARM,Fixed broadband Internet subscribers,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,10.0,1000.0,1990.0,,3900.0,11078.0,31289.0,85177.0,154467.0,206384.0,
Aruba,ABW,Fixed broadband Internet subscribers,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1399.0,6963.0,12274.0,13953.0,15996.0,18396.0,18800.0,19217.0,,,
Australia,AUS,Fixed broadband Internet subscribers,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122800.0,258100.0,516800.0,1012000.0,2016000.0,3900000.0,,5150000.0,5092000.0,5375000.0,5412000.0,5743000.0,
Austria,AUT,Fixed broadband Internet subscribers,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50900.0,190500.0,320600.0,451000.0,601000.0,870000.0,1174000.0,1432000.0,1622000.0,1729000.0,1845600.0,1983000.0,2070000.0,2127000.0,
