Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-44.8471388576237,-11.2783819863707,-8.62510737483703,19.8780444151716,9.30919320947601,18.6429449811972,83.2217343306403,49.041882420597105,3.97210077329126,0.0610357448897645,6.835285985073531,9.390586339169632,10.5231850826233,6.1950157990985595,6.175777234475019,3.4385558926327096,10.6741690352376,17.9612121208538,-9.24005635285442,-5.428115432200769,2.29752882675183,-8.230116205298529,
Algeria,DZA,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,,-26.0869540975078,-32.352943395187395,30.4347890733124,-3.3333328583636,0.0,4.76189914649905,10.6060580478023,2.73973360783992,-1.33334001959695,6.7567597244953,11.392403872907801,13.636358839629299,3.00000603621075,31.067964753940803,17.777777624914,5.0314484509980595,2.39519932505661,3.5087789801926403,29.943506737575497,-2.60870063773065,6.9000021309149595,5.5999953462126895,5.299999992655,5.900003327219009,0.0,-5.19999849823533,-5.30000414099734,6.7000047542688606,-8.300001849679889,1.5000019121200099,9.499998633276551,9.30000077587658,-0.40000281474775107,4.00000396638882,4.09999208629183,4.00000503748691,2.00000110084937,2.9999979493982596,2.49999476085394,2.0000044979988,3.6000024454359596,5.49999608202441,4.19999845949349,4.49999933999412,2.10000417961913,4.79999999999995,7.099999999999991,18.1,80.4493338582187,,,,
American Samoa,ASM,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9757982123189,0.0,-0.219835832293469,4.526222859571179,-1.80200756830558,6.4594016202178,7.7405321246344005,0.111983642471642,4.52258678412181,4.29171325078488,3.2136538837424395,5.55671506710628,,,,,,,,,,,,,,,0.444679205872745,0.760544044200699,2.16969561451967,3.21958413731834,3.35687996125802,2.62183863258821,0.577056128992126,-2.06940277266881,-5.0781392624155,1.4608222824253,2.71800080236682,6.1168251194328604,5.246970199484389,,,,,,,
Armenia,ARM,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.799991608163049,-12.899998528741,2.20000346384843,-3.19999673624497,0.299990187640844,-2.32555533671874,-2.34754596300368,-2.2,1.30000000000001,2.8000152798169498,4.26936659471269,2.18750447409847,14.112085931861902,10.9793507015865,19.0455581968791,14.025759995943698,5.21896583309879,-1.8597898350029098,-1.2243244065158898,3.9000000000002197,1.8999999999995902,0.200000000000244,
Aruba,ABW,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,,3.66788164050166,3.8675562692062795,4.08603870142332,3.10875521753604,9.10716503166522,10.0405171628881,5.34306931717106,9.1583866787103,3.20021586616296,7.56506127002388,5.196972888881669,4.28553823402551,3.18620934148719,2.52236776179228,8.88895094740076,8.22743418437352,0.6398180073223609,2.98096280860382,3.30852511117969,2.25751120455928,4.54304420756453,1.50305891121394,2.5434705012493,4.6604143253538,7.008124673350119,4.34419678536541,3.3880274378308397,3.76184322086218,2.9424131119449903,2.64946594534609,3.2012012012012003,2.54975848222081,2.5424029396534,1.08749040144444,3.3710863986313098,4.222414945945419,1.97104726575155,4.023496872897621,4.28106903964884,3.2617434248305806,1.65943721499278,3.13888098728694,2.9574312354806804,4.21702263571642,3.1615786143625497,2.46286535697173,3.72474747474747,3.1856811162958505,4.56152155581091,1.82983648892028,3.09614674381386,3.40796465460625,
