Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,24900001152.0,25599999872.0,25699999872.0,36400004352.0,39300000768.0,49899998208.0,69299998208.0,80900003840.0,65700001792.0,66500001792.0,80399897600.0,86699904000.0,74199996416.0,79399997440.0,97799997440.0,108199997440.0,116900000768.0,137100004352.0,153000005632.0,,,,,,,,,,,,,,,,,,,,,,,,246492461716.28,338813334705.028,386833633482.856,467377388926.59204,520057957592.69,689146048424.402,711698074249.8729,784179543806.308,984779297443.2859,1182468131386.93,1417665634178.66,
Albania,ALB,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,,,,,,,,,15474899968.0,15837099776.0,17288899840.0,17160899840.0,16834300160.0,17236399616.0,17461299968.0,17269598976.0,17490300160.0,19200000000.0,18212999680.0,19745039616.0,94232251904.0,184086886400.0,239746365440.0,274271318016.0,387029999616.0,406815021056.0,509684846592.0,544210065626.767,628351100959.2,694624727727.9,789001914564.443,855075951287.802,933176940913.3491,1037803066368.0,1111502971465.62,1221495521506.57,1377494594892.68,1439884073422.66,1496858872306.2,1605211964073.41,1612127591514.18,
Algeria,DZA,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,17225224192.0,14575954432.0,9982512384.0,14964952320.0,14989100032.0,15984023808.0,14807967232.0,16342189312.0,19218280960.0,21918315008.0,25711524352.0,27242362368.0,31918497792.0,36604847104.0,53427169280.0,67144505344.0,76817293312.0,96666281984.0,119858935808.0,130296877056.0,156000002048.0,184300003328.0,203599994880.0,228700000256.0,272299999232.0,300500013056.0,330400014336.0,337099997184.0,374300016640.0,465100005376.0,564100005888.0,797899980800.0,1033000026112.0,1181799989248.0,1544045363200.0,2046365761536.0,2420535263232.0,2514170609664.0,2828737904640.0,3137007583232.0,3306176315392.0,3606892200000.0,4076153900000.0,4497411000000.0,5263334800000.0,5812762200000.0,6215430200000.0,7276714000000.0,8916446700000.0,10025942200000.0,11149464300000.0,13068334200000.0,14333955100000.0,
American Samoa,ASM,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,182.44641494751,177.967002868652,213.602996826172,212.640785217285,236.971954345703,251.776603698731,779.1199340820309,2694.75012207031,27275.8662109375,561265.5,,724084623.4675679,1763870022.8408802,2947510646.0381,18270081141.3414,67099459479.1436,196238632149.7,480781655870.80396,990842089560.968,1377280144500.56,1664051863515.84,1986143060316.57,3112135186268.73,4618890557100.91,6009131743828.57,6104329271939.15,7660749877028.07,8945693665994.57,
Antigua and Barbuda,ATG,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,,,,,,187390000.0,194930000.0,233280000.0,354750000.0,411159984.0,518900000.0,476420032.0,516550016.0,640930016.0,807649984.0,957729984.0,1020120064.0,1106579968.0,1036310016.0,1114600064.0,1112020032.0,1164780032.0,1329539968.0,1471800064.0,1795400016.0,1660099968.0,1738959968.0,1912530000.0,2146001618.2,2167685239.7,2262998765.0,2437692473.0,2601393525.8,3076439641.5,3811486617.4,4446745750.8,4511150817.2,3790626342.0,3558038424.0,3245393225.0,3231130000.0,
Arab World,ARB,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,0.131508913806032,0.166807186806032,0.223135924882515,0.25347089211206497,0.359472090412065,0.4718600120395429,0.5912399794906371,0.7804699949920179,0.9152899906039241,1.09396994113922,1.18980995938182,1.6746599748730702,2.7686400264501603,4.63896003365517,6.4793100059032405,19.432299852371198,99.0089964866638,277.404998779297,688.1110229492191,1928.64001464844,3894.9999084472706,7507.99981689453,21291.0,105860.0,768510.0,5015200.0,9800600.0,23262900.0,107375000.0,3033857936.0,64973999616.0,178009005056.0,230116003840.0,242191612928.0,265354750000.0,259091000000.0,273916750000.0,299344500000.0,306478500000.0,288423250000.0,286050250000.0,265188000000.0,265653750000.0,333743250000.0,414801750000.0,500665000000.0,618266250000.0,777606178083.805,993255382722.641,1084189797560.03,1394957308061.81,1799803411974.17,2114245008360.96,
Armenia,ARM,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56010000.0,95130000.0,376680016.0,4789379968.0,250242007040.0,722065973248.0,877752041472.0,1109991981056.0,1278652989440.0,1274235846656.0,1311532400000.0,1419053000000.0,1597229900000.0,1915167100000.0,2204965800000.0,2566315200000.0,3078290800000.0,3778043200000.0,4482002700000.0,4006545400000.0,4307505900000.0,4669433400000.0,4964520000000.0,
Aruba,ABW,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2265000000.0,2402000000.0,2521000000.0,2844000000.0,3100000000.0,3228530000.0,3229430000.0,3370110000.0,3629730000.0,3898440000.0,4127920000.0,4564100000.0,4875480000.0,5191360000.0,5430700000.0,5031790000.0,5005290000.0,5350850000.0,,
Australia,AUS,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,16768000000.0,18004000000.0,17512000000.0,19351000000.0,20962000000.0,23628000000.0,24864000000.0,27396000000.0,29794000000.0,33144000000.0,36942000000.0,40425000000.0,44116000000.0,48220000000.0,60357000000.0,71487000000.0,83149000000.0,96694000000.0,105936000000.0,119878000000.0,133825000000.0,155188000000.0,181599000000.0,193150000000.0,216876000000.0,240355000000.0,268246000000.0,290188000000.0,326812000000.0,375012000000.0,412714000000.0,416371000000.0,422504000000.0,446157000000.0,470001000000.0,506207000000.0,532047000000.0,555280000000.0,593990000000.0,635540000000.0,675167000000.0,705555000000.0,754569000000.0,817624000000.0,881882000000.0,944313000000.0,1009657000000.0,1095210000000.0,1199674000000.0,1248153000000.0,1298077000000.0,1382580000000.0,1470858000000.0,
Austria,AUT,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,12458610944.0,13663061504.0,14477112064.0,15732930048.0,17358990080.0,19015679488.0,20882472960.0,22076183552.0,23599460352.0,25415474688.0,28706888942.8547,32125391023.3497,36760300363.1609,41738845958.3679,47849638786.6821,50278061031.3827,56677930000.0,63894156000.0,65616176000.0,72051383000.0,78866372000.0,83158181000.0,87795440000.0,94401615000.0,98660283000.0,103217532000.0,108487071000.0,112670338000.0,118607621000.0,126964764000.0,135867180000.0,146838952000.0,155865449000.0,159416141000.0,169654643000.0,176456596000.0,183362768000.0,185264812000.0,190804630000.0,196927403000.0,204830904000.0,209499990000.0,210031654000.0,217137509000.0,225840416000.0,235472398000.0,245924811000.0,258319985000.0,266468658000.0,263867814000.0,272702103000.0,290288504000.0,297128107000.0,
Azerbaijan,AZE,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279640.0,510600.0,3296600.0,37246000.0,396811268.17778504,2424192200.80952,3443999603.37525,3916345753.0,4535733042.3578205,4299592049.26667,4686806504.04456,5123966694.76667,6503810522.856111,8828760082.75421,10571464684.614,11265314208.0,13544742640.0,17124852269.375,23155400000.0,25445300000.0,28186800000.0,35235600000.0,38838600000.0,
"Bahamas, The",BHS,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,,,,,,595300032.0,706300032.0,1041000064.0,1235099968.0,1354999936.0,1479900032.0,1584599936.0,1933299968.0,2192599936.0,2326299904.0,2564199808.0,,3164190000.0,3222940000.0,3242340000.0,3139080000.0,3074270000.0,3335880000.0,3613040000.0,3962010000.0,7317419000.0,7642234000.0,7189392000.0,7415412000.0,8329571000.0,6695706000.0,6806957000.0,6952643000.0,7924252000.0,8825188000.0,8920146000.0,8901520000.0,8431210000.0,8559527000.0,8963454000.0,9624244000.0,
Bahrain,BHR,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,,,,,,,,,1055399936.0,1158900096.0,1203499904.0,1352000128.0,1429699968.0,1209299968.0,988200000.0,1084499968.0,1143699968.0,1292700032.0,1257200128.0,1920300032.0,2007200000.0,1893799936.0,1942500096.0,1946099968.0,2025600000.0,2158800000.0,2308400128.0,2093599904.0,2246300096.0,2329800000.0,2691800000.0,2997300000.0,3410000000.0,3891600000.0,4418500000.0,5183000000.0,6379400000.0,5627900000.0,7869700000.0,7513600000.0,8357800000.0,
Bangladesh,BGD,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,20378024704.0,23336585728.0,24405747712.0,25960521984.0,26911343616.0,29401975561.438,31642320697.3055,35962500354.6033,37098314800.9725,42091822239.9081,44975569482.0988,43872400530.53,40769651668.2977,66267687729.6976,106300077141.29599,181609401069.909,169605124581.852,157277111398.261,220748098297.219,259859602553.064,315561517824.143,351867000000.0,400559000000.0,446420000000.0,537180000000.0,605116000000.0,676149000000.0,778236000000.0,856497000000.0,957533000000.0,1077617229254.67,1166679801815.63,1252334186811.94,1317470810965.5,1419971271688.07,1624013097932.37,1789794101770.62,1915880729847.09,2100829638327.47,2317037000000.0,2495261000000.0,2690598000000.0,2862356000000.0,3180783000000.0,3507824000000.0,3946712000000.0,4417982000000.0,5051994000000.0,5917363000000.0,6585980000000.0,7402196000000.0,8660938000000.0,10003180000000.0,
Barbados,BRB,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,182700000.0,181800000.0,185900000.0,197800000.0,201200000.0,216500000.0,236700000.0,261100000.0,306700000.0,359300000.0,432400000.0,453900000.0,507900000.0,622600032.0,748100032.0,893900000.0,1040199968.0,1108000032.0,1226299968.0,1492899968.0,1763699968.0,2081500032.0,2042499968.0,2088600064.0,2193499904.0,2224800000.0,2584800128.0,2898200192.0,3084600064.0,3428299904.0,4079300000.0,4071600000.0,3637800000.0,3929300000.0,4020100000.0,4468100000.0,4729000000.0,5266500000.0,5966000000.0,6344200000.0,6490300000.0,6494600000.0,6678900000.0,6810400000.0,7616900000.0,8393100000.0,9014400000.0,9371000000.0,9769400000.0,9465900000.0,9238600000.0,9992100000.0,9450900000.0,
Belarus,BLR,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4230000.0,8410000.0,91110000.0,1140310000.0,20076900000.0,126730000000.0,199656500000.0,388093300000.0,736254400000.0,3099549000000.0,9424942000000.0,17782800000000.0,27117709000000.0,37964900000000.0,53173200000000.0,64604300000000.0,82574400000000.0,103255400000000.0,139815800000000.0,152905600000000.0,186862900000000.0,302933200000000.0,503490700000000.0,
Belgium,BEL,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,14551760896.0,15491324416.0,16442202112.0,17844067328.0,19847666176.0,21536424960.0,23281051648.0,24675618816.0,26373087232.0,29062688768.0,31985614175.5537,35132431326.8179,38845037673.5475,44712235779.7472,53273628673.6381,59073380071.8856,67159815484.5434,73389468963.3287,78915083238.4043,85272645909.579,93821754944.4225,97629583071.8997,105241694311.342,108986807570.96199,117514596679.83699,124373334533.378,128420956677.237,134217322117.69801,142708470321.951,155113087515.392,165265770517.37302,172914740484.816,180190738976.79398,184200930915.72,193239499656.888,199751000000.0,205025000000.0,213152000000.0,221246000000.0,228934000000.0,245150000000.0,250340000000.0,253197000000.0,261232000000.0,276974000000.0,291500000000.0,306677000000.0,322910000000.0,343412000000.0,331448000000.0,348236000000.0,366196000000.0,371734000000.0,
Belize,BLZ,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,,,,,,,,,440900000.0,470500000.0,439500000.0,438200000.0,454300000.0,471900000.0,467600000.0,564900032.0,666500000.0,794500032.0,808299968.0,983541452.929792,1069452254.6783699,1158637832.23109,1191798461.87812,1254326726.21344,1285909310.89131,1346711197.60161,1437635293.13323,1645427885.6461,2008000000.0,2061581510.79353,2118452806.3621101,2233200000.0,2284000000.0,2407400000.0,2447600000.0,2584300000.0,2938500000.0,2800000000.0,2775100000.0,3039000000.0,,
Benin,BEN,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,58782212352.0,60661772800.0,61661378304.0,67072143616.0,70810865920.0,76471836160.0,81380315136.0,84450779648.0,88656214528.0,94283264000.0,100777742336.0,101534168064.0,116254704640.0,123985952768.0,153771716608.0,172456579072.0,196986488832.0,218550050816.0,247369285632.0,301556379648.0,360751304704.0,449172131840.0,509565386752.0,491753267200.0,511442288640.0,530855149568.0,536452440064.0,543203778560.0,570801250304.0,533444575232.0,572891745109.527,612726619087.684,655418049842.224,711394554982.203,955990293398.023,1181107108728.67,1250352677362.06,1381653435267.98,1526711342467.85,1625368975980.64,1751899852986.16,1988566829361.62,2127895892195.69,2275945456400.11,2324032304579.32,2458952271796.53,2688136858888.05,2871730541721.55,3199853672894.5,3399208248034.48,3558099266846.66,3854571707911.6,,
Bermuda,BMU,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,,,,,,,,,1322744858.7506402,1681021629.18548,1887928780.7203698,2236237974.91459,2542000254.42076,2900330484.76742,3422797863.84597,3758474639.4182296,4782763235.575211,4922936679.76344,5449915181.25095,6138912425.24467,8055359773.084841,8070819369.09746,9335825100.040459,10305723768.8453,12352071075.411,14645061002.1339,18091066852.8045,21577842012.3261,24571145273.3349,26595671266.2313,31253943973.258,34180916834.0483,40287480352.829,45023217714.4774,42608936953.7644,50599152024.0182,60799179204.1204,71313116525.5762,85957177859.5224,101088389690.71901,,
Bolivia,BOL,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,12055.0,13406.0,17206.0,25426.0,38456.0,51139.0,55877.0,66436.0,80852.0,93116.0,108764.733940163,144011.074800259,359641.76922188204,1202319.34053812,19765801.282962803,2455905000.0,7943331000.0,9324090000.0,11277848000.0,12777464000.0,15620626000.0,20181769000.0,23999523000.0,26735021000.0,29165800000.0,33729215000.0,39298073000.0,45078843000.0,52854818000.0,53167527000.0,56627129000.0,56632352000.0,60129380000.0,62378865000.0,66275346000.0,74363149000.0,83485374000.0,95253207000.0,112310265000.0,118296271000.0,128412774000.0,156650830000.0,169250780000.0,
Bosnia and Herzegovina,BIH,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3477820004.24862,4040730013.8219204,6719000136.27147,9230269049.64888,12391868844.4901,14326807549.7465,17160913885.2401,18537625640.6211,20259453447.7224,22175493362.6891,22929675976.6125,24025641201.3109,24998702697.4336,29815420446.6152,33843431646.2628,29517249338.3026,29872129909.1356,31831000000.0,31805000000.0,
Botswana,BWA,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,24593122.0,27115344.0,29724338.0,32246560.0,35749736.0,39000000.0,44900000.0,53049500.0,66450000.0,72100000.0,93950000.0,116600000.0,156550000.0,208650000.0,257550000.0,315700000.0,375050000.0,450250000.0,569450000.0,742550000.0,934900000.0,1094600000.0,1198800000.0,1292050000.0,1565150000.0,1801550000.0,2114400000.0,2418950000.0,3549850000.0,5400300000.0,6681150000.0,7452600000.0,8169850000.0,9275555005.9363,10581100000.0,12186000000.0,13423500000.0,15916400000.0,20904500000.0,22453600000.0,26064300000.0,28926600000.0,30121200000.0,32786839282.6176,38577000246.4695,41950772035.2533,48364600953.1131,58007616128.2211,73721946490.6918,80823012452.4296,100301958261.83199,110616206953.214,116601079011.385,
