Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Exports of goods and services (constant 2005 US$),NE.EXP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1719073111.64116,,,,,,,,
Albania,ALB,Exports of goods and services (constant 2005 US$),NE.EXP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131671759.316496,204881204.15519598,349937013.78415,314934892.439214,384042370.092323,443025544.248921,294994895.87916404,396334187.980439,818800681.564604,1000949818.9064599,1232927521.48926,1312107520.95622,1477936735.75399,1740097039.79509,1865700000.0,1963251415.2617302,2115887161.4642699,2266000734.65688,2398543513.03147,2515620155.16148,2682590853.76062,2829398905.42685,
Algeria,DZA,Exports of goods and services (constant 2005 US$),NE.EXP.GNFS.KD,22393385759.0737,22393385759.0737,7721857282.57057,12741063615.2891,13127157019.989,13127157019.989,14253347473.2193,14675669253.5616,16646503267.4764,18159820697.957,18863690812.3687,13971800580.6736,19356397874.3237,20412201604.4175,19180431066.4826,19286011151.1872,19954686462.507,19849106377.8024,21045683554.169,22559002426.1734,19637946208.3931,19696859843.7634,21705938925.089,23051708046.6045,24365655530.6735,24999161986.3293,24924165270.1441,26419613571.8461,26525291680.1677,28647315591.1907,29621324378.9521,29354734737.1491,30499566975.9041,29920077299.3375,28902793967.6964,30723669145.8114,33027944908.3567,35108706642.6971,35705552265.5765,37847887246.6615,40080911371.8024,38998727756.5321,41143657480.4214,44106000380.7885,45914345834.2065,48715121628.1817,47545958709.1053,47260682956.8507,48016853884.1603,46557906098.2812,,,,
American Samoa,ASM,Exports of goods and services (constant 2005 US$),NE.EXP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Exports of goods and services (constant 2005 US$),NE.EXP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Exports of goods and services (constant 2005 US$),NE.EXP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942625112.5957849,1704925505.13568,4262506283.5408,8310912659.548141,13204303257.7135,24285932875.9156,30764045406.9682,40642890950.4777,56595680783.6777,37828293199.9648,54275783286.037,72910442181.5474,75139400048.2258,
Antigua and Barbuda,ATG,Exports of goods and services (constant 2005 US$),NE.EXP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545269375.555381,,,,,,,,
Arab World,ARB,Exports of goods and services (constant 2005 US$),NE.EXP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623758119895.599,,,,,,,,
Argentina,ARG,Exports of goods and services (constant 2005 US$),NE.EXP.GNFS.KD,3884343156.61112,3471103752.79853,5041377740.8773,5041377740.8773,4628153072.2257,5041377740.8773,5867832535.64753,5867832535.64753,5454610595.72945,6611646544.36239,6690993203.31605,6026514392.87409,6148827689.78624,7008347094.32851,7024868484.28047,6371966052.910971,8380260438.23685,10669560892.6355,11619927476.4121,11248031659.8621,10669560892.6355,11224794856.7249,11667787279.3133,11969120230.1008,11658940725.2512,13472375158.6356,12088716254.1767,11667787279.3133,13851946356.8222,14881190803.1343,17561531868.4381,16925076605.4689,16750800036.1928,17418017676.4657,20082202575.7443,24606350225.7888,26487947356.516,29713501460.1996,32870083548.1927,32455829092.8532,33332912618.8448,34246564652.8369,35305795555.9012,37422508033.7424,40459029452.2376,45922786375.0073,49289561044.1669,,,,,,,
Armenia,ARM,Exports of goods and services (constant 2005 US$),NE.EXP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3061343970.07412,3627692380.2706103,1494609338.54471,747304669.272353,866126119.798451,417472766.075504,447530824.70124406,418441314.17678,411746253.149952,468155489.831496,556636877.4096509,706870385.616367,960050526.2839,1239127744.48131,1217690419.09149,1411777622.40818,1308167100.00218,1262272806.66564,1097168583.24319,982670601.6796,1243078311.1247,1425810822.8600302,1578372580.90605,
Aruba,ABW,Exports of goods and services (constant 2005 US$),NE.EXP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1597854748.60335,,,,,,,,
Australia,AUS,Exports of goods and services (constant 2005 US$),NE.EXP.GNFS.KD,10198920058.3012,10707740352.6006,12158153364.5709,11887482981.861,13847716918.0113,13811694242.3087,14012320533.3746,15548787715.079,16295257606.0275,17357926539.2545,20208220754.2234,22162951226.0303,23822495883.0519,24302297910.813,22833373246.051,25067279454.5531,26046395792.7477,27907567370.7158,28535962935.7502,30560737499.201,32720597096.5366,31132097161.0396,31867059808.3609,32032664053.6049,34477202851.9791,39800053501.9799,41306001472.3251,45447108233.3043,49287525715.1546,49803350418.6184,52129814891.0786,58002011345.5442,63486964036.2067,68190925105.0391,74641485630.5077,77932056992.953,85696444551.6862,95025316928.7813,99465612024.0682,101374313521.366,111249529813.284,120356262356.88,119534745224.884,119750881279.1,121169274134.89,125398436325.365,128730033512.916,133862764485.59698,138855407274.991,140886685932.666,148371897754.704,148754638684.044,155680998717.751,
