Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22874693546.4469,37851570458.5715,47468729725.9286,67171097403.0357,82285774359.6322,97418365045.095,97968713474.3387,110052191683.828,130424367010.268,141792000000.0,178448000000.0,
Albania,ALB,Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,,,,,,,,,,,,,,,,,,,,,5269000192.0,4986999808.0,5507999744.0,5922999808.0,6111000064.0,5445000192.0,5384999936.0,5587999744.0,5362999808.0,5854000128.0,4927105024.0,1203850000.0,2768059904.0,16544879616.0,33632489472.0,47196449341.44,64549990236.16,54222121013.2931,67192021134.0415,90371926042.7667,131324459216.014,161894559264.34802,152974868925.854,159988144109.346,182700000000.0,197403066368.0,224400000000.0,288049073195.12103,349522313019.962,332724479881.01196,317884041100.708,333599700530.477,338419929362.116,
Algeria,DZA,Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,,,,,,,,,,6200000000.0,8200000000.0,8300000256.0,9799999488.0,12400000000.0,16999999488.0,24000000000.0,31399999488.0,38400000000.0,50800001024.0,50400002048.0,54899998720.0,62999998464.0,71499997184.0,80299999232.0,89600000000.0,94500003840.0,103199997952.0,96099999744.0,91700002816.0,114800001024.0,149900001280.0,218399997952.0,283800010752.0,314899988480.0,423599996928.0,580000022528.0,639400017920.0,638099980288.0,728799969280.0,789800026112.0,852600029184.0,965462500000.0,1111309300000.0,1265164500000.0,1476902600000.0,1691640300000.0,1969457900000.0,2462124400000.0,3228343200000.0,3811419100000.0,4350922300000.0,4620114900000.0,4978102400000.0,
American Samoa,ASM,Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,,,,,,,,,,,,,,,,,,,,,,,,,,35.152999877929695,29.5520000457764,33.4000015258789,28.2999992370605,31.350999832153303,34.1660003662109,104.22200012207001,95.6336517333984,7122.64697265625,189302.40625,,290935597.853355,447753609.269601,902849103.963088,4962345855.6081705,11692036183.9297,26513213529.9255,62774353519.7343,132335094280.431,151091901068.03198,216316062458.568,516179305046.683,626517990545.829,1024855280740.42,912549437107.907,960193129977.918,1115956346129.67,1275419541494.72,
Antigua and Barbuda,ATG,Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,,,,,,,,,,,,,,,,,,36870000.0,39000000.0,60500000.0,103400000.0,140920000.0,146900000.0,84600000.0,110610000.0,151550000.0,236990000.0,354270016.0,364310016.0,415849984.0,342980000.0,416740000.0,398070016.0,390550016.0,437529984.0,453400000.0,516000000.0,614610000.0,720640000.0,793840000.0,625160000.0,443890000.0,499650000.0,561360000.0,620910000.0,792340000.0,1261660000.0,1363100000.0,1423170000.0,1335130000.0,1130490000.0,921770000.0,974860000.0,
Arab World,ARB,Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,0.0308766737580299,0.0463155098259449,0.0463155098259449,0.0463155098259449,0.0617533512413502,0.092629998922348,0.123510003089905,0.169819995760918,0.200699999928474,0.262450009584427,0.29333001375198403,0.401399999856949,0.663860023021697,0.9880599975585941,1.45122003555298,5.71224021911621,31.448200225830103,87.84500122070308,197.149002075195,462.07400512695295,970.0,1696.0,4754.0,22870.0,157900.0,933100.0,1743400.0,4562600.0,20702000.0,503303008.0,9646999552.0,26478000128.0,37853999104.0,45069414400.0,51330750000.0,46285250000.0,49210500000.0,56727250000.0,59595250000.0,51073750000.0,46020250000.0,38099000000.0,37386500000.0,56903500000.0,85800500000.0,114132500000.0,152837500000.0,196622031617.95602,240485752021.39102,239637018349.494,317416607190.451,415836344248.29297,471364108141.613,
Armenia,ARM,Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22310000.0,22690000.0,52940000.0,525420000.0,37854998528.0,84365000704.0,118254002176.0,130335997952.0,154925006848.0,162134097920.0,190129800000.0,208025000000.0,287369100000.0,373614900000.0,455305000000.0,668268000000.0,943780200000.0,1163202800000.0,1418785200000.0,1143829300000.0,1156731500000.0,985877200000.0,945815500000.0,
Aruba,ABW,Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669000000.0,648000000.0,774000000.0,852000000.0,899120000.0,806410000.0,767610000.0,881750000.0,980010000.0,1073340000.0,1338580000.0,1462030000.0,1447260000.0,1555070000.0,1265270000.0,1238000000.0,,,,
Australia,AUS,Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,4981000000.0,5262000000.0,5237000000.0,5620000000.0,6316000000.0,7145000000.0,7804000000.0,8471000000.0,9420000000.0,10204000000.0,11538000000.0,12292000000.0,13313000000.0,14386000000.0,17057000000.0,18306000000.0,21711000000.0,24648000000.0,27452000000.0,31387000000.0,35167000000.0,42860000000.0,50453000000.0,49856000000.0,55074000000.0,63053000000.0,72712000000.0,78866000000.0,89323000000.0,105006000000.0,111209000000.0,101273000000.0,95873000000.0,103469000000.0,110951000000.0,124106000000.0,127072000000.0,133357000000.0,146966000000.0,156197000000.0,170284000000.0,163063000000.0,181603000000.0,206217000000.0,226462000000.0,247658000000.0,277490000000.0,299101000000.0,336359000000.0,353116000000.0,357399000000.0,372435000000.0,410725000000.0,
