Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Gross capital formation (current US$),NE.GDI.TOTL.CD,86666712.1777778,91111156.6222222,104444507.022222,106666723.555556,111111156.62222199,113333339.022222,117777772.08888899,86666666.6666667,88888888.88888891,91111111.11111109,95555561.24444441,99999994.3111111,104444450.133333,126666660.977778,188888883.2,231111111.111111,348888883.2,366666660.97777796,457777789.15555596,,,,,,,,,,,,,,,,,,,,,,,,509220157.48073894,772146170.458148,993260138.2956,1353421549.90208,1648388989.41372,1955475190.80369,1922920457.5533302,2234196062.09857,2847709361.41283,2958983009.58211,3447992915.22422,
Albania,ALB,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,611538474.435511,643706277.052552,671875008.0,612875008.0,614499968.0,740750016.0,615888128.0,83600695.5479953,36891478.4788786,162105372.84507,355435462.45820296,509144780.105066,511035670.388017,368832300.149966,444509269.211706,654394830.143133,911924748.7362789,1126928576.2519,1089519326.18555,1324661033.66554,1779477321.1974,1976551563.9206,2287382496.42724,3185400665.56485,4166207311.7496,3503169788.05473,3058446400.96058,3306406167.05755,3128169719.60998,
Algeria,DZA,Gross capital formation (current US$),NE.GDI.TOTL.CD,1148955016.80936,1148955016.80936,708929703.358641,782267264.242619,635592142.474663,708923951.818493,526629221.35087997,789943832.026321,1073513360.90099,1377337963.5330698,1782422903.79162,1791312121.39537,2319461205.26926,3510810413.24975,5286069884.63464,7064364364.83982,7685287915.7309,9838912328.21677,13767366866.2265,14143721615.7425,16547231192.6861,16404837077.6082,16854666999.3695,18334447203.1178,18882690364.8711,20028639662.3593,21373882104.4681,18391753150.0978,16331912445.9327,16730187717.9245,17738333486.9406,14556380347.2721,14764608322.1555,14529877643.7299,12796866915.9081,12908666131.0143,12053830985.235,10814472185.0598,13082251414.3022,13859878143.8329,13710821133.2252,14694061436.3953,17398940962.8939,20590336186.0636,28382116112.6348,32668989411.2218,35307481216.5695,46526170532.2288,63865887307.8055,64320032485.8563,66788657988.6578,75474224757.0022,77135819137.5901,
American Samoa,ASM,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,1222326156.28982,1029545483.1046901,1183155131.2125301,942513394.4832721,1132954505.6756198,1201804818.95406,1578782333.92433,209080605.60922801,591633099.6828519,673688438.013391,,2620861267.40437,1954913754.62855,2298358076.18898,1778168520.5273302,1164482321.85918,1201984758.56758,1442087192.4737198,1773779061.58437,1808587944.30163,2481851683.2789803,6422691148.92873,8167768161.53787,13658662765.7212,11503473172.9828,10447588315.7816,11880122597.1823,13359661216.9303,
Antigua and Barbuda,ATG,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,13655555.3143898,14444444.1893464,22407407.0116783,38296295.619959295,52192591.6708382,54407406.446538,31333332.7799667,40966665.943169296,56129628.6383446,87774072.523928,131211114.719765,134929633.172612,154018509.87252802,127029627.386205,154348145.422262,147433336.655493,144648151.519496,162048139.360349,167925922.960247,191111107.73596698,227633329.313184,266903698.99001402,294014809.62232596,231540736.65158397,164403700.80023,185055552.287357,207911107.439269,229966662.60530898,293459254.07658195,467281473.22899294,504851842.935847,527100000.0,494492592.59259295,418700000.0,341396296.666667,361059260.0,
Arab World,ARB,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,6652081047.88784,7587555033.55938,8104903920.16023,9286490117.289759,11052006897.8019,7465235568.284329,38840257720.53,39270022654.4032,60763278441.3978,72240180229.0879,86931623300.049,91811513513.2783,112474531987.878,116682775301.544,121765445752.1,129364148945.291,122778675693.04199,100350423873.304,93552007576.7646,88943253880.2835,86374407365.8217,89885024793.6764,94469376056.8858,97197790287.5038,108942511538.14801,113703689314.217,107210148249.006,111947444588.9,115671238130.774,119152486474.724,136064136148.40302,134821647628.056,139856040067.729,142646256249.59802,152397324663.038,176126581581.82397,208829790199.51602,251227375849.00302,307770159970.414,422889534247.576,548857431017.61896,516305176293.961,572611365784.518,622629332929.813,,
Argentina,ARG,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,5313345055.24555,3338843014.4699397,5498448875.71853,6357058745.942221,5881428620.60779,5146060701.05241,5734285806.20805,7498571825.28894,7719211095.24792,8027999889.953691,8298250320.929391,10978444355.3823,16124666970.7317,15438486959.4255,15724100557.623,17569000350.9157,16147130586.8264,17906415044.0795,19438878223.106,17852632104.7179,18341049876.2973,21718898273.9138,15790000398.889,15551667059.5348,19371110817.4477,21726666839.1419,23524999816.2601,11889983497.8928,19785065005.7631,27769272032.2611,38211660837.6054,45116786819.6323,51330750000.0,46285250000.0,49210500000.0,56727250000.0,59595250000.0,51073750000.0,46020250000.0,38099000000.0,12204649002.5887,19617837982.8765,29350562440.6207,39305884060.6056,49992968555.3994,63108504402.9638,76047334081.4669,64258770087.6836,81130221070.6921,100694428448.27301,103562365844.58199,
Armenia,ARM,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064047261.41705,822842147.626111,20759024.881534602,118596073.719893,308406511.02781004,270529982.838633,319493276.14229304,312578463.229051,362388489.133796,338688753.67038596,356383936.36630803,418566100.962058,514882706.89805496,680934913.696287,889803168.0569869,1492982804.95532,2292411787.32814,3478367925.63143,4766399973.85365,2998242127.28474,3043788738.42531,2766914279.57798,2363971449.96588,
Aruba,ABW,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411173184.357542,392737430.167598,463687150.837989,527932960.893855,531960893.854749,477620111.73184407,477620111.73184407,455134078.21229005,522435754.189944,590374301.6759781,641530726.256983,782592178.77095,852547486.03352,850061452.513966,912698324.0223461,757000000.0,693955307.26257,723212290.502793,,
Australia,AUS,Gross capital formation (current US$),NE.GDI.TOTL.CD,5821480568.93269,6454250195.99059,5593011535.4463,6566244820.24863,7225893157.128459,8634785530.29455,8834135961.47385,9939522902.90066,10714525702.7663,12253331840.0717,13543509911.5242,14423787658.1924,15737149532.7103,17996156310.0577,26996315401.6212,25930629523.4194,27594856926.7616,29573296627.6669,30367696819.3097,37231625582.1879,40128133704.7354,50279809590.1544,57412556548.6042,44386523163.3131,51030610396.6673,49558180563.013,51066032456.6312,51075966119.64,65817083818.3935,87946421301.197,89452866487.1104,78353347460.9528,71924940398.3696,72962338392.3553,77885160843.9986,95034155034.155,98479514415.7815,106209109406.79301,100117343824.188,100711242010.277,107968347673.17699,87574863153.3755,95324403516.1155,119838672102.504,164546877222.934,189754924071.568,206708595387.841,237007144539.53,304733184366.711,256870927350.332,311228339814.221,372885360556.27,428423656437.493,
Austria,AUT,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,4474565774.97012,5196879088.76375,6619449411.97143,8924780421.86914,10732777142.6977,10202492657.524,11486423256.8843,14357008575.4725,15436697621.5294,20346400411.7344,22147540948.7343,17936744427.1643,16429319996.7734,15584268423.4717,15157657657.6577,15908850758.1804,22042294727.3547,28012981062.2551,32015924439.9866,33041219968.7988,41663185283.7952,43837349440.1886,47934881041.8232,45072645214.7167,49782758703.7706,60495213593.5581,58493066025.4744,52060558123.802,53050609159.6265,52812393991.0505,47113575640.3169,45864604921.7002,45950103519.6687,58717449209.9323,66340168743.3648,69263873551.2113,72548270632.1717,86756165159.7645,94419206796.792,80708578120.5068,78987535526.3158,95646758333.3333,89508684751.8642,
Azerbaijan,AZE,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2351661629.72604,271799931.118292,-34503806.4034597,865571727.974576,507465235.396641,725851542.246693,921204371.076494,1356637390.2133,1483665630.50129,1213834391.8126302,1090060885.8155599,1180071225.32615,2156179040.40555,3868490175.45051,5033868578.822229,5501464426.95899,6265166939.13166,7113882010.19665,9132302823.75852,8392634983.82682,9554600386.22064,13367205195.03,14622294712.0718,
"Bahamas, The",BHS,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,89200000.0,94400000.0,146200000.0,244200000.0,268800000.0,338800000.0,352300000.0,333700000.0,444900000.0,455500000.0,510100000.0,,964520000.0,931270000.0,913340000.0,866210000.0,721660000.0,842800000.0,948290000.0,1100520000.0,1362730000.0,1583650000.0,1588270000.0,1765400000.0,1621780000.0,1525420000.0,1538100000.0,1503220000.0,1948090000.0,2416190000.0,2343880000.0,2289700000.0,2091530000.0,2100240000.0,2341300000.0,2699800000.0,
Bahrain,BHR,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,1417352384.65046,1443085666.43392,1322606428.26605,1638031715.66226,1663031886.73105,1301861746.70466,812765985.276701,863563859.356495,747872366.033404,951861734.720325,694946832.306289,1320212811.1628098,1397606430.83412,951861734.720325,1093085143.81127,854521305.8553799,878989391.799574,1107712803.8866,1324769263.98434,523418171.355386,820500537.922442,966781022.803267,1713609389.2493699,2038086101.16683,2794223225.74171,3286523548.49518,3867656054.68231,4986568791.72318,7513377801.891509,5258034659.94319,7016298045.72389,4750316492.72865,,
Bangladesh,BGD,Gross capital formation (current US$),NE.GDI.TOTL.CD,294722548.288778,372370598.536655,609282215.7893,524266059.16753894,644988987.703774,677861860.87508,580660079.243261,776763928.6268541,1059300814.87656,1059584256.3524599,1020193436.0996199,720086515.510208,295402703.41162205,704516101.8614191,922776099.911923,1195666121.99918,1002743732.0065699,1112122953.68966,1533618894.31643,1743936508.4848,2619023883.67145,3473990208.07834,3216616766.46707,2916540404.0404,3118960000.0,3526884615.38462,3522266666.6666703,3759741935.4838705,4182467846.44327,4639875609.96537,5200668451.80577,5230560224.08964,5415407648.62516,5754435876.21218,6229832535.18612,7254002362.862091,8130446697.22352,8769668145.11667,9538112161.15185,10140910981.6972,10850029815.1461,10848091178.6509,11011527076.4409,12150552677.0294,13587650755.9028,14784406504.065,15259008338.2966,16738430350.4199,19258446290.6282,21778968023.2558,24500912741.5928,28138525051.6328,30882732424.4831,
Barbados,BRB,Gross capital formation (current US$),NE.GDI.TOTL.CD,21116613.5930499,19949949.8586273,18083287.883551,21408279.526655603,21174946.779771104,20241615.7928228,25549935.7846006,28134168.655659996,32550000.0,37100000.0,47400000.0,47090991.7761346,51943994.803509995,63240097.204976596,77683615.573847,77322900.3386555,117726324.96746399,118895758.20924199,126485352.259197,157758656.728944,210958077.687018,261025196.289617,223984477.958995,209466505.136792,185949377.92822298,184855558.058057,210659763.176973,232038969.73021802,270123772.93589103,326306370.814633,278526314.212274,252075760.988259,84900000.0,134539844.03042,193804993.359415,208472123.43664098,201312575.19555402,292895129.779454,437378790.81138396,487793943.00903493,527450000.0,453700000.0,566600000.0,614750000.0,658350000.0,698250000.0,766150000.0,834700000.0,870200000.0,690950000.0,603150000.0,647900000.0,602100000.0,
Belarus,BLR,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4605150023.99932,5174268224.10563,5411561894.12976,6679889797.98217,4917917443.06807,3458255486.63858,3470669230.76923,3791615313.51102,4066107353.45127,2877642953.12782,3234992536.83744,2935611510.79137,3236694944.54517,4448217714.77294,6634068708.459821,8597932974.90041,11895874661.2439,15435351897.413,22872378277.1536,18365513532.8912,22768666212.3008,21538779315.1032,21806964128.4762,
Belgium,BEL,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,7426112008.07522,7984957645.61604,9266168197.47319,12352412216.031,15915262695.5745,16400444912.0558,17986721789.7565,20687467157.093,25081979482.0064,28309248558.4564,31578724928.8807,22165999022.5924,18650767472.6812,15334744584.4854,15488012948.7803,15350108007.0462,20892232983.6975,27503322006.8466,33266909946.3254,36224406073.1428,46872401401.1649,45081977916.7638,49734270209.5031,46211287301.9469,50543129113.1493,58847837985.769,56657980456.0261,52415426251.6915,54203156256.946,54503515874.707,52528100239.543,49178523489.9329,48433088650.48,60340857787.8104,75576912331.6757,82761279411.0332,89792144677.0396,105609070428.858,121790017211.70401,93730160604.4651,96800000000.0,112848611111.111,101630239136.025,
Belize,BLZ,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,46950000.0,50250000.0,37200000.0,38200000.0,49650000.0,45200000.0,46400000.0,60650000.0,79900000.0,110000000.0,105950000.0,131500000.0,138000000.0,159450000.0,119378888.129904,134615804.247052,130535912.951816,131979707.262145,131387406.68281399,180153163.34364098,238500000.0,219200000.0,210750000.0,187400000.0,186600000.0,206300000.0,225350000.0,242650000.0,326050000.0,255850000.0,2135000000.0,227200000.0,,
Benin,BEN,Gross capital formation (current US$),NE.GDI.TOTL.CD,25842780.8217314,25835931.8214248,26266058.600226898,29498347.0428277,26264629.3071057,25446733.385560896,26591671.1435404,36211245.111423,40381362.6583387,41883272.166067295,38675392.714380704,34464417.454517305,54835259.1147895,65952057.6756278,101119770.575547,130650091.31704,116300241.241355,133140843.254601,149209511.35543898,225646995.943654,212987950.488976,202405713.24298,349962910.22296,189730903.552179,134338267.10056102,93486448.832776,179898717.661326,201972098.738898,253296807.06182402,177528296.37006798,275578111.160553,287597352.161917,230920725.00707597,365251641.239528,284492910.877598,464729080.815944,414403513.810202,420653283.43381,445725934.119645,456434649.278026,440343471.96029407,491718088.526842,518026212.662307,722285560.195986,837432621.3848621,791266419.6260769,967110589.5965779,1137177183.27476,1374801909.12645,1397245273.54082,1380103145.04989,1287101264.8584301,,
Bermuda,BMU,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,40580394.3110346,46984316.6885003,52394739.408218,63775300.399692796,63391879.5596641,74988299.4019661,83892531.2199818,93300294.0741072,109080459.770115,89488601.3555145,91096516.2764135,77528583.99296391,114320987.654321,102236798.950476,138903410.902136,137517730.496454,133793395.427604,119815477.829799,131078526.41783799,162661402.69391498,211663056.97881898,287493426.517281,321541722.38663197,360668241.369721,435026079.98687595,408715777.65285,414100000.704379,441340456.199787,500751547.595599,521132679.54018605,828194558.633217,1028754877.43556,,
Bolivia,BOL,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,166666666.66666698,184427609.427609,253253102.670177,257871064.46776602,306246876.561719,553623188.405797,524137931.034483,618290854.572714,928085957.021489,921027480.848686,754929378.951603,945664622.454172,874025542.8173059,717863638.7250661,1213636068.93952,1046651470.69852,536849362.109513,587323648.928146,642782439.2402481,546466890.566486,610002363.9544231,832360687.145486,942770194.743265,949883237.829068,859572732.073446,1023659990.75066,1201059391.7562099,1555977625.77413,2005963198.6904101,1555259522.29798,1523663629.57141,1161666555.67193,1288172942.81729,1069468623.8848301,966983744.959677,1361106248.4502802,1587836204.51136,1992505478.90284,2926792536.72343,2942815384.6153803,3341832256.53206,4684812985.51059,4776892329.95658,
Bosnia and Herzegovina,BIH,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373000006.663346,1148238030.02578,1542162945.85893,1564345838.94682,1312004328.01743,1131550179.90878,1096760235.5437,1234459104.42733,1577287035.19908,1944430713.6507897,2367984904.94055,2927236226.0278397,4733227431.770471,5220459737.86699,3580396334.9669704,3233258187.1633897,3747260575.7159,3867015931.37255,
Botswana,BWA,Gross capital formation (current US$),NE.GDI.TOTL.CD,1829471.18557848,2434606.89572907,3136479.70912202,3735762.08983121,5111724.36775764,6072582.85105529,11227595.5689179,14922258.8150422,20362674.402409602,29593745.744592894,43620058.9826792,64036509.288840294,84186810.6941063,124259102.833204,146509741.281785,148815218.454362,125637531.55386598,151135505.87870902,214693590.967285,305150878.485842,424909132.393977,466095534.20654696,382213237.192355,344508250.971471,365341761.08994704,256337929.49739,299205356.365615,304626577.56949,623705455.713768,1113512221.32933,1416446329.07798,1309436457.3835,1261325528.20865,1197265658.5543401,1106663803.47051,1283418023.1873,1136485105.67465,1207473505.54085,1817349285.8292198,1405394575.64749,1710508627.72879,1640753166.11934,1642197741.6512198,2264203696.41502,2819791721.38765,2696361140.35505,2623366166.07423,3368382633.05084,3821573379.46544,3829286195.1938705,4859939498.01169,5922065807.44019,4985892556.40355,
Brazil,BRA,Gross capital formation (current US$),NE.GDI.TOTL.CD,2984286574.96157,3254003714.54782,3906482493.61836,4433909674.3571,3945920574.0762205,4363220198.87886,5383556777.74036,5175745024.97019,6408490772.37016,8372887309.522241,8694949199.379879,10390955082.6431,12393184528.7134,18427695390.7236,26692655153.593,33202202655.448,35293372841.3454,38879498995.7024,46130434383.6554,51213073782.2729,54869959136.6678,60840759336.401,59417401686.3941,33915348955.9478,32901534612.4315,42806695570.1739,51195732297.9857,65594463167.8825,75061422882.2038,114497000000.0,93160000000.0,80527027027.027,73952227164.7066,91369487220.4721,120969810730.486,138621135538.644,143082280370.112,151818380841.416,143689407393.42902,96108904174.8841,117657830008.199,99801887594.5923,81663993995.0186,87129021774.4556,113618119658.12,142964667214.462,182456341911.765,250511754912.325,342190754912.475,289005630590.516,433720677049.82,488550903630.68396,397297535308.286,
