Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,1700000128.0,2000000128.0,2300000000.0,5700002304.0,6500000256.0,9699999744.0,11699999744.0,10700000256.0,9400000512.0,9500000256.0,9400000512.0,13299999744.0,12999999488.0,11500000256.0,14400000000.0,15200000000.0,17100000256.0,19700000768.0,20600000512.0,,,,,,,,,,,,,,,,,,,,,,,,121089598000.0,211987765000.0,220111000000.0,241260319296.14,261007247711.58603,286150669904.099,285929000000.0,259560327653.52698,328042757655.64,378443000000.0,415423000000.0,
Albania,ALB,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,,,,,,,,,,,,,,,,,,,,,3528600064.0,3458099968.0,3950299904.0,3480100096.0,3199200000.0,3111200000.0,2689799936.0,2684999936.0,3268600064.0,3870400000.0,3900000000.0,4526159872.0,47116840960.0,78077476864.0,73184157696.0,77564100608.0,110933999616.0,118368002048.0,141730906112.0,151910006784.0,199035994112.0,227506995200.0,291847012352.0,313169210458.344,331892032685.524,387555079778.226,440362466837.41296,532058520000.0,610577730000.0,615901000000.0,664030400000.0,739623000000.0,672045920000.0,
Algeria,DZA,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,9028571136.0,8114285568.0,2057142912.0,4914285568.0,4228571392.0,4000000000.0,3700000000.0,3600000000.0,4600000000.0,5900000256.0,7000000000.0,6899999744.0,7800000000.0,10899999744.0,19599998976.0,26400000000.0,27399999488.0,36300001280.0,41999998976.0,42099998720.0,49300000768.0,59100000256.0,60200001536.0,60300001280.0,73500000256.0,77899997184.0,69400002560.0,59599998976.0,79000002560.0,120700002304.0,138600005632.0,199300005888.0,250199998464.0,269799997440.0,388591124480.0,577198948352.0,615378780160.0,593227939840.0,637318135808.0,766932484096.0,880542023680.0,930677500000.0,1159170200000.0,1254041200000.0,1577137700000.0,1820427100000.0,1863501300000.0,2326059400000.0,3170777200000.0,3583772000000.0,3768002900000.0,4172893000000.0,4384957300000.0,
American Samoa,ASM,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,,,,,,,,,,,,,,,,,,,,,,,,,,51.5820808410645,61.0999984741211,64.6999969482422,52.8183746337891,53.3050537109375,64.247215270996,217.76721191406298,1869.7490234375,14857.9130859375,470449.0,,579730275.989479,1211916485.10456,1851842601.24694,15917052012.9659,57591755206.4373,147727675782.934,308285988863.924,656629087939.698,887331464676.162,1319967935693.39,1308969750131.5,2017733416354.53,3235557301403.17,3317538220497.04,3255412956436.15,4235463836108.87,4597395683855.72,
Antigua and Barbuda,ATG,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,,,,,,,,,,,,,,,,,,93990000.0,117320000.0,187920000.0,257580000.0,321180000.0,399049984.0,316470016.0,398230016.0,505440000.0,702179968.0,799910016.0,825660032.0,915059968.0,919510016.0,1004680000.0,1067480000.0,1118200064.0,773299968.0,1275600000.0,1439900032.0,1291380000.0,1322790000.0,1429170000.0,1356926200.0,1333755000.0,1300271000.0,1465222534.0,1599313713.0,1843345382.0,2209715575.0,2517404786.0,2542181586.0,1907488205.0,1836298622.0,1738964802.0,1660900000.0,
Arab World,ARB,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,0.00999999977648258,0.00999999977648258,0.0199999995529652,0.0199999995529652,0.0199999995529652,0.0199999995529652,0.0299999993294477,0.0399999991059303,0.0500000007450581,0.0700000002980232,0.0568399988114834,0.10999999940395402,0.189999997615814,0.270000010728836,0.40999999642372104,1.1599999666214,6.05999994277954,20.7999992370605,40.5,122.300003051758,249.0,551.0,1425.0,6390.0,37620.0,332800.0,631400.0,1767600.0,6899000.0,213438000.0,3192000000.0,10995000320.0,18432000000.0,22027599872.0,27299750000.0,26038000000.0,30148250000.0,37413750000.0,38667250000.0,32762500000.0,33070250000.0,27604000000.0,41792250000.0,55310500000.0,82233500000.0,102072250000.0,125863000000.0,165230165360.858,213268974174.135,183300262705.475,265451468777.795,359773648171.948,376669238645.298,
Armenia,ARM,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23310000.0,47910000.0,190010000.0,2562860032.0,136746000384.0,324774985728.0,370208014336.0,468721991680.0,504820006912.0,491768283136.0,521272300000.0,542653100000.0,634732900000.0,812890000000.0,864344700000.0,969590800000.0,1042560000000.0,1232970100000.0,1450690000000.0,1351048200000.0,1568066700000.0,1789008800000.0,1969567100000.0,
