Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4861122237.030721,,,,,,,,
Albania,ALB,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264926212.672012,830013570.2830219,908948721.5336301,850739690.399796,879102728.00704,1181978541.75352,981074372.408466,1206406309.3433099,1485134282.41895,1939737447.55925,2261879449.6301103,2882439318.38767,3192603337.88548,3523680170.2462397,3880500000.0,4181793344.46711,5360140914.49168,6492186488.84785,5667591337.78172,5489091259.82321,6211270223.3159,5264362999.5488205,
Algeria,DZA,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,16131496937.308,13931746860.969,3482936715.24224,8249060563.36655,6965873430.484489,6415936158.38916,6078255671.93204,5885294688.27247,6994817627.43131,8442021547.02612,9503304487.2595,8779702527.462091,10226905459.0992,12831872316.7783,17318203084.3814,20164370924.6456,19247808969.1463,23299978758.4626,25133104645.3765,23010538764.9098,23782380723.6326,27658907439.9382,27188706752.4516,28874407614.3869,29596266816.7889,31283253999.659,24400939068.1734,17397868042.0564,17989395863.7291,21011615791.4947,18952476795.828,15559983162.8671,16275742714.385,15185267599.8203,16111568842.3968,16433801128.1658,14248104750.2112,14590059635.6884,15655134357.6018,15921271392.7157,15777979982.7839,16393321537.0301,19590017759.7542,20060178928.9325,22688063441.5448,24843428622.4526,24396246907.2485,26250361672.1994,27982885542.5645,32645595655.5458,,,,
American Samoa,ASM,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660765515.873165,1694918891.55938,3537047095.33441,7533680063.65786,10180589754.6547,15144342985.1742,15018157878.8092,23149991816.9363,37122408958.2858,38062997834.2915,37350218166.2851,48594602414.8226,52747142708.657,
Antigua and Barbuda,ATG,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682720499.7945731,,,,,,,,
Arab World,ARB,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417856789809.455,,,,,,,,
Argentina,ARG,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,5208454139.3848295,6155189268.776871,6155189268.776871,4734362483.8500395,5681821704.08085,5681821704.08085,5208460960.53041,5208460960.53041,5681821704.08085,7101913379.39528,5763642394.7506,6450307181.813089,6136192378.32946,6055836659.84944,6384565505.39194,6501435340.87888,5135412787.78333,7042023196.47695,6676759770.49078,10321902313.6888,15106747046.5883,13862113600.2799,7959629410.71396,7408526496.84863,7757105925.443379,6745739916.95312,7951031094.355391,8864220354.47594,8047998925.84647,6718736050.9988,6591085657.27039,11867625323.6392,19662751789.8563,22574138586.8798,27344287337.8892,24662734216.4572,28985887333.0388,36774845432.4564,39869054688.6845,35377100311.4426,35321357104.0484,30395235031.7983,15179515936.5039,20881757551.5284,29259890369.1336,35152476501.4799,40557345384.6048,,,,,,,
Armenia,ARM,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4009400612.4741297,5296418529.34961,2272163508.63168,1254234256.00844,1594131801.11552,1074444751.14264,1067998109.86073,1191885890.6045802,1133483481.96495,1111947295.8076198,1192007501.1057699,1268380756.55341,1508702067.2518198,1909138664.94335,1853362665.32962,2118444361.90435,2198119032.53294,2483760232.23455,2664530590.60088,2154176434.61636,2429911018.24725,2395892263.99179,2324015496.07204,
Aruba,ABW,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816625698.32402,,,,,,,,
Australia,AUS,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,10080350070.1438,11342151756.9584,9724857954.04433,11410124974.7621,12692240496.7824,15114274694.3832,15529927014.7457,15791662968.3574,17353484375.1329,17951961212.3465,19448153305.3805,20045067539.886,18536374625.1869,18784828455.7795,24446138067.3329,25036801891.0059,23803127052.9376,26066557075.6633,24844601757.906,26861921854.1012,26890830004.2016,29423027692.7256,32823251185.6155,30058225693.5803,31856781410.6374,37146972879.01,37056341921.9385,35304664286.1253,39266643452.5878,49069631542.0386,51862002581.4661,48907902161.7472,50625202537.9816,53898073910.159,57814737598.0857,67214574188.8391,70292901523.8543,77171478645.0406,84931363693.612,88890217654.6583,99510446960.4609,98484598282.5738,99901878938.8473,112998052235.681,127403686601.92801,142947677041.046,153273355736.367,167744619416.354,192176694059.314,185984099526.99698,196582452394.88602,215650111940.837,241251013409.477,
Austria,AUT,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,11369685418.7878,11580723669.2937,12372116454.2598,13638345957.295,15141993819.3647,16751160806.6873,18490419489.7177,18908333810.3712,20275530217.5001,22103845162.7185,25481597381.0383,27083757848.2821,30373419993.5877,33275021161.4001,35572793007.387,33919105771.3473,39826971856.0885,43188929547.3456,42753455646.5503,47133928426.6068,49824195285.0121,49522095151.606,47724966770.6872,49718395288.2033,53021343967.817,55957636693.3056,53976040589.5462,56044958195.7672,61336985068.4825,67567819115.6181,72959954297.1416,76691393103.9613,78314267393.3322,74015227713.7784,81662132204.3241,86484185776.4484,90329211130.4394,97268597828.2635,102302967166.128,107088383778.19199,118494098773.203,125159029636.721,124548281950.66199,130128643365.438,142882278156.936,152048775058.449,160016631845.993,171304758084.124,171308401758.147,147987526691.754,161440705141.255,173776153109.93802,173227478135.431,
Azerbaijan,AZE,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974580368.169292,1148840380.97094,1682379142.51352,2154070913.2339897,2583871029.3695397,2050621823.85517,2209276074.22516,2438068368.5285897,3597996359.75531,5150982028.14402,6400692291.62745,7006432765.931789,8038376469.5403,8895031104.62659,10169488326.4271,9633070726.76181,9762780060.878641,13237134163.9755,13528351115.583,
"Bahamas, The",BHS,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744744342.63934,1751932524.58264,1684774756.3359802,1561614974.1791599,1548755315.39744,1661303812.5285401,1711857425.05357,1886582139.59685,2704948570.78987,3066835945.51616,3158010396.43548,3331176057.1867,3205383513.20182,3116549519.83702,3127161473.96979,3237867936.1273,3700160000.0,4151877707.45165,3998920816.7495604,3763089169.99019,3303654532.20816,3290720919.37672,3536384367.75069,3994813266.74423,
Bahrain,BHR,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10287241590.3735,,,,,,,,
Bangladesh,BGD,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,3463387655.34362,4582542359.05485,4547241453.68342,5317867408.16257,6185556363.30314,6160589812.44932,6410663953.715079,7490015563.4008,7078231597.01947,7648859933.38248,8556147605.17176,6707602138.00576,6700234603.1515,3323616137.46487,2082670839.28805,1857212883.1733,2556061274.85628,1414184435.79417,2243698660.84187,2489683031.50701,3322190692.0099697,3522180689.3307295,3853423198.09745,3693605458.38462,3454694104.44767,3704880858.31595,3550811361.70536,3753271116.35453,4034492855.8180795,4641568126.14,5073823821.37094,4311865164.43807,3932823608.95961,5404443189.01754,5074173218.05052,7529890140.92397,8592324555.99753,8443229500.53312,8820706676.17509,9023940232.780329,9947749225.192629,11063516374.2789,9822255129.388391,10549463153.3903,11667717523.0496,13891430894.3089,16418004824.0176,19043459589.3986,18651860528.0583,18166603794.2493,18290743736.6304,23623786817.8723,25387668376.7364,
Barbados,BRB,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016750000.0,,,,,,,,
Belarus,BLR,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25016163184.4499,25066195510.8187,14287731441.1667,11344458764.2864,10051190465.1577,6895116659.09819,7639789258.2808,9664333411.72521,9480711076.90243,9461749654.74863,10729624108.4849,12100535952.8435,13335389963.4027,15122397664.039,18048674441.3627,17850098894.058,21703624258.2945,23293589993.5927,27137086664.6237,24661485175.1772,27670186366.5488,32208096930.6628,28938938190.9833,
Belgium,BEL,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,30872299172.5657,33094302743.0134,35810076211.4798,38907422270.5773,42352619550.276,45135741549.9937,49613491594.3608,50399295339.8719,56302128569.79,65021713652.3275,61481502298.0045,63722233131.126,69819863462.3063,82796937702.8172,86453609618.2552,78601554205.6104,88336759699.8969,92551239949.4355,95020792614.2288,103530753192.46901,101541934815.044,99576890929.3417,100925904557.41699,99682264526.0411,106054472247.32599,106486388198.63199,111372944001.616,118893839722.086,131282764019.747,144008652236.523,151020049247.677,155338050809.129,161733417562.656,161149809950.167,172882175683.77698,180924149629.683,188559631531.46698,205358773228.40698,216776306151.51398,222588357106.214,249647812797.804,250110700369.18698,251765415285.57898,253027540976.71,268549415800.279,282049942794.60803,296193970034.2,312411257727.862,320935743329.824,292773144360.639,314800319982.967,336078007084.338,340517618020.149,
Belize,BLZ,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,220236982.53279302,245118392.803244,228924872.040067,206410128.511329,227131359.492488,200575375.099452,198918482.69401398,238211132.18030098,282059693.779156,325021699.4114,312413408.915812,374040075.233961,338321210.242804,345566129.941409,367403193.570029,348236161.985151,367453414.311,411973426.002002,455002641.75186396,566945176.713596,680834963.033628,675392725.971858,693107762.938231,707768483.186263,654956570.474601,698550000.0,701770915.812068,704269902.217982,793294983.2525259,622353761.0082,687810856.447634,750813759.092816,,
Benin,BEN,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,131716907.353121,106666635.776282,111514461.405999,138989134.15984198,151918428.767326,193129215.128748,248078113.28179702,309491420.149447,326460148.189412,354742325.887127,383834692.656538,459225520.6058481,495584686.27904695,489357330.78672194,495383734.575996,525512383.450767,490911858.327511,537634262.585307,568375280.311183,724589789.8663781,854798858.591017,935512669.8979949,717574195.503224,530722275.556139,531350361.466833,626817570.826489,542106019.539222,496956872.06969404,513262799.479115,394998874.98366,534711843.159396,675092178.6025339,805304904.34008,872453621.495533,768557861.362007,810875542.21538,726035835.062296,809059639.510088,888978169.069168,1036651372.84066,1091122908.00677,1140687190.8187401,1174907806.54331,1292398587.19764,1214854671.96578,1244011184.09296,1268891407.77481,1370402720.3968,1466330910.8245802,1422340983.49984,1433719711.36784,,,
Bermuda,BMU,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281814361.665967,274228951.410739,293597650.314063,315784296.202954,434310683.564609,515281646.19476396,516584426.417696,573076531.9390941,586151420.33067,637299288.627773,715855639.154379,698136416.093215,,
Bolivia,BOL,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,888999371.861848,1013464069.4924301,1123851215.61272,1146423153.72836,1032008152.92665,1232403893.26425,1226740968.86068,1216172835.29064,1264586850.9662302,1249711704.46953,988818384.412099,1070063246.62924,800346295.350899,695048155.43686,863510643.6397719,1042891939.3456801,1136167000.0539699,1224038314.50896,1221885227.93074,1225816887.64127,1351382760.98605,1521512442.77254,1672507559.65343,1660324900.58761,1649622008.5160902,1796762635.93752,1939430314.68362,2202011785.92181,2693297353.91758,2231642967.91505,2335858648.95643,2218131224.99918,2508595661.16863,2531549970.63393,2669911110.4878,3064699851.22737,3222850223.04563,3363765661.63609,3681124844.64026,3305315231.0968103,3670257005.72879,4294576040.3688397,4478422642.84773,
Bosnia and Herzegovina,BIH,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2288777934.5693197,2506928900.87917,5556087548.21638,6736045499.73892,7192432730.233721,6970770476.90207,6558572924.0138,6518361073.72507,6393362653.18149,6777228279.4405,7275268151.0548,7847831754.54282,7012037672.684,8176035926.34956,8020691243.748909,7661080403.32117,9766266709.633492,10541785299.0052,10808500243.6614,
Botswana,BWA,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,640029626.960612,711568668.119542,781559028.918184,895012354.666734,1005193468.6863,1069863363.0859,1121319516.99211,1115399561.42135,1108155733.9296901,1224206846.08905,1317527327.1539,1343729999.7012901,1524825686.99257,1908423820.7487302,2342254151.35217,2587492174.9433,2441962587.51915,2106121588.71825,2047869571.67735,2152712812.61275,2435271725.73085,2315087661.31888,3122855147.9756103,3589954866.773,3461223833.99529,3394199455.78423,3342391138.29823,3409275114.56488,3160390775.7244897,3717175880.71828,3533707931.7822104,3535268309.42667,4417508081.6844,5192495241.6076,4627362943.35089,4927245617.53524,5874503633.81629,6354319412.43482,
Brazil,BRA,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,9512793169.382109,9180945734.74543,9070378521.73125,8849170503.641079,7742988088.91978,6636805574.59492,8738435431.69797,9402122508.31168,11614319376.3574,12941694607.131,16038856426.0874,19967904349.9157,23966880709.0051,28856535168.7179,37077354602.9987,35399694978.4118,34959743658.8741,32312294650.0717,33792756863.0558,36566390836.7683,36813847156.1227,32264714522.061,30318845039.1784,25033422962.4588,24297133519.801,24297133519.801,31265493042.1737,30345096218.6013,30003272717.1954,32685429487.6435,35975667104.1606,39598826992.1919,41391833487.4094,52475873639.6633,63153443965.0381,82531944543.9599,87149606841.1943,99867779495.4188,99810007134.238,84747927254.9648,93896593307.663,95322332649.6597,84052595622.1823,82690818537.2072,93692326744.917,101627773212.81801,120376967714.593,144300915139.273,166460742249.326,153812721747.965,208933744210.262,229302628123.71103,229818452777.11102,
Brunei Darussalam,BRN,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1544169419.27897,1821312345.95622,2081936820.0500603,2584831932.03394,2673542140.35226,2477156092.9717,2870539982.27296,3478051960.61845,2898682531.11877,2508969409.05827,2417812022.5794396,2267098273.00293,2339260099.74894,2651422629.2207103,2437340828.55138,2360853950.89367,2601040645.2775803,2707496737.32928,3065274184.39518,3401455284.19463,3374169247.70499,3365124477.22376,3750116992.61265,4228050887.35937,
Bulgaria,BGR,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,45368412540.1472,48777965969.09,48058173944.8972,50642146392.6132,55480668086.9162,61579893614.4606,63224994407.4545,68072803941.1858,59567829975.0227,51821131217.2391,15803570388.1321,5349856180.66545,6445801818.830271,7045201874.65545,6120648810.598829,7675600385.788441,7138081113.173,7542755165.763,11203809412.655,11846159076.3606,10720773964.1064,12253844640.9736,13087106076.5598,15272652791.3453,17395551529.3423,16073489613.1123,23740544158.5668,26019636397.7893,27112461126.4964,21418844289.9321,21932896552.8905,23797192759.8862,24745922133.1781,
Burkina Faso,BFA,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,326305249.809818,332782286.891609,397616765.948581,453797002.01913,479734360.955221,423550284.298922,505752999.980125,540334705.00859,561943502.2318139,577076444.091939,682985987.748607,622471133.656891,784566895.834988,786726856.0324531,793805794.144479,873773584.348668,937196943.5720689,916054371.3017089,798613395.072281,743804469.686852,928381543.6989689,985578870.276589,958478515.5036241,982473608.982617,864450045.437833,912590384.527174,904732841.5116881,795921439.890979,845662712.378858,722723494.5033339,810699422.9988719,904413925.179574,914316210.820016,1113608858.42158,1011094687.99787,965431969.862,962643442.891213,965001323.7640551,1066294427.11354,1277603877.4604301,1408926795.0831099,1424152664.93891,1467994260.69896,1756736650.25805,1772351828.47598,1822970393.00228,2175311618.62842,,
Burundi,BDI,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66199448.95430761,91810129.62517801,83673884.5023022,94239908.2823277,110370014.23842901,129279387.56264,181753545.73864198,231065663.196435,373657981.84138,398526230.14478797,418452541.65202796,438100741.507794,590169936.574271,745923556.278777,637160450.452116,666247526.766397,
Cambodia,KHM,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714700129.7186049,952057978.3430641,1290289037.59785,1289117696.72437,1363748602.99965,1341632577.6948302,1845660759.0061102,2283481461.9145,2501638654.71011,2883259817.32854,3256550875.4812,3902135394.7035704,4578016312.85605,5308303451.32137,5948537512.67559,7293133022.44245,6552143706.933371,7654283086.6130705,8905734118.51847,,
Cameroon,CMR,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,678145282.805461,665370996.317374,663704871.480484,595945946.968361,621494299.031668,690107233.73392,702321473.0775009,653118735.345155,757149768.0805839,753811240.651721,828913288.64292,1006380780.3244301,997479285.484056,906243451.286072,909023127.777411,957979542.1850231,1060900162.14354,1172163365.76443,1273958934.50929,1418842711.7356,1406764013.47312,2110736316.67802,1931162576.8366,1964619055.3731601,2486840045.84782,2662813091.68928,3112828516.95575,3038120441.70696,2418343968.94736,2026572172.72546,2231256072.5313,2307118837.31015,1859537729.86035,1874413996.03687,1915651135.0337698,1936723255.10985,2225294915.54374,2592468595.8854103,2934674524.75855,3019780106.94025,3505964639.57982,3998036330.4799,3693904688.23238,3826870152.44868,4295655531.02315,4377806970.106111,4478663185.8767,5037417408.00679,5821614935.97701,5633860658.097179,6103188325.35466,6533801473.874121,6859694853.57149,
Canada,CAN,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,31261498413.9749,31340512160.6761,32067464026.4696,32920841061.5027,37246984959.4357,41958508962.7138,47600928549.8679,50199918926.6978,55400515482.9806,62563344948.5031,61441196533.4693,65470838927.9304,74881238129.9373,85732539214.2116,94426604337.6056,91550788736.7375,97309156622.5986,96920674504.7295,99838407251.2635,106781683022.646,103395376469.20401,106035408125.7,88959410910.0317,97815904972.8816,114517641959.39,124070260048.47699,133023313250.45099,140114047552.12198,158961044172.177,168305573573.85098,171724066507.001,176000363885.387,184216872956.37302,197762847690.601,213683129318.62302,225947637028.20602,237493565097.802,271322198691.14398,285104705890.20197,307320793093.159,332296675225.943,315243133624.024,320592060819.183,333850603697.416,360677576923.628,386437908496.73206,405488502681.45,429450139593.21,435772143384.187,377360600898.678,426938853455.545,451246306819.048,465310257710.435,
Cape Verde,CPV,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647010837.079221,,,,,,,,
Caribbean small states,CSS,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23045059193.6229,,,,,,,,
Cayman Islands,CYM,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311819623.508216,290749587.600083,268910830.59089,227291759.00936002,257533365.087449,290317059.103322,319375109.931185,355919835.83025897,426099550.468375,,,,,
Chad,TCD,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,1191930795.63862,1412951212.36915,1633970843.17335,1555035117.8475802,1768162047.78295,1562930131.18543,1586610547.7186801,1657652811.0493698,1633971718.6954901,1547142623.64608,1910247863.02434,1942568646.1546602,1887293277.83448,2211055282.0441103,1974173735.25085,1958362236.0795698,2108398130.2182698,2203175213.64193,2032723116.55338,1790924636.8561802,1653270114.34371,1293162139.40486,1148895050.05868,1653564096.3124,1724322852.89396,2962798263.73664,2970704351.2325897,2839493440.3994102,2998244041.40312,2940631009.56637,2777939292.7782803,2580828159.13628,2542668771.35476,2434468435.63835,2166831286.88766,2123494470.3641698,1868345609.28921,2089607348.6842,2147569715.3784,2322076798.80296,2479786349.27658,3964467496.02005,9845042446.65881,5837541666.34072,6740208503.091121,2854695625.5835,,,,,,,,
Channel Islands,CHI,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,2456431999.21111,2746455373.89498,2537936509.1265,2604051607.90028,2881200924.3982396,2818691632.56962,3840697501.89555,3486940337.14695,3802779155.91354,4336478199.52565,4377554911.71388,4751078884.101621,4900951255.58678,4635580351.80746,4791635368.936561,2938757174.85414,3064938502.57698,4153903310.8113,4883179996.112061,5989809820.20671,7396016595.632391,8557765606.88162,5243019058.24955,4543834228.12188,5141881731.76492,4610988985.00234,4975456971.51238,5901373368.28856,6656381524.28421,8322978209.759971,8806472382.9198,9418707439.016441,11472759199.2298,13099755190.2659,14425323925.6573,18028919917.0715,20162273609.0587,22820586422.2338,24354088984.4204,22033082200.9257,24248298033.6021,25238871178.1634,25807115753.3402,28319587372.1314,33533620652.2394,39293074978.7606,43930259997.9927,50203662160.4303,55838324373.1121,46810250735.0478,58919597980.5855,67461385628.0954,70754487465.2381,
China,CHN,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,6336594786.75035,8186447939.31321,8112886505.813729,8769257345.59473,7898565072.40448,9070097274.97763,13582202381.6683,25718797046.3387,26207246762.1,26314744112.6247,31526236390.5561,31756894521.5943,32146743294.9243,41007298684.1675,56742877985.8423,79142667409.1025,130258343308.971,142619703197.041,162426350093.236,179959256774.288,196941588773.853,228701916416.86398,285514641474.888,321840366348.128,371971523714.449,488098913131.6,634092328276.46,712090100000.0,804050634814.501,874032169008.647,828138974225.442,848187271724.445,1009929959339.98,1061015854922.87,1101465921048.86,
Colombia,COL,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,2245657676.01903,2338960916.20443,2420487450.60923,2416561797.8591,3013674561.3929896,2470048783.06242,3284042060.1702104,2575306561.66828,3227904731.53981,3431403122.67272,4091018171.1991897,4708530510.67671,4483980621.30741,4575204067.75568,4476963455.2286,3985760680.01719,4476963455.2286,4912028901.80964,5929520282.62646,5971623853.947,7094373300.79355,7445232179.58126,8034675854.74358,7304888858.0052595,7017183899.07903,6554049788.18281,6820702674.02491,7185596459.817929,7655747736.792959,7438215013.50244,8020641522.585991,8294311574.5069,11725714984.6035,16921458513.8438,19970906396.5588,21420986050.2167,21911672346.6817,23268747376.0553,22358222053.3486,16840069723.1788,18900182654.8841,20552085669.6404,20619712468.4193,22304352022.7119,24595479046.3075,27522814871.1535,33018676817.7706,37656496833.3852,41601249847.5022,37795196382.4729,41894155727.5633,50759727526.7069,55360503563.3726,
Comoros,COM,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138381746.64948002,,,,,,,,
